N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-64.15174015,2,-64.15174015,-64.15174015,0.02886518,7.616,1.725,1.725
2mer-0+5,-11.91225201,4,-23.82450402,-87.97624417,0.007929366,5.052,2.654,2.654
2mer-0+2,-8.01233104,2,-8.01233104,-95.98857521,0.007578736,5.466,2.694,2.694
2mer-0+4,-21.08496985,2,-21.08496985,-117.07354506,0.006383027,5.021,2.853,2.853
2mer-0+3,0.24067868,4,0.48135737,-116.59218769,0.005129321,7.54,3.068,3.068
2mer-0+12,-1.52624482,4,-3.05248964,-119.64467733,0.00140947,7.345,4.72,4.72
2mer-0+10,-2.13076286,4,-4.26152572,-123.90620305,0.00138247,10.497,4.75,4.75
2mer-0+18,-0.81777008,2,-0.81777008,-124.72397312,0.001052027,7.223,5.203,5.203
2mer-0+13,0.05905762,2,0.05905762,-124.66491551,0.0008270637,12.27,5.638,5.638
2mer-0+21,-0.7140487,4,-1.4280974,-126.09301291,0.0007808023,8.714,5.747,5.747
2mer-0+26,-0.64715058,2,-0.64715058,-126.74016349,0.0006534362,8.768,6.098,6.098
2mer-0+19,-1.22641469,2,-1.22641469,-127.96657818,0.0005754055,11.685,6.362,6.362
2mer-0+20,0.08699095,2,0.08699095,-127.87958723,0.0005258101,10.932,6.556,6.556
2mer-0+35,-0.19468689,2,-0.19468689,-128.07427412,0.0004754857,11.614,6.78,6.78
2mer-0+17,-0.14306588,4,-0.28613177,-128.36040589,0.0004713587,12.164,6.8,6.8
2mer-0+40,-0.60203982,2,-0.60203982,-128.96244571,0.0004710394,10.332,6.801,6.801
2mer-0+28,-0.38451239,2,-0.38451239,-129.3469581,0.000470996,10.041,6.801,6.801
2mer-0+43,-0.18439053,2,-0.18439053,-129.53134863,0.0003786257,10.104,7.315,7.315
2mer-0+36,0.1828706,2,0.1828706,-129.34847803,0.0003328509,10.104,7.636,7.636
2mer-0+25,-0.05642842,4,-0.11285684,-129.46133487,0.000316962,14.29,7.761,7.761
2mer-0+46,-0.17359466,4,-0.34718932,-129.8085242,0.000302886,10.072,7.88,7.88
2mer-0+30,-0.24556996,2,-0.24556996,-130.05409415,0.0002990397,10.332,7.913,7.913
2mer-0+34,0.20708003,2,0.20708003,-129.84701412,0.0002895253,11.614,7.999,7.999
2mer-0+38,-0.14559352,2,-0.14559352,-129.99260764,0.0002477477,15.232,8.426,8.426
2mer-0+52,0.04288322,2,0.04288322,-129.94972441,0.0002361462,15.081,8.561,8.561
2mer-0+63,-0.18911771,2,-0.18911771,-130.13884212,0.0002303463,11.36,8.633,8.633
2mer-0+39,-0.10822351,4,-0.21644702,-130.35528914,0.0002134913,11.922,8.854,8.854
2mer-0+55,-0.01630692,2,-0.01630692,-130.37159605,0.0002106011,11.36,8.894,8.894
2mer-0+59,-0.12586474,2,-0.12586474,-130.4974608,0.0001965312,14.014,9.102,9.102
2mer-0+62,0.05820694,2,0.05820694,-130.43925385,0.0001951187,14.609,9.124,9.124
2mer-0+49,-0.06062305,4,-0.12124611,-130.56049996,0.0001881865,14.626,9.234,9.234
2mer-0+64,-0.1244706,2,-0.1244706,-130.68497056,0.0001842489,11.175,9.3,9.3
2mer-0+48,-0.01874861,2,-0.01874861,-130.70371917,0.000180587,11.785,9.362,9.362
2mer-0+65,0.03236797,4,0.06473595,-130.63898323,0.000154427,13.295,9.863,9.863
2mer-0+71,0.22168927,2,0.22168927,-130.41729396,0.0001501128,13.33,9.957,9.957
2mer-0+60,0.13909666,2,0.13909666,-130.2781973,0.0001423892,14.609,10.134,10.134
2mer-0+80,0.02889667,2,0.02889667,-130.24930063,0.0001369555,13.33,10.266,10.266
2mer-0+84,0.0715896,2,0.0715896,-130.17771103,0.0001241793,17.575,10.607,10.607
2mer-0+88,0.09102413,4,0.18204825,-129.99566278,0.0001202946,13.39,10.72,10.72
2mer-0+74,0.02545288,2,0.02545288,-129.9702099,0.0001157674,17.403,10.858,10.858
2mer-0+86,0.02521767,4,0.05043535,-129.91977455,0.0001082269,14.513,11.104,11.104
2mer-0+67,-0.06214801,2,-0.06214801,-129.98192256,0.0001068216,15.081,11.153,11.153
2mer-0+75,-0.00596358,4,-0.01192717,-129.99384973,0.000106478,17.631,11.165,11.165
2mer-0+79,0.02606231,2,0.02606231,-129.96778742,0.0001045493,16.399,11.233,11.233
2mer-0+81,-0.11426234,2,-0.11426234,-130.08204976,0.0001018587,16.293,11.331,11.331
2mer-0+101,-0.10214814,2,-0.10214814,-130.18419791,0.0001007296,14.689,11.373,11.373
2mer-0+112,0.05027018,4,0.10054037,-130.08365754,9.948506e-05,14.412,11.42,11.42
2mer-0+78,0.01488142,4,0.02976285,-130.05389469,9.896066e-05,17.286,11.441,11.441
2mer-0+82,-0.05665434,4,-0.11330867,-130.16720336,9.754002e-05,13.664,11.496,11.496
2mer-0+93,-0.05222653,2,-0.05222653,-130.21942989,9.719563e-05,15.062,11.509,11.509
2mer-0+73,-0.04712038,2,-0.04712038,-130.26655027,9.642555e-05,14.014,11.54,11.54
2mer-0+114,0.00468572,2,0.00468572,-130.26186455,9.560317e-05,14.204,11.573,11.573
2mer-0+128,0.02253334,2,0.02253334,-130.2393312,8.620192e-05,14.204,11.979,11.979
2mer-0+113,-0.00201181,4,-0.00402361,-130.24335482,8.498071e-05,14.119,12.036,12.036
2mer-0+105,-0.045517,4,-0.091034,-130.33438882,8.344738e-05,16.246,12.11,12.11
2mer-0+92,0.02327692,4,0.04655383,-130.28783498,8.246677e-05,18.92,12.157,12.157
2mer-0+119,-0.02072185,2,-0.02072185,-130.30855684,8.041959e-05,14.446,12.26,12.26
2mer-0+116,-0.0061564,4,-0.01231281,-130.32086965,7.969696e-05,15.156,12.297,12.297
2mer-0+131,0.03348532,2,0.03348532,-130.28738433,7.362935e-05,19.487,12.626,12.626
2mer-0+109,-0.00467831,2,-0.00467831,-130.29206263,7.321022e-05,19.678,12.65,12.65
2mer-0+111,-0.05468044,2,-0.05468044,-130.34674308,7.280263e-05,19.075,12.673,12.673
2mer-0+100,0.00442554,2,0.00442554,-130.34231754,7.062425e-05,14.689,12.802,12.802
2mer-0+107,-0.00985748,4,-0.01971495,-130.36203249,7.031146e-05,17.031,12.821,12.821
2mer-0+137,-0.00240162,2,-0.00240162,-130.36443411,6.823818e-05,18.596,12.95,12.95
2mer-0+140,0.00750742,2,0.00750742,-130.35692669,6.688619e-05,18.503,13.036,13.036
2mer-0+118,-0.01634086,4,-0.03268172,-130.38960841,6.332297e-05,17.37,13.276,13.276
2mer-0+164,0.00916405,4,0.0183281,-130.37128031,6.282554e-05,15.975,13.311,13.311
2mer-0+150,-0.01812782,2,-0.01812782,-130.38940812,5.942508e-05,15.748,13.561,13.561
2mer-0+132,0.00582704,2,0.00582704,-130.38358109,5.894801e-05,16.893,13.597,13.597
2mer-0+149,0.05612128,2,0.05612128,-130.32745981,5.872411e-05,17.428,13.614,13.614
2mer-0+146,0.00304757,4,0.00609514,-130.32136466,5.605205e-05,17.201,13.827,13.827
2mer-0+134,-0.03669497,4,-0.07338995,-130.39475461,5.59293e-05,18.92,13.837,13.837
2mer-0+139,0.02335739,2,0.02335739,-130.37139722,5.577917e-05,18.503,13.85,13.85
2mer-0+165,0.00173973,2,0.00173973,-130.3696575,5.337791e-05,17.428,14.054,14.054
2mer-0+184,-0.03477345,2,-0.03477345,-130.40443095,5.328777e-05,16.899,14.062,14.062
2mer-0+147,0.00536572,4,0.01073144,-130.39369951,5.302946e-05,19.185,14.085,14.085
2mer-0+172,0.03084995,2,0.03084995,-130.36284956,5.179676e-05,21.543,14.196,14.196
2mer-0+173,0.01635371,2,0.01635371,-130.34649584,5.156757e-05,20.994,14.217,14.217
2mer-0+166,0.01799826,4,0.03599652,-130.31049933,4.957951e-05,18.11,14.405,14.405
2mer-0+163,-0.03576026,4,-0.07152053,-130.38201986,4.892064e-05,19.175,14.469,14.469
2mer-0+186,-0.01423301,4,-0.02846602,-130.41048588,4.738254e-05,16.784,14.624,14.624
2mer-0+157,0.01056965,4,0.0211393,-130.38934659,4.696225e-05,21.622,14.667,14.667
2mer-0+201,-0.02439655,2,-0.02439655,-130.41374313,4.542914e-05,17.536,14.831,14.831
2mer-0+189,-0.01948386,4,-0.03896771,-130.45271085,4.499261e-05,18.18,14.878,14.878
2mer-0+191,-0.0213352,2,-0.0213352,-130.47404605,4.433579e-05,19.033,14.951,14.951
2mer-0+185,0.01207649,2,0.01207649,-130.46196956,4.37975e-05,16.899,15.012,15.012
2mer-0+154,-0.02634753,2,-0.02634753,-130.48831709,4.244571e-05,19.487,15.17,15.17
2mer-0+230,-0.03520537,2,-0.03520537,-130.52352246,4.151583e-05,18.368,15.283,15.283
2mer-0+203,0.01742646,2,0.01742646,-130.506096,4.138329e-05,18.024,15.299,15.299
2mer-0+224,-0.02208383,2,-0.02208383,-130.52817982,4.136857e-05,19.118,15.301,15.301
2mer-0+234,-0.02085335,2,-0.02085335,-130.54903317,4.065578e-05,18.241,15.39,15.39
2mer-0+162,-0.01234932,2,-0.01234932,-130.56138249,4.025155e-05,18.596,15.441,15.441
2mer-0+181,0.0021491,4,0.0042982,-130.55708429,3.998615e-05,21.631,15.475,15.475
2mer-0+182,-0.01514144,4,-0.03028288,-130.58736717,3.99157e-05,18.214,15.484,15.484
2mer-0+210,0.00052712,4,0.00105424,-130.58631293,3.854594e-05,18.452,15.665,15.665
2mer-0+205,-0.00750667,2,-0.00750667,-130.5938196,3.796891e-05,18.368,15.744,15.744
2mer-0+196,-0.01177331,2,-0.01177331,-130.60559291,3.692251e-05,22.847,15.892,15.892
2mer-0+219,0.00363937,2,0.00363937,-130.60195353,3.6723e-05,18.241,15.92,15.92
2mer-0+193,-0.02493614,4,-0.04987228,-130.65182582,3.594683e-05,21.555,16.034,16.034
2mer-0+248,-0.00734336,2,-0.00734336,-130.65916917,3.592305e-05,18.135,16.038,16.038
2mer-0+188,-0.01649592,2,-0.01649592,-130.6756651,3.574884e-05,20.994,16.064,16.064
2mer-0+223,0.00490888,2,0.00490888,-130.67075622,3.569458e-05,18.024,16.072,16.072
2mer-0+247,-0.00931114,2,-0.00931114,-130.68006735,3.496914e-05,18.965,16.182,16.182
2mer-0+227,0.00972605,4,0.0194521,-130.66061525,3.461363e-05,18.646,16.237,16.237
2mer-0+207,0.00706563,2,0.00706563,-130.65354962,3.459348e-05,22.692,16.241,16.241
2mer-0+245,-0.00433514,4,-0.00867028,-130.6622199,3.448719e-05,18.791,16.257,16.257
2mer-0+211,-0.02371875,2,-0.02371875,-130.68593864,3.424428e-05,21.091,16.296,16.296
2mer-0+266,-0.00978751,2,-0.00978751,-130.69572616,3.366825e-05,21.403,16.388,16.388
2mer-0+222,-0.0134379,2,-0.0134379,-130.70916406,3.357137e-05,20.082,16.404,16.404
2mer-0+213,0.00741099,2,0.00741099,-130.70175307,3.356239e-05,21.865,16.405,16.405
2mer-0+218,0.01259177,2,0.01259177,-130.68916131,3.345959e-05,19.118,16.422,16.422
2mer-0+270,-0.02317422,2,-0.02317422,-130.71233552,3.334381e-05,20.665,16.441,16.441
2mer-0+194,-0.02362471,2,-0.02362471,-130.73596023,3.29866e-05,21.543,16.5,16.5
2mer-0+216,-0.00284439,2,-0.00284439,-130.73880462,3.296377e-05,18.768,16.504,16.504
2mer-0+259,-0.01796071,2,-0.01796071,-130.75676533,3.27942e-05,18.965,16.532,16.532
2mer-0+215,0.00676382,4,0.01352764,-130.7432377,3.244151e-05,22.57,16.592,16.592
2mer-0+198,-0.00855443,4,-0.01710886,-130.76034656,3.198e-05,21.274,16.672,16.672
2mer-0+279,-0.00230248,2,-0.00230248,-130.76264904,3.188121e-05,21.072,16.689,16.689
2mer-0+208,0.00169312,2,0.00169312,-130.76095592,3.113937e-05,19.033,16.82,16.82
2mer-0+272,0.01157333,2,0.01157333,-130.74938259,2.938644e-05,24.472,17.148,17.148
2mer-0+297,-0.0041262,2,-0.0041262,-130.75350879,2.933446e-05,20.207,17.158,17.158
2mer-0+237,0.00884505,4,0.0176901,-130.73581869,2.922724e-05,23.906,17.179,17.179
2mer-0+217,-0.01166253,4,-0.02332505,-130.75914374,2.908871e-05,22.621,17.207,17.207
2mer-0+250,-0.01773444,2,-0.01773444,-130.77687818,2.842709e-05,23.369,17.339,17.339
2mer-0+333,-0.0060804,2,-0.0060804,-130.78295858,2.78665e-05,20.144,17.454,17.454
2mer-0+288,0.01172931,2,0.01172931,-130.77122927,2.778248e-05,24.327,17.472,17.472
2mer-0+235,-0.00387011,4,-0.00774021,-130.77896948,2.777415e-05,21.067,17.474,17.474
2mer-0+285,0.02164742,2,0.02164742,-130.75732206,2.771298e-05,20.207,17.487,17.487
2mer-0+246,0.00027735,4,0.00055471,-130.75676736,2.770014e-05,22.311,17.489,17.489
2mer-0+290,-0.00244878,2,-0.00244878,-130.75921613,2.75399e-05,22.841,17.523,17.523
2mer-0+316,0.00275702,2,0.00275702,-130.75645911,2.744415e-05,23.227,17.544,17.544
2mer-0+261,0.00175863,2,0.00175863,-130.75470048,2.730852e-05,24.54,17.573,17.573
2mer-0+269,0.02159476,2,0.02159476,-130.73310572,2.723683e-05,21.072,17.588,17.588
2mer-0+295,0.00460746,2,0.00460746,-130.72849826,2.706458e-05,23.557,17.625,17.625
2mer-0+302,-0.0155577,2,-0.0155577,-130.74405596,2.670826e-05,20.716,17.703,17.703
2mer-0+343,-0.02028807,2,-0.02028807,-130.76434404,2.622398e-05,21.128,17.812,17.812
2mer-0+311,-0.00459875,2,-0.00459875,-130.76894279,2.595218e-05,20.531,17.874,17.874
2mer-0+298,0.01174422,2,0.01174422,-130.75719857,2.564976e-05,21.913,17.943,17.943
2mer-0+291,-0.01309404,4,-0.02618809,-130.78338665,2.558996e-05,22.844,17.957,17.957
2mer-0+282,0.00323464,2,0.00323464,-130.78015201,2.530114e-05,22.173,18.026,18.026
2mer-0+361,-0.00147549,2,-0.00147549,-130.78162751,2.514554e-05,20.794,18.063,18.063
2mer-0+271,-0.00272931,2,-0.00272931,-130.78435681,2.472904e-05,20.665,18.163,18.163
2mer-0+278,0.00307755,2,0.00307755,-130.78127927,2.460439e-05,21.403,18.194,18.194
2mer-0+292,0.00216326,2,0.00216326,-130.77911601,2.456812e-05,22.841,18.203,18.203
2mer-0+321,-0.00793069,4,-0.01586138,-130.79497739,2.454377e-05,21.949,18.209,18.209
2mer-0+319,-0.00280652,2,-0.00280652,-130.79778391,2.452596e-05,21.913,18.213,18.213
2mer-0+286,0.00375628,4,0.00751257,-130.79027134,2.440002e-05,25.05,18.245,18.245
2mer-0+346,0.00245895,2,0.00245895,-130.78781239,2.415257e-05,20.794,18.307,18.307
2mer-0+348,-0.00189883,4,-0.00379766,-130.79161005,2.409357e-05,20.868,18.322,18.322
2mer-0+304,-0.00847018,4,-0.01694035,-130.8085504,2.406245e-05,20.587,18.33,18.33
2mer-0+347,0.0046965,2,0.0046965,-130.8038539,2.392491e-05,20.144,18.365,18.365
2mer-0+339,0.00098063,2,0.00098063,-130.80287327,2.341365e-05,24.96,18.497,18.497
2mer-0+356,-0.00063299,4,-0.00126597,-130.80413924,2.302731e-05,20.667,18.6,18.6
2mer-0+317,-0.00253972,2,-0.00253972,-130.80667896,2.295955e-05,21.128,18.619,18.619
2mer-0+349,0.01086687,2,0.01086687,-130.79581209,2.260089e-05,26.059,18.717,18.717
2mer-0+374,-0.00061834,2,-0.00061834,-130.79643044,2.218469e-05,24.706,18.833,18.833
2mer-0+332,0.00408688,4,0.00817376,-130.78825668,2.152185e-05,23.93,19.024,19.024
2mer-0+385,-0.00827268,2,-0.00827268,-130.79652936,2.14291e-05,24.009,19.052,19.052
2mer-0+330,-0.0025413,4,-0.00508261,-130.80161197,2.14245e-05,22.034,19.053,19.053
2mer-0+306,-0.00873628,4,-0.01747256,-130.81908452,2.128518e-05,24.926,19.095,19.095
2mer-0+308,-0.01370539,2,-0.01370539,-130.83278992,2.126863e-05,24.472,19.099,19.099
2mer-0+391,0.0030075,2,0.0030075,-130.82978242,2.123119e-05,23.937,19.111,19.111
2mer-0+328,0.00584766,4,0.01169531,-130.81808711,2.121795e-05,26.153,19.115,19.115
2mer-0+360,-0.00279309,2,-0.00279309,-130.8208802,2.112564e-05,23.843,19.142,19.142
2mer-0+313,0.00446331,2,0.00446331,-130.81641689,2.109772e-05,20.716,19.151,19.151
2mer-0+352,0.00689815,4,0.01379631,-130.80262058,2.098167e-05,23.014,19.186,19.186
2mer-0+381,0.00736361,2,0.00736361,-130.79525697,2.062451e-05,22.325,19.296,19.296
2mer-0+336,0.00636437,2,0.00636437,-130.7888926,2.059931e-05,23.227,19.304,19.304
2mer-0+337,-0.01023398,4,-0.02046796,-130.80936056,2.055957e-05,24.933,19.317,19.317
2mer-0+399,0.01247127,4,0.02494254,-130.78441801,2.044281e-05,22.063,19.353,19.353
2mer-0+318,-0.00680621,2,-0.00680621,-130.79122422,2.032447e-05,24.327,19.391,19.391
2mer-0+376,-0.00261466,2,-0.00261466,-130.79383888,2.017375e-05,21.669,19.439,19.439
2mer-0+325,-0.00294442,2,-0.00294442,-130.7967833,1.989633e-05,23.557,19.529,19.529
2mer-0+397,0.00730614,4,0.01461227,-130.78217102,1.956878e-05,22.762,19.637,19.637
2mer-0+351,-0.00369339,4,-0.00738677,-130.78955779,1.947407e-05,23.163,19.669,19.669
2mer-0+400,-0.00248643,4,-0.00497287,-130.79453066,1.924589e-05,22.393,19.746,19.746
2mer-0+395,0.01724652,2,0.01724652,-130.77728414,1.909369e-05,23.116,19.799,19.799
2mer-0+416,0.00986771,4,0.01973542,-130.75754872,1.906865e-05,22.698,19.807,19.807
2mer-0+413,0.00149085,2,0.00149085,-130.75605787,1.903471e-05,23.116,19.819,19.819
2mer-0+368,-0.00747483,2,-0.00747483,-130.7635327,1.88407e-05,26.593,19.887,19.887
2mer-0+417,0.00452135,2,0.00452135,-130.75901136,1.874764e-05,26.358,19.92,19.92
2mer-0+419,0.00464528,2,0.00464528,-130.75436607,1.870543e-05,25.911,19.935,19.935
2mer-0+382,0.01465015,2,0.01465015,-130.73971592,1.863069e-05,23.937,19.961,19.961
2mer-0+437,-0.00864245,2,-0.00864245,-130.74835837,1.859572e-05,22.72,19.974,19.974
