N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-61.72928708,2,-61.72928708,-61.72928708,0.02886518,7.616,1.725,1.725
2mer-0+5,-11.70992397,4,-23.41984794,-85.14913502,0.007929366,5.052,2.654,2.654
2mer-0+2,-7.2979727,2,-7.2979727,-92.44710772,0.007578736,5.466,2.694,2.694
2mer-0+4,-20.08954873,2,-20.08954873,-112.53665645,0.006383027,5.021,2.853,2.853
2mer-0+3,0.49027737,4,0.98055473,-111.55610172,0.005129321,7.54,3.068,3.068
2mer-0+12,-1.61768195,4,-3.2353639,-114.79146562,0.00140947,7.345,4.72,4.72
2mer-0+10,-2.15023622,4,-4.30047245,-119.09193807,0.00138247,10.497,4.75,4.75
2mer-0+18,-0.91674157,2,-0.91674157,-120.00867964,0.001052027,7.223,5.203,5.203
2mer-0+13,0.04307534,2,0.04307534,-119.9656043,0.0008270637,12.27,5.638,5.638
2mer-0+21,-0.76749588,4,-1.53499177,-121.50059607,0.0007808023,8.714,5.747,5.747
2mer-0+26,-0.7001177,2,-0.7001177,-122.20071377,0.0006534362,8.768,6.098,6.098
2mer-0+19,-1.24529634,2,-1.24529634,-123.44601011,0.0005754055,11.685,6.362,6.362
2mer-0+20,0.06051005,2,0.06051005,-123.38550005,0.0005258101,10.932,6.556,6.556
2mer-0+35,-0.21606094,2,-0.21606094,-123.60156099,0.0004754857,11.614,6.78,6.78
2mer-0+17,-0.159338,4,-0.318676,-123.920237,0.0004713587,12.164,6.8,6.8
2mer-0+40,-0.63522327,2,-0.63522327,-124.55546027,0.0004710394,10.332,6.801,6.801
2mer-0+28,-0.41636573,2,-0.41636573,-124.97182599,0.000470996,10.041,6.801,6.801
2mer-0+43,-0.21534533,2,-0.21534533,-125.18717133,0.0003786257,10.104,7.315,7.315
2mer-0+36,0.15589242,2,0.15589242,-125.03127891,0.0003328509,10.104,7.636,7.636
2mer-0+25,-0.06354867,4,-0.12709735,-125.15837626,0.000316962,14.29,7.761,7.761
2mer-0+46,-0.19946434,4,-0.39892868,-125.55730493,0.000302886,10.072,7.88,7.88
2mer-0+30,-0.2690889,2,-0.2690889,-125.82639384,0.0002990397,10.332,7.913,7.913
2mer-0+34,0.19239907,2,0.19239907,-125.63399477,0.0002895253,11.614,7.999,7.999
2mer-0+38,-0.15058444,2,-0.15058444,-125.78457921,0.0002477477,15.232,8.426,8.426
2mer-0+52,0.03763211,2,0.03763211,-125.7469471,0.0002361462,15.081,8.561,8.561
2mer-0+63,-0.20514039,2,-0.20514039,-125.9520875,0.0002303463,11.36,8.633,8.633
2mer-0+39,-0.12241455,4,-0.2448291,-126.19691659,0.0002134913,11.922,8.854,8.854
2mer-0+55,-0.03016555,2,-0.03016555,-126.22708214,0.0002106011,11.36,8.894,8.894
2mer-0+59,-0.13287707,2,-0.13287707,-126.35995921,0.0001965312,14.014,9.102,9.102
2mer-0+62,0.05251305,2,0.05251305,-126.30744617,0.0001951187,14.609,9.124,9.124
2mer-0+49,-0.06601364,4,-0.13202728,-126.43947345,0.0001881865,14.626,9.234,9.234
2mer-0+64,-0.13979322,2,-0.13979322,-126.57926667,0.0001842489,11.175,9.3,9.3
2mer-0+48,-0.03211162,2,-0.03211162,-126.61137829,0.000180587,11.785,9.362,9.362
2mer-0+65,0.0248801,4,0.04976021,-126.56161808,0.000154427,13.295,9.863,9.863
2mer-0+71,0.21502412,2,0.21502412,-126.34659396,0.0001501128,13.33,9.957,9.957
2mer-0+60,0.13457345,2,0.13457345,-126.21202051,0.0001423892,14.609,10.134,10.134
2mer-0+80,0.02142206,2,0.02142206,-126.19059845,0.0001369555,13.33,10.266,10.266
2mer-0+84,0.06955735,2,0.06955735,-126.12104111,0.0001241793,17.575,10.607,10.607
2mer-0+88,0.08457485,4,0.16914969,-125.95189141,0.0001202946,13.39,10.72,10.72
2mer-0+74,0.02339114,2,0.02339114,-125.92850027,0.0001157674,17.403,10.858,10.858
2mer-0+86,0.0207831,4,0.04156619,-125.88693408,0.0001082269,14.513,11.104,11.104
2mer-0+67,-0.06598551,2,-0.06598551,-125.95291959,0.0001068216,15.081,11.153,11.153
2mer-0+75,-0.00788498,4,-0.01576996,-125.96868955,0.000106478,17.631,11.165,11.165
2mer-0+79,0.02343202,2,0.02343202,-125.94525754,0.0001045493,16.399,11.233,11.233
2mer-0+81,-0.11708628,2,-0.11708628,-126.06234382,0.0001018587,16.293,11.331,11.331
2mer-0+101,-0.1064489,2,-0.1064489,-126.16879272,0.0001007296,14.689,11.373,11.373
2mer-0+112,0.04596115,4,0.0919223,-126.07687042,9.948506e-05,14.412,11.42,11.42
2mer-0+78,0.01285717,4,0.02571435,-126.05115607,9.896066e-05,17.286,11.441,11.441
2mer-0+82,-0.06220572,4,-0.12441143,-126.17556751,9.754002e-05,13.664,11.496,11.496
2mer-0+93,-0.05596431,2,-0.05596431,-126.23153181,9.719563e-05,15.062,11.509,11.509
2mer-0+73,-0.05226861,2,-0.05226861,-126.28380043,9.642555e-05,14.014,11.54,11.54
2mer-0+114,0.00020237,2,0.00020237,-126.28359805,9.560317e-05,14.204,11.573,11.573
2mer-0+128,0.01818907,2,0.01818907,-126.26540899,8.620192e-05,14.204,11.979,11.979
2mer-0+113,-0.00655611,4,-0.01311222,-126.27852121,8.498071e-05,14.119,12.036,12.036
2mer-0+105,-0.04798536,4,-0.09597071,-126.37449192,8.344738e-05,16.246,12.11,12.11
2mer-0+92,0.02202941,4,0.04405883,-126.3304331,8.246677e-05,18.92,12.157,12.157
2mer-0+119,-0.02466194,2,-0.02466194,-126.35509504,8.041959e-05,14.446,12.26,12.26
2mer-0+116,-0.00948108,4,-0.01896215,-126.37405719,7.969696e-05,15.156,12.297,12.297
2mer-0+131,0.03243031,2,0.03243031,-126.34162688,7.362935e-05,19.487,12.626,12.626
2mer-0+109,-0.00566143,2,-0.00566143,-126.34728831,7.321022e-05,19.678,12.65,12.65
2mer-0+111,-0.05584996,2,-0.05584996,-126.40313827,7.280263e-05,19.075,12.673,12.673
2mer-0+100,0.00080889,2,0.00080889,-126.40232937,7.062425e-05,14.689,12.802,12.802
2mer-0+107,-0.01180144,4,-0.02360287,-126.42593224,7.031146e-05,17.031,12.821,12.821
2mer-0+98,-0.03826734,2,-0.03826734,-126.46419958,6.928018e-05,17.575,12.884,12.884
2mer-0+137,-0.00368143,2,-0.00368143,-126.46788101,6.823818e-05,18.596,12.95,12.95
2mer-0+140,0.00620829,2,0.00620829,-126.46167271,6.688619e-05,18.503,13.036,13.036
2mer-0+118,-0.01802966,4,-0.03605932,-126.49773203,6.332297e-05,17.37,13.276,13.276
2mer-0+164,0.00682508,4,0.01365016,-126.48408188,6.282554e-05,15.975,13.311,13.311
2mer-0+150,-0.02066234,2,-0.02066234,-126.50474422,5.942508e-05,15.748,13.561,13.561
2mer-0+132,0.00392117,2,0.00392117,-126.50082305,5.894801e-05,16.893,13.597,13.597
2mer-0+149,0.0546088,2,0.0546088,-126.44621425,5.872411e-05,17.428,13.614,13.614
2mer-0+146,0.00139279,4,0.00278559,-126.44342866,5.605205e-05,17.201,13.827,13.827
2mer-0+134,-0.0377678,4,-0.0755356,-126.51896426,5.59293e-05,18.92,13.837,13.837
2mer-0+139,0.02219885,2,0.02219885,-126.49676541,5.577917e-05,18.503,13.85,13.85
2mer-0+165,0.00011621,2,0.00011621,-126.4966492,5.337791e-05,17.428,14.054,14.054
2mer-0+184,-0.03651848,2,-0.03651848,-126.53316769,5.328777e-05,16.899,14.062,14.062
2mer-0+147,0.0043366,4,0.0086732,-126.52449448,5.302946e-05,19.185,14.085,14.085
2mer-0+172,0.03027833,2,0.03027833,-126.49421615,5.179676e-05,21.543,14.196,14.196
2mer-0+173,0.01569558,2,0.01569558,-126.47852058,5.156757e-05,20.994,14.217,14.217
2mer-0+166,0.01672323,4,0.03344647,-126.44507411,4.957951e-05,18.11,14.405,14.405
2mer-0+163,-0.03670576,4,-0.07341152,-126.51848562,4.892064e-05,19.175,14.469,14.469
2mer-0+186,-0.0159532,4,-0.0319064,-126.55039203,4.738254e-05,16.784,14.624,14.624
2mer-0+157,0.01004448,4,0.02008896,-126.53030307,4.696225e-05,21.622,14.667,14.667
2mer-0+201,-0.02582258,2,-0.02582258,-126.55612566,4.542914e-05,17.536,14.831,14.831
2mer-0+189,-0.02069994,4,-0.04139989,-126.59752554,4.499261e-05,18.18,14.878,14.878
2mer-0+191,-0.02233958,2,-0.02233958,-126.61986513,4.433579e-05,19.033,14.951,14.951
2mer-0+185,0.01044463,2,0.01044463,-126.60942049,4.37975e-05,16.899,15.012,15.012
2mer-0+154,-0.02723951,2,-0.02723951,-126.63666,4.244571e-05,19.487,15.17,15.17
2mer-0+230,-0.03636186,2,-0.03636186,-126.67302187,4.151583e-05,18.368,15.283,15.283
2mer-0+203,0.01623036,2,0.01623036,-126.65679151,4.138329e-05,18.024,15.299,15.299
2mer-0+224,-0.02303857,2,-0.02303857,-126.67983008,4.136857e-05,19.118,15.301,15.301
2mer-0+234,-0.02201912,2,-0.02201912,-126.7018492,4.065578e-05,18.241,15.39,15.39
2mer-0+162,-0.01343754,2,-0.01343754,-126.71528673,4.025155e-05,18.596,15.441,15.441
2mer-0+181,0.00164868,4,0.00329736,-126.71198937,3.998615e-05,21.631,15.475,15.475
2mer-0+182,-0.01630982,4,-0.03261965,-126.74460902,3.99157e-05,18.214,15.484,15.484
2mer-0+210,-0.00053355,4,-0.0010671,-126.74567612,3.854594e-05,18.452,15.665,15.665
2mer-0+205,-0.00857965,2,-0.00857965,-126.75425577,3.796891e-05,18.368,15.744,15.744
2mer-0+196,-0.01213529,2,-0.01213529,-126.76639106,3.692251e-05,22.847,15.892,15.892
2mer-0+219,0.00253099,2,0.00253099,-126.76386007,3.6723e-05,18.241,15.92,15.92
2mer-0+193,-0.02542815,4,-0.0508563,-126.81471637,3.594683e-05,21.555,16.034,16.034
2mer-0+248,-0.00846897,2,-0.00846897,-126.82318534,3.592305e-05,18.135,16.038,16.038
2mer-0+188,-0.01707646,2,-0.01707646,-126.84026179,3.574884e-05,20.994,16.064,16.064
2mer-0+223,0.00370593,2,0.00370593,-126.83655586,3.569458e-05,18.024,16.072,16.072
2mer-0+247,-0.01021054,2,-0.01021054,-126.84676641,3.496914e-05,18.965,16.182,16.182
2mer-0+227,0.00873311,4,0.01746623,-126.82930018,3.461363e-05,18.646,16.237,16.237
2mer-0+207,0.00669671,2,0.00669671,-126.82260347,3.459348e-05,22.692,16.241,16.241
2mer-0+245,-0.00527549,4,-0.01055098,-126.83315445,3.448719e-05,18.791,16.257,16.257
2mer-0+211,-0.02427035,2,-0.02427035,-126.8574248,3.424428e-05,21.091,16.296,16.296
2mer-0+266,-0.01030643,2,-0.01030643,-126.86773123,3.366825e-05,21.403,16.388,16.388
2mer-0+222,-0.01413528,2,-0.01413528,-126.88186651,3.357137e-05,20.082,16.404,16.404
2mer-0+213,0.0069497,2,0.0069497,-126.8749168,3.356239e-05,21.865,16.405,16.405
2mer-0+218,0.01172117,2,0.01172117,-126.86319563,3.345959e-05,19.118,16.422,16.422
2mer-0+270,-0.02377868,2,-0.02377868,-126.88697431,3.334381e-05,20.665,16.441,16.441
2mer-0+194,-0.02411952,2,-0.02411952,-126.91109383,3.29866e-05,21.543,16.5,16.5
2mer-0+216,-0.00381425,2,-0.00381425,-126.91490808,3.296377e-05,18.768,16.504,16.504
2mer-0+259,-0.01888575,2,-0.01888575,-126.93379383,3.27942e-05,18.965,16.532,16.532
2mer-0+215,0.00640255,4,0.01280511,-126.92098872,3.244151e-05,22.57,16.592,16.592
2mer-0+198,-0.00906147,4,-0.01812293,-126.93911165,3.198e-05,21.274,16.672,16.672
2mer-0+279,-0.00284891,2,-0.00284891,-126.94196056,3.188121e-05,21.072,16.689,16.689
2mer-0+208,0.00080399,2,0.00080399,-126.94115657,3.113937e-05,19.033,16.82,16.82
2mer-0+272,0.01134811,2,0.01134811,-126.92980845,2.938644e-05,24.472,17.148,17.148
2mer-0+297,-0.00478473,2,-0.00478473,-126.93459319,2.933446e-05,20.207,17.158,17.158
2mer-0+237,0.00857006,4,0.01714013,-126.91745306,2.922724e-05,23.906,17.179,17.179
2mer-0+217,-0.01203265,4,-0.0240653,-126.94151836,2.908871e-05,22.621,17.207,17.207
2mer-0+250,-0.01804657,2,-0.01804657,-126.95956493,2.842709e-05,23.369,17.339,17.339
2mer-0+333,-0.00671507,2,-0.00671507,-126.96628001,2.78665e-05,20.144,17.454,17.454
2mer-0+288,0.01150791,2,0.01150791,-126.9547721,2.778248e-05,24.327,17.472,17.472
2mer-0+235,-0.00438754,4,-0.00877507,-126.96354717,2.777415e-05,21.067,17.474,17.474
2mer-0+285,0.02103165,2,0.02103165,-126.94251552,2.771298e-05,20.207,17.487,17.487
2mer-0+246,-0.00010409,4,-0.00020818,-126.94272371,2.770014e-05,22.311,17.489,17.489
2mer-0+290,-0.00278505,2,-0.00278505,-126.94550876,2.75399e-05,22.841,17.523,17.523
2mer-0+316,0.00245579,2,0.00245579,-126.94305297,2.744415e-05,23.227,17.544,17.544
2mer-0+261,0.00154551,2,0.00154551,-126.94150746,2.730852e-05,24.54,17.573,17.573
2mer-0+269,0.02110752,2,0.02110752,-126.92039993,2.723683e-05,21.072,17.588,17.588
2mer-0+295,0.00432059,2,0.00432059,-126.91607934,2.706458e-05,23.557,17.625,17.625
2mer-0+302,-0.01610332,2,-0.01610332,-126.93218265,2.670826e-05,20.716,17.703,17.703
2mer-0+343,-0.02078563,2,-0.02078563,-126.95296828,2.622398e-05,21.128,17.812,17.812
2mer-0+311,-0.00517088,2,-0.00517088,-126.95813916,2.595218e-05,20.531,17.874,17.874
2mer-0+298,0.01136787,2,0.01136787,-126.94677128,2.564976e-05,21.913,17.943,17.943
2mer-0+291,-0.01341156,4,-0.02682312,-126.9735944,2.558996e-05,22.844,17.957,17.957
2mer-0+282,0.00285081,2,0.00285081,-126.97074359,2.530114e-05,22.173,18.026,18.026
2mer-0+361,-0.00200085,2,-0.00200085,-126.97274445,2.514554e-05,20.794,18.063,18.063
2mer-0+271,-0.00325309,2,-0.00325309,-126.97599753,2.472904e-05,20.665,18.163,18.163
2mer-0+278,0.00264398,2,0.00264398,-126.97335355,2.460439e-05,21.403,18.194,18.194
