N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-49.47391221,2,-49.47391221,-49.47391221,0.02886518,7.616,1.725,1.725
2mer-0+5,-7.16801196,4,-14.33602392,-63.80993613,0.007929366,5.052,2.654,2.654
2mer-0+2,1.15644089,2,1.15644089,-62.65349524,0.007578736,5.466,2.694,2.694
2mer-0+4,-14.53281123,2,-14.53281123,-77.18630647,0.006383027,5.021,2.853,2.853
2mer-0+3,2.19590233,4,4.39180465,-72.79450182,0.005129321,7.54,3.068,3.068
2mer-0+12,-1.1289171,4,-2.2578342,-75.05233601,0.00140947,7.345,4.72,4.72
2mer-0+10,-2.04823891,4,-4.09647782,-79.14881383,0.00138247,10.497,4.75,4.75
2mer-0+18,-0.51092997,2,-0.51092997,-79.6597438,0.001052027,7.223,5.203,5.203
2mer-0+13,0.23347709,2,0.23347709,-79.42626671,0.0008270637,12.27,5.638,5.638
2mer-0+21,-0.54865835,4,-1.0973167,-80.52358341,0.0007808023,8.714,5.747,5.747
2mer-0+26,-0.47273159,2,-0.47273159,-80.99631499,0.0006534362,8.768,6.098,6.098
2mer-0+19,-1.19536372,2,-1.19536372,-82.19167871,0.0005754055,11.685,6.362,6.362
2mer-0+20,0.16330637,2,0.16330637,-82.02837234,0.0005258101,10.932,6.556,6.556
2mer-0+35,-0.22213547,2,-0.22213547,-82.25050781,0.0004754857,11.614,6.78,6.78
2mer-0+17,-0.12759301,4,-0.25518602,-82.50569384,0.0004713587,12.164,6.8,6.8
2mer-0+40,-0.52984888,2,-0.52984888,-83.03554272,0.0004710394,10.332,6.801,6.801
2mer-0+28,-0.35396603,2,-0.35396603,-83.38950875,0.000470996,10.041,6.801,6.801
2mer-0+43,-0.16151216,2,-0.16151216,-83.55102091,0.0003786257,10.104,7.315,7.315
2mer-0+36,0.30108742,2,0.30108742,-83.24993349,0.0003328509,10.104,7.636,7.636
2mer-0+25,-0.03980228,4,-0.07960456,-83.32953805,0.000316962,14.29,7.761,7.761
2mer-0+46,-0.1204498,4,-0.2408996,-83.57043765,0.000302886,10.072,7.88,7.88
2mer-0+30,-0.21062526,2,-0.21062526,-83.78106291,0.0002990397,10.332,7.913,7.913
2mer-0+34,0.19440626,2,0.19440626,-83.58665665,0.0002895253,11.614,7.999,7.999
2mer-0+38,-0.10721223,2,-0.10721223,-83.69386888,0.0002477477,15.232,8.426,8.426
2mer-0+52,0.01586583,2,0.01586583,-83.67800305,0.0002361462,15.081,8.561,8.561
2mer-0+63,-0.11811102,2,-0.11811102,-83.79611407,0.0002303463,11.36,8.633,8.633
2mer-0+39,-0.09879274,4,-0.19758548,-83.99369955,0.0002134913,11.922,8.854,8.854
2mer-0+55,-0.00185479,2,-0.00185479,-83.99555434,0.0002106011,11.36,8.894,8.894
2mer-0+59,-0.1474509,2,-0.1474509,-84.14300524,0.0001965312,14.014,9.102,9.102
2mer-0+62,0.06336862,2,0.06336862,-84.07963661,0.0001951187,14.609,9.124,9.124
2mer-0+49,-0.06602779,4,-0.13205558,-84.21169219,0.0001881865,14.626,9.234,9.234
2mer-0+64,-0.10426336,2,-0.10426336,-84.31595556,0.0001842489,11.175,9.3,9.3
2mer-0+48,-0.01053393,2,-0.01053393,-84.32648949,0.000180587,11.785,9.362,9.362
2mer-0+65,0.0352381,4,0.0704762,-84.25601329,0.000154427,13.295,9.863,9.863
2mer-0+71,0.23095786,2,0.23095786,-84.02505543,0.0001501128,13.33,9.957,9.957
2mer-0+60,0.11676288,2,0.11676288,-83.90829255,0.0001423892,14.609,10.134,10.134
2mer-0+80,0.03992426,2,0.03992426,-83.86836829,0.0001369555,13.33,10.266,10.266
2mer-0+84,0.07332899,2,0.07332899,-83.7950393,0.0001241793,17.575,10.607,10.607
2mer-0+88,0.09730056,4,0.19460113,-83.60043817,0.0001202946,13.39,10.72,10.72
2mer-0+74,0.03824989,2,0.03824989,-83.56218829,0.0001157674,17.403,10.858,10.858
2mer-0+86,0.03280462,4,0.06560924,-83.49657904,0.0001082269,14.513,11.104,11.104
2mer-0+67,-0.06982931,2,-0.06982931,-83.56640835,0.0001068216,15.081,11.153,11.153
2mer-0+75,-0.0031441,4,-0.0062882,-83.57269655,0.000106478,17.631,11.165,11.165
2mer-0+79,0.03084414,2,0.03084414,-83.54185241,0.0001045493,16.399,11.233,11.233
2mer-0+81,-0.11475527,2,-0.11475527,-83.65660767,0.0001018587,16.293,11.331,11.331
2mer-0+101,-0.0987163,2,-0.0987163,-83.75532397,0.0001007296,14.689,11.373,11.373
2mer-0+112,0.05153999,4,0.10307998,-83.65224399,9.948506e-05,14.412,11.42,11.42
2mer-0+78,0.01449078,4,0.02898156,-83.62326244,9.896066e-05,17.286,11.441,11.441
2mer-0+82,-0.04837684,4,-0.09675369,-83.72001613,9.754002e-05,13.664,11.496,11.496
2mer-0+93,-0.05501572,2,-0.05501572,-83.77503184,9.719563e-05,15.062,11.509,11.509
2mer-0+73,-0.04196805,2,-0.04196805,-83.8169999,9.642555e-05,14.014,11.54,11.54
2mer-0+114,0.02580205,2,0.02580205,-83.79119785,9.560317e-05,14.204,11.573,11.573
2mer-0+128,0.0271808,2,0.0271808,-83.76401704,8.620192e-05,14.204,11.979,11.979
2mer-0+113,0.00892278,4,0.01784557,-83.74617147,8.498071e-05,14.119,12.036,12.036
2mer-0+105,-0.04068057,4,-0.08136113,-83.82753261,8.344738e-05,16.246,12.11,12.11
2mer-0+92,0.02600033,4,0.05200066,-83.77553195,8.246677e-05,18.92,12.157,12.157
2mer-0+119,-0.01832905,2,-0.01832905,-83.793861,8.041959e-05,14.446,12.26,12.26
2mer-0+116,-0.00318495,4,-0.00636989,-83.80023089,7.969696e-05,15.156,12.297,12.297
2mer-0+131,0.02885466,2,0.02885466,-83.77137623,7.362935e-05,19.487,12.626,12.626
2mer-0+109,0.00465819,2,0.00465819,-83.76671804,7.321022e-05,19.678,12.65,12.65
2mer-0+111,-0.04901952,2,-0.04901952,-83.81573756,7.280263e-05,19.075,12.673,12.673
2mer-0+100,0.00894938,2,0.00894938,-83.80678818,7.062425e-05,14.689,12.802,12.802
2mer-0+107,-0.01126805,4,-0.0225361,-83.82932427,7.031146e-05,17.031,12.821,12.821
2mer-0+98,-0.04623525,2,-0.04623525,-83.87555952,6.928018e-05,17.575,12.884,12.884
2mer-0+137,-0.00990834,2,-0.00990834,-83.88546786,6.823818e-05,18.596,12.95,12.95
2mer-0+140,0.01273845,2,0.01273845,-83.87272941,6.688619e-05,18.503,13.036,13.036
2mer-0+118,-0.01405774,4,-0.02811548,-83.90084489,6.332297e-05,17.37,13.276,13.276
2mer-0+164,0.00884181,4,0.01768361,-83.88316127,6.282554e-05,15.975,13.311,13.311
2mer-0+150,-0.01657708,2,-0.01657708,-83.89973836,5.942508e-05,15.748,13.561,13.561
2mer-0+132,0.00577228,2,0.00577228,-83.89396608,5.894801e-05,16.893,13.597,13.597
2mer-0+149,0.05284028,2,0.05284028,-83.8411258,5.872411e-05,17.428,13.614,13.614
2mer-0+146,0.00300092,4,0.00600183,-83.83512397,5.605205e-05,17.201,13.827,13.827
2mer-0+134,-0.03474808,4,-0.06949615,-83.90462012,5.59293e-05,18.92,13.837,13.837
2mer-0+139,0.01429838,2,0.01429838,-83.89032175,5.577917e-05,18.503,13.85,13.85
2mer-0+165,0.00591833,2,0.00591833,-83.88440342,5.337791e-05,17.428,14.054,14.054
2mer-0+184,-0.02894612,2,-0.02894612,-83.91334955,5.328777e-05,16.899,14.062,14.062
2mer-0+147,0.00358577,4,0.00717154,-83.906178,5.302946e-05,19.185,14.085,14.085
2mer-0+172,0.03187409,2,0.03187409,-83.87430391,5.179676e-05,21.543,14.196,14.196
2mer-0+173,0.02017446,2,0.02017446,-83.85412946,5.156757e-05,20.994,14.217,14.217
2mer-0+166,0.01742505,4,0.0348501,-83.81927936,4.957951e-05,18.11,14.405,14.405
2mer-0+163,-0.03518642,4,-0.07037283,-83.8896522,4.892064e-05,19.175,14.469,14.469
2mer-0+186,-0.00932318,4,-0.01864635,-83.90829855,4.738254e-05,16.784,14.624,14.624
2mer-0+157,0.01233211,4,0.02466422,-83.88363433,4.696225e-05,21.622,14.667,14.667
2mer-0+201,-0.0192555,2,-0.0192555,-83.90288983,4.542914e-05,17.536,14.831,14.831
2mer-0+189,-0.01910978,4,-0.03821957,-83.94110939,4.499261e-05,18.18,14.878,14.878
2mer-0+191,-0.0244191,2,-0.0244191,-83.96552849,4.433579e-05,19.033,14.951,14.951
2mer-0+185,0.01345229,2,0.01345229,-83.9520762,4.37975e-05,16.899,15.012,15.012
2mer-0+154,-0.02562705,2,-0.02562705,-83.97770325,4.244571e-05,19.487,15.17,15.17
2mer-0+230,-0.032634,2,-0.032634,-84.01033726,4.151583e-05,18.368,15.283,15.283
2mer-0+203,0.02083183,2,0.02083183,-83.98950542,4.138329e-05,18.024,15.299,15.299
2mer-0+224,-0.02419186,2,-0.02419186,-84.01369728,4.136857e-05,19.118,15.301,15.301
2mer-0+234,-0.02046286,2,-0.02046286,-84.03416014,4.065578e-05,18.241,15.39,15.39
2mer-0+162,-0.01021884,2,-0.01021884,-84.04437897,4.025155e-05,18.596,15.441,15.441
2mer-0+181,0.00215751,4,0.00431502,-84.04006396,3.998615e-05,21.631,15.475,15.475
2mer-0+182,-0.01461545,4,-0.0292309,-84.06929486,3.99157e-05,18.214,15.484,15.484
2mer-0+210,1.265e-05,4,2.531e-05,-84.06926955,3.854594e-05,18.452,15.665,15.665
2mer-0+205,-0.00505749,2,-0.00505749,-84.07432704,3.796891e-05,18.368,15.744,15.744
2mer-0+196,-0.00814699,2,-0.00814699,-84.08247404,3.692251e-05,22.847,15.892,15.892
2mer-0+219,0.01060972,2,0.01060972,-84.07186431,3.6723e-05,18.241,15.92,15.92
2mer-0+193,-0.02439168,4,-0.04878336,-84.12064767,3.594683e-05,21.555,16.034,16.034
2mer-0+248,-0.00636507,2,-0.00636507,-84.12701274,3.592305e-05,18.135,16.038,16.038
2mer-0+188,-0.02120827,2,-0.02120827,-84.148221,3.574884e-05,20.994,16.064,16.064
2mer-0+223,0.00671531,2,0.00671531,-84.14150569,3.569458e-05,18.024,16.072,16.072
2mer-0+247,-0.00844925,2,-0.00844925,-84.14995495,3.496914e-05,18.965,16.182,16.182
2mer-0+227,0.01187458,4,0.02374916,-84.12620578,3.461363e-05,18.646,16.237,16.237
2mer-0+207,0.00946967,2,0.00946967,-84.11673612,3.459348e-05,22.692,16.241,16.241
2mer-0+245,-0.0041777,4,-0.00835539,-84.12509151,3.448719e-05,18.791,16.257,16.257
2mer-0+211,-0.02417089,2,-0.02417089,-84.1492624,3.424428e-05,21.091,16.296,16.296
2mer-0+266,-0.01306959,2,-0.01306959,-84.16233199,3.366825e-05,21.403,16.388,16.388
2mer-0+222,-0.01449029,2,-0.01449029,-84.17682228,3.357137e-05,20.082,16.404,16.404
2mer-0+213,0.00837065,2,0.00837065,-84.16845162,3.356239e-05,21.865,16.405,16.405
2mer-0+218,0.01448165,2,0.01448165,-84.15396998,3.345959e-05,19.118,16.422,16.422
2mer-0+270,-0.02448059,2,-0.02448059,-84.17845057,3.334381e-05,20.665,16.441,16.441
2mer-0+194,-0.02432107,2,-0.02432107,-84.20277164,3.29866e-05,21.543,16.5,16.5
2mer-0+216,-0.00302405,2,-0.00302405,-84.2057957,3.296377e-05,18.768,16.504,16.504
2mer-0+259,-0.01162576,2,-0.01162576,-84.21742146,3.27942e-05,18.965,16.532,16.532
2mer-0+215,0.00655618,4,0.01311235,-84.20430911,3.244151e-05,22.57,16.592,16.592
2mer-0+198,-0.00831817,4,-0.01663634,-84.22094545,3.198e-05,21.274,16.672,16.672
2mer-0+279,-0.00424478,2,-0.00424478,-84.22519023,3.188121e-05,21.072,16.689,16.689
2mer-0+208,0.0031464,2,0.0031464,-84.22204383,3.113937e-05,19.033,16.82,16.82
2mer-0+272,0.01350797,2,0.01350797,-84.20853585,2.938644e-05,24.472,17.148,17.148
2mer-0+297,-0.00489103,2,-0.00489103,-84.21342688,2.933446e-05,20.207,17.158,17.158
2mer-0+237,0.00934698,4,0.01869395,-84.19473293,2.922724e-05,23.906,17.179,17.179
2mer-0+217,-0.01110195,4,-0.02220391,-84.21693683,2.908871e-05,22.621,17.207,17.207
2mer-0+250,-0.01672895,2,-0.01672895,-84.23366578,2.842709e-05,23.369,17.339,17.339
2mer-0+333,-0.00353623,2,-0.00353623,-84.23720202,2.78665e-05,20.144,17.454,17.454
2mer-0+288,0.01096204,2,0.01096204,-84.22623997,2.778248e-05,24.327,17.472,17.472
2mer-0+235,-0.00419345,4,-0.00838689,-84.23462686,2.777415e-05,21.067,17.474,17.474
2mer-0+285,0.02536557,2,0.02536557,-84.2092613,2.771298e-05,20.207,17.487,17.487
2mer-0+246,-0.00033348,4,-0.00066697,-84.20992826,2.770014e-05,22.311,17.489,17.489
2mer-0+290,-0.00058238,2,-0.00058238,-84.21051064,2.75399e-05,22.841,17.523,17.523
2mer-0+316,0.00073335,2,0.00073335,-84.20977729,2.744415e-05,23.227,17.544,17.544
2mer-0+261,0.00424409,2,0.00424409,-84.2055332,2.730852e-05,24.54,17.573,17.573
2mer-0+269,0.02151841,2,0.02151841,-84.18401479,2.723683e-05,21.072,17.588,17.588
2mer-0+295,0.00281082,2,0.00281082,-84.18120397,2.706458e-05,23.557,17.625,17.625
2mer-0+302,-0.01543004,2,-0.01543004,-84.19663401,2.670826e-05,20.716,17.703,17.703
2mer-0+343,-0.01849257,2,-0.01849257,-84.21512658,2.622398e-05,21.128,17.812,17.812
2mer-0+311,-0.00471189,2,-0.00471189,-84.21983847,2.595218e-05,20.531,17.874,17.874
2mer-0+298,0.00983377,2,0.00983377,-84.2100047,2.564976e-05,21.913,17.943,17.943
2mer-0+291,-0.01332402,4,-0.02664804,-84.23665274,2.558996e-05,22.844,17.957,17.957
2mer-0+282,0.00314399,2,0.00314399,-84.23350875,2.530114e-05,22.173,18.026,18.026
2mer-0+361,-0.00145475,2,-0.00145475,-84.2349635,2.514554e-05,20.794,18.063,18.063
2mer-0+271,-0.00248537,2,-0.00248537,-84.23744887,2.472904e-05,20.665,18.163,18.163
2mer-0+278,0.00237403,2,0.00237403,-84.23507483,2.460439e-05,21.403,18.194,18.194
2mer-0+292,-0.00089985,2,-0.00089985,-84.23597468,2.456812e-05,22.841,18.203,18.203
2mer-0+321,-0.00809285,4,-0.01618571,-84.25216039,2.454377e-05,21.949,18.209,18.209
2mer-0+319,-0.00149011,2,-0.00149011,-84.2536505,2.452596e-05,21.913,18.213,18.213
2mer-0+286,0.00430453,4,0.00860905,-84.24504145,2.440002e-05,25.05,18.245,18.245
2mer-0+346,0.00727859,2,0.00727859,-84.23776286,2.415257e-05,20.794,18.307,18.307
2mer-0+348,-0.00178623,4,-0.00357246,-84.24133532,2.409357e-05,20.868,18.322,18.322
2mer-0+304,-0.00723654,4,-0.01447309,-84.2558084,2.406245e-05,20.587,18.33,18.33
2mer-0+347,0.00522861,2,0.00522861,-84.2505798,2.392491e-05,20.144,18.365,18.365
2mer-0+339,0.00275181,2,0.00275181,-84.24782798,2.341365e-05,24.96,18.497,18.497
2mer-0+356,0.0013606,4,0.00272119,-84.24510679,2.302731e-05,20.667,18.6,18.6
2mer-0+317,-0.00216681,2,-0.00216681,-84.2472736,2.295955e-05,21.128,18.619,18.619
2mer-0+349,0.01134785,2,0.01134785,-84.23592575,2.260089e-05,26.059,18.717,18.717
2mer-0+374,-0.00275896,2,-0.00275896,-84.23868471,2.218469e-05,24.706,18.833,18.833
2mer-0+332,0.00347612,4,0.00695225,-84.23173246,2.152185e-05,23.93,19.024,19.024
2mer-0+385,-0.01006593,2,-0.01006593,-84.24179839,2.14291e-05,24.009,19.052,19.052
2mer-0+330,-0.00282259,4,-0.00564519,-84.24744358,2.14245e-05,22.034,19.053,19.053
2mer-0+306,-0.00832562,4,-0.01665125,-84.26409482,2.128518e-05,24.926,19.095,19.095
2mer-0+308,-0.01454232,2,-0.01454232,-84.27863715,2.126863e-05,24.472,19.099,19.099
2mer-0+391,0.00257195,2,0.00257195,-84.2760652,2.123119e-05,23.937,19.111,19.111
2mer-0+328,0.00646591,4,0.01293182,-84.26313338,2.121795e-05,26.153,19.115,19.115
2mer-0+360,-0.00415505,2,-0.00415505,-84.26728843,2.112564e-05,23.843,19.142,19.142
2mer-0+313,0.00494619,2,0.00494619,-84.26234224,2.109772e-05,20.716,19.151,19.151
2mer-0+352,0.00657778,4,0.01315555,-84.24918669,2.098167e-05,23.014,19.186,19.186
2mer-0+381,0.00756919,2,0.00756919,-84.2416175,2.062451e-05,22.325,19.296,19.296
2mer-0+336,0.00492145,2,0.00492145,-84.23669605,2.059931e-05,23.227,19.304,19.304
