N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-57.39288401,2,-57.39288401,-57.39288401,0.02886518,7.616,1.725,1.725
2mer-0+5,-10.03734744,4,-20.07469489,-77.4675789,0.007929366,5.052,2.654,2.654
2mer-0+2,-3.62628855,2,-3.62628855,-81.09386745,0.007578736,5.466,2.694,2.694
2mer-0+4,-18.77643928,2,-18.77643928,-99.87030673,0.006383027,5.021,2.853,2.853
2mer-0+3,0.4090247,4,0.81804941,-99.05225732,0.005129321,7.54,3.068,3.068
2mer-0+12,-1.21575759,4,-2.43151517,-101.48377249,0.00140947,7.345,4.72,4.72
2mer-0+10,-2.02091588,4,-4.04183176,-105.52560425,0.00138247,10.497,4.75,4.75
2mer-0+18,-0.58983559,2,-0.58983559,-106.11543984,0.001052027,7.223,5.203,5.203
2mer-0+13,0.14788715,2,0.14788715,-105.96755269,0.0008270637,12.27,5.638,5.638
2mer-0+21,-0.5818422,4,-1.1636844,-107.13123709,0.0007808023,8.714,5.747,5.747
2mer-0+26,-0.52287627,2,-0.52287627,-107.65411337,0.0006534362,8.768,6.098,6.098
2mer-0+19,-1.17443379,2,-1.17443379,-108.82854716,0.0005754055,11.685,6.362,6.362
2mer-0+20,0.11068166,2,0.11068166,-108.71786549,0.0005258101,10.932,6.556,6.556
2mer-0+35,-0.21502788,2,-0.21502788,-108.93289338,0.0004754857,11.614,6.78,6.78
2mer-0+17,-0.13499697,4,-0.26999393,-109.20288731,0.0004713587,12.164,6.8,6.8
2mer-0+40,-0.55638224,2,-0.55638224,-109.75926955,0.0004710394,10.332,6.801,6.801
2mer-0+28,-0.34708237,2,-0.34708237,-110.10635192,0.000470996,10.041,6.801,6.801
2mer-0+43,-0.17154828,2,-0.17154828,-110.2779002,0.0003786257,10.104,7.315,7.315
2mer-0+36,0.23219412,2,0.23219412,-110.04570608,0.0003328509,10.104,7.636,7.636
2mer-0+25,-0.04573426,4,-0.09146853,-110.13717461,0.000316962,14.29,7.761,7.761
2mer-0+46,-0.13655766,4,-0.27311532,-110.41028993,0.000302886,10.072,7.88,7.88
2mer-0+30,-0.21049585,2,-0.21049585,-110.62078578,0.0002990397,10.332,7.913,7.913
2mer-0+34,0.18092511,2,0.18092511,-110.43986067,0.0002895253,11.614,7.999,7.999
2mer-0+38,-0.11951105,2,-0.11951105,-110.55937172,0.0002477477,15.232,8.426,8.426
2mer-0+52,0.02577632,2,0.02577632,-110.5335954,0.0002361462,15.081,8.561,8.561
2mer-0+63,-0.14726787,2,-0.14726787,-110.68086327,0.0002303463,11.36,8.633,8.633
2mer-0+39,-0.10306795,4,-0.2061359,-110.88699917,0.0002134913,11.922,8.854,8.854
2mer-0+55,-0.0093068,2,-0.0093068,-110.89630596,0.0002106011,11.36,8.894,8.894
2mer-0+59,-0.13886489,2,-0.13886489,-111.03517086,0.0001965312,14.014,9.102,9.102
2mer-0+62,0.05497582,2,0.05497582,-110.98019504,0.0001951187,14.609,9.124,9.124
2mer-0+49,-0.06597745,4,-0.1319549,-111.11214994,0.0001881865,14.626,9.234,9.234
2mer-0+64,-0.10415893,2,-0.10415893,-111.21630887,0.0001842489,11.175,9.3,9.3
2mer-0+48,-0.01853164,2,-0.01853164,-111.23484051,0.000180587,11.785,9.362,9.362
2mer-0+65,0.03006564,4,0.06013127,-111.17470923,0.000154427,13.295,9.863,9.863
2mer-0+71,0.21135194,2,0.21135194,-110.96335729,0.0001501128,13.33,9.957,9.957
2mer-0+60,0.11379107,2,0.11379107,-110.84956622,0.0001423892,14.609,10.134,10.134
2mer-0+80,0.02999542,2,0.02999542,-110.8195708,0.0001369555,13.33,10.266,10.266
2mer-0+84,0.07079364,2,0.07079364,-110.74877716,0.0001241793,17.575,10.607,10.607
2mer-0+88,0.08786295,4,0.17572589,-110.57305127,0.0001202946,13.39,10.72,10.72
2mer-0+74,0.03153245,2,0.03153245,-110.54151882,0.0001157674,17.403,10.858,10.858
2mer-0+86,0.02598988,4,0.05197977,-110.48953905,0.0001082269,14.513,11.104,11.104
