N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-49.02849467,2,-49.02849467,-49.02849467,0.02886518,7.616,1.725,1.725
2mer-0+5,-7.13394802,4,-14.26789604,-63.29639072,0.007929366,5.052,2.654,2.654
2mer-0+2,1.46316182,2,1.46316182,-61.8332289,0.007578736,5.466,2.694,2.694
2mer-0+4,-14.13035499,2,-14.13035499,-75.96358388,0.006383027,5.021,2.853,2.853
2mer-0+3,2.0536134,4,4.1072268,-71.85635709,0.005129321,7.54,3.068,3.068
2mer-0+12,-1.13361687,4,-2.26723374,-74.12359082,0.00140947,7.345,4.72,4.72
2mer-0+10,-2.0216355,4,-4.04327099,-78.16686182,0.00138247,10.497,4.75,4.75
2mer-0+18,-0.52021044,2,-0.52021044,-78.68707226,0.001052027,7.223,5.203,5.203
2mer-0+13,0.23991679,2,0.23991679,-78.44715548,0.0008270637,12.27,5.638,5.638
2mer-0+21,-0.53679708,4,-1.07359417,-79.52074964,0.0007808023,8.714,5.747,5.747
2mer-0+26,-0.45715337,2,-0.45715337,-79.97790302,0.0006534362,8.768,6.098,6.098
2mer-0+19,-1.16829225,2,-1.16829225,-81.14619527,0.0005754055,11.685,6.362,6.362
2mer-0+20,0.15191923,2,0.15191923,-80.99427603,0.0005258101,10.932,6.556,6.556
2mer-0+35,-0.23047526,2,-0.23047526,-81.2247513,0.0004754857,11.614,6.78,6.78
2mer-0+17,-0.12824054,4,-0.25648108,-81.48123237,0.0004713587,12.164,6.8,6.8
2mer-0+40,-0.52090717,2,-0.52090717,-82.00213955,0.0004710394,10.332,6.801,6.801
2mer-0+28,-0.34794137,2,-0.34794137,-82.35008091,0.000470996,10.041,6.801,6.801
2mer-0+43,-0.16603424,2,-0.16603424,-82.51611515,0.0003786257,10.104,7.315,7.315
2mer-0+36,0.29835964,2,0.29835964,-82.21775551,0.0003328509,10.104,7.636,7.636
2mer-0+25,-0.0369098,4,-0.07381959,-82.2915751,0.000316962,14.29,7.761,7.761
2mer-0+46,-0.11636574,4,-0.23273148,-82.52430658,0.000302886,10.072,7.88,7.88
2mer-0+30,-0.20169563,2,-0.20169563,-82.72600221,0.0002990397,10.332,7.913,7.913
2mer-0+34,0.18007303,2,0.18007303,-82.54592918,0.0002895253,11.614,7.999,7.999
2mer-0+38,-0.10004879,2,-0.10004879,-82.64597797,0.0002477477,15.232,8.426,8.426
2mer-0+52,0.01206804,2,0.01206804,-82.63390993,0.0002361462,15.081,8.561,8.561
2mer-0+63,-0.11047877,2,-0.11047877,-82.7443887,0.0002303463,11.36,8.633,8.633
2mer-0+39,-0.09978379,4,-0.19956758,-82.94395628,0.0002134913,11.922,8.854,8.854
2mer-0+55,-0.00374469,2,-0.00374469,-82.94770097,0.0002106011,11.36,8.894,8.894
2mer-0+59,-0.14907383,2,-0.14907383,-83.09677481,0.0001965312,14.014,9.102,9.102
2mer-0+62,0.06034373,2,0.06034373,-83.03643108,0.0001951187,14.609,9.124,9.124
2mer-0+49,-0.06703226,4,-0.13406451,-83.17049559,0.0001881865,14.626,9.234,9.234
2mer-0+64,-0.09948631,2,-0.09948631,-83.2699819,0.0001842489,11.175,9.3,9.3
