N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-69.84919181,2,-69.84919181,-69.84919181,0.02886518,7.616,1.725,1.725
2mer-0+5,-12.74796057,4,-25.49592113,-95.34511295,0.007929366,5.052,2.654,2.654
2mer-0+2,-6.65311332,2,-6.65311332,-101.99822626,0.007578736,5.466,2.694,2.694
2mer-0+4,-19.92716961,2,-19.92716961,-121.92539587,0.006383027,5.021,2.853,2.853
2mer-0+3,-0.77980554,4,-1.55961107,-123.48500695,0.005129321,7.54,3.068,3.068
2mer-0+12,-1.33394331,4,-2.66788661,-126.15289356,0.00140947,7.345,4.72,4.72
2mer-0+10,-2.08345782,4,-4.16691563,-130.31980919,0.00138247,10.497,4.75,4.75
2mer-0+18,-0.69288712,2,-0.69288712,-131.01269631,0.001052027,7.223,5.203,5.203
2mer-0+13,0.11981487,2,0.11981487,-130.89288144,0.0008270637,12.27,5.638,5.638
2mer-0+21,-0.56350985,4,-1.1270197,-132.01990115,0.0007808023,8.714,5.747,5.747
2mer-0+26,-0.57803178,2,-0.57803178,-132.59793292,0.0006534362,8.768,6.098,6.098
2mer-0+19,-1.21474725,2,-1.21474725,-133.81268017,0.0005754055,11.685,6.362,6.362
2mer-0+20,0.07171557,2,0.07171557,-133.7409646,0.0005258101,10.932,6.556,6.556
2mer-0+35,-0.211061,2,-0.211061,-133.9520256,0.0004754857,11.614,6.78,6.78
2mer-0+17,-0.14132786,4,-0.28265572,-134.23468132,0.0004713587,12.164,6.8,6.8
2mer-0+40,-0.60755594,2,-0.60755594,-134.84223726,0.0004710394,10.332,6.801,6.801
2mer-0+28,-0.3334772,2,-0.3334772,-135.17571446,0.000470996,10.041,6.801,6.801
2mer-0+43,-0.18607106,2,-0.18607106,-135.36178552,0.0003786257,10.104,7.315,7.315
2mer-0+36,0.23588925,2,0.23588925,-135.12589627,0.0003328509,10.104,7.636,7.636
2mer-0+25,-0.04087879,4,-0.08175758,-135.20765385,0.000316962,14.29,7.761,7.761
2mer-0+46,-0.14898531,4,-0.29797062,-135.50562448,0.000302886,10.072,7.88,7.88
2mer-0+30,-0.19535996,2,-0.19535996,-135.70098444,0.0002990397,10.332,7.913,7.913
2mer-0+34,0.2119231,2,0.2119231,-135.48906133,0.0002895253,11.614,7.999,7.999
2mer-0+38,-0.12879041,2,-0.12879041,-135.61785174,0.0002477477,15.232,8.426,8.426
2mer-0+52,0.04433536,2,0.04433536,-135.57351638,0.0002361462,15.081,8.561,8.561
2mer-0+63,-0.17818692,2,-0.17818692,-135.7517033,0.0002303463,11.36,8.633,8.633
2mer-0+39,-0.11709294,4,-0.23418588,-135.98588918,0.0002134913,11.922,8.854,8.854
