N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-79.81806835,2,-79.81806835,-79.81806835,0.02886518,7.616,1.725,1.725
2mer-0+5,-12.91439764,4,-25.82879528,-105.64686363,0.007929366,5.052,2.654,2.654
2mer-0+4,-25.70296459,2,-25.70296459,-131.34982822,0.006383027,5.021,2.853,2.853
2mer-0+3,0.51589862,4,1.03179724,-130.31803098,0.005129321,7.54,3.068,3.068
2mer-0+12,-1.31816355,4,-2.6363271,-132.95435808,0.00140947,7.345,4.72,4.72
2mer-0+10,-2.31260736,4,-4.62521472,-137.5795728,0.00138247,10.497,4.75,4.75
2mer-0+18,-0.61500017,2,-0.61500017,-138.19457297,0.001052027,7.223,5.203,5.203
2mer-0+21,-0.74203051,4,-1.48406102,-139.67863399,0.0007808023,8.714,5.747,5.747
2mer-0+26,-0.67883982,2,-0.67883982,-140.35747381,0.0006534362,8.768,6.098,6.098
2mer-0+19,-1.40205043,2,-1.40205043,-141.75952424,0.0005754055,11.685,6.362,6.362
2mer-0+20,0.18676629,2,0.18676629,-141.57275795,0.0005258101,10.932,6.556,6.556
2mer-0+17,-0.13997406,4,-0.27994812,-141.85270607,0.0004713587,12.164,6.8,6.8
2mer-0+40,-0.63893507,2,-0.63893507,-142.49164114,0.0004710394,10.332,6.801,6.801
2mer-0+28,-0.40928705,2,-0.40928705,-142.90092819,0.000470996,10.041,6.801,6.801
2mer-0+36,0.21619957,2,0.21619957,-142.68472862,0.0003328509,10.104,7.636,7.636
2mer-0+25,-0.06354785,4,-0.1270957,-142.81182432,0.000316962,14.29,7.761,7.761
2mer-0+46,-0.18206285,4,-0.3641257,-143.17595002,0.000302886,10.072,7.88,7.88
2mer-0+30,-0.29442881,2,-0.29442881,-143.47037883,0.0002990397,10.332,7.913,7.913
2mer-0+34,0.25949391,2,0.25949391,-143.21088492,0.0002895253,11.614,7.999,7.999
2mer-0+38,-0.16490504,2,-0.16490504,-143.37578996,0.0002477477,15.232,8.426,8.426
2mer-0+52,0.04861708,2,0.04861708,-143.32717288,0.0002361462,15.081,8.561,8.561
2mer-0+63,-0.20930857,2,-0.20930857,-143.53648145,0.0002303463,11.36,8.633,8.633
2mer-0+39,-0.10340124,4,-0.20680248,-143.74328393,0.0002134913,11.922,8.854,8.854
2mer-0+55,-0.00394338,2,-0.00394338,-143.74722731,0.0002106011,11.36,8.894,8.894
2mer-0+59,-0.13622812,2,-0.13622812,-143.88345543,0.0001965312,14.014,9.102,9.102
2mer-0+62,0.07634493,2,0.07634493,-143.8071105,0.0001951187,14.609,9.124,9.124
2mer-0+64,-0.14803841,2,-0.14803841,-143.95514891,0.0001842489,11.175,9.3,9.3
2mer-0+48,0.00098678,2,0.00098678,-143.95416213,0.000180587,11.785,9.362,9.362
2mer-0+65,0.04616794,4,0.09233588,-143.86182625,0.000154427,13.295,9.863,9.863
2mer-0+71,0.26488555,2,0.26488555,-143.5969407,0.0001501128,13.33,9.957,9.957
2mer-0+60,0.17252773,2,0.17252773,-143.42441297,0.0001423892,14.609,10.134,10.134
2mer-0+80,0.04866183,2,0.04866183,-143.37575114,0.0001369555,13.33,10.266,10.266
2mer-0+84,0.08168633,2,0.08168633,-143.29406481,0.0001241793,17.575,10.607,10.607
2mer-0+88,0.10981132,4,0.21962264,-143.07444217,0.0001202946,13.39,10.72,10.72
2mer-0+74,0.03063591,2,0.03063591,-143.04380626,0.0001157674,17.403,10.858,10.858
2mer-0+86,0.0338883,4,0.0677766,-142.97602966,0.0001082269,14.513,11.104,11.104
2mer-0+67,-0.07047018,2,-0.07047018,-143.04649984,0.0001068216,15.081,11.153,11.153
2mer-0+75,-0.00664018,4,-0.01328036,-143.0597802,0.000106478,17.631,11.165,11.165
2mer-0+79,0.03474585,2,0.03474585,-143.02503435,0.0001045493,16.399,11.233,11.233
2mer-0+81,-0.13153054,2,-0.13153054,-143.15656489,0.0001018587,16.293,11.331,11.331
2mer-0+101,-0.11435678,2,-0.11435678,-143.27092167,0.0001007296,14.689,11.373,11.373
2mer-0+112,0.06103573,4,0.12207146,-143.14885021,9.948506e-05,14.412,11.42,11.42
2mer-0+78,0.01766588,4,0.03533176,-143.11351845,9.896066e-05,17.286,11.441,11.441
2mer-0+82,-0.05992749,4,-0.11985498,-143.23337343,9.754002e-05,13.664,11.496,11.496
2mer-0+93,-0.05977616,2,-0.05977616,-143.29314959,9.719563e-05,15.062,11.509,11.509
2mer-0+73,-0.05480454,2,-0.05480454,-143.34795413,9.642555e-05,14.014,11.54,11.54
2mer-0+114,0.00347071,2,0.00347071,-143.34448342,9.560317e-05,14.204,11.573,11.573
2mer-0+128,0.03297125,2,0.03297125,-143.31151217,8.620192e-05,14.204,11.979,11.979
2mer-0+113,-0.00194724,4,-0.00389448,-143.31540665,8.498071e-05,14.119,12.036,12.036
2mer-0+105,-0.050763,4,-0.101526,-143.41693265,8.344738e-05,16.246,12.11,12.11
2mer-0+92,0.02588746,4,0.05177492,-143.36515773,8.246677e-05,18.92,12.157,12.157
2mer-0+119,-0.02205344,2,-0.02205344,-143.38721117,8.041959e-05,14.446,12.26,12.26
2mer-0+116,-0.00770368,4,-0.01540736,-143.40261853,7.969696e-05,15.156,12.297,12.297
2mer-0+131,0.03774556,2,0.03774556,-143.36487297,7.362935e-05,19.487,12.626,12.626
2mer-0+109,-0.0056761,2,-0.0056761,-143.37054907,7.321022e-05,19.678,12.65,12.65
2mer-0+111,-0.06343969,2,-0.06343969,-143.43398876,7.280263e-05,19.075,12.673,12.673
2mer-0+100,0.00770687,2,0.00770687,-143.42628189,7.062425e-05,14.689,12.802,12.802
2mer-0+107,-0.00888614,4,-0.01777228,-143.44405417,7.031146e-05,17.031,12.821,12.821
2mer-0+137,-0.00188792,2,-0.00188792,-143.44594209,6.823818e-05,18.596,12.95,12.95
2mer-0+140,0.01042542,2,0.01042542,-143.43551667,6.688619e-05,18.503,13.036,13.036
2mer-0+118,-0.01650194,4,-0.03300388,-143.46852055,6.332297e-05,17.37,13.276,13.276
2mer-0+164,0.00986731,4,0.01973462,-143.44878593,6.282554e-05,15.975,13.311,13.311
2mer-0+132,0.0106322,2,0.0106322,-143.43815373,5.894801e-05,16.893,13.597,13.597
2mer-0+149,0.06742508,2,0.06742508,-143.37072865,5.872411e-05,17.428,13.614,13.614
2mer-0+165,0.00469799,2,0.00469799,-143.36603066,5.337791e-05,17.428,14.054,14.054
2mer-0+184,-0.04065963,2,-0.04065963,-143.40669029,5.328777e-05,16.899,14.062,14.062
2mer-0+147,0.00797382,4,0.01594764,-143.39074265,5.302946e-05,19.185,14.085,14.085
2mer-0+172,0.03474124,2,0.03474124,-143.35600141,5.179676e-05,21.543,14.196,14.196
2mer-0+173,0.0188193,2,0.0188193,-143.33718211,5.156757e-05,20.994,14.217,14.217
2mer-0+163,-0.04108075,4,-0.0821615,-143.41934361,4.892064e-05,19.175,14.469,14.469
2mer-0+186,-0.01596148,4,-0.03192296,-143.45126657,4.738254e-05,16.784,14.624,14.624
2mer-0+157,0.01170858,4,0.02341716,-143.42784941,4.696225e-05,21.622,14.667,14.667
2mer-0+201,-0.02902239,2,-0.02902239,-143.4568718,4.542914e-05,17.536,14.831,14.831
2mer-0+189,-0.02337589,4,-0.04675178,-143.50362358,4.499261e-05,18.18,14.878,14.878
2mer-0+191,-0.0234513,2,-0.0234513,-143.52707488,4.433579e-05,19.033,14.951,14.951
2mer-0+185,0.01604118,2,0.01604118,-143.5110337,4.37975e-05,16.899,15.012,15.012
2mer-0+154,-0.03024258,2,-0.03024258,-143.54127628,4.244571e-05,19.487,15.17,15.17
2mer-0+230,-0.04009943,2,-0.04009943,-143.58137571,4.151583e-05,18.368,15.283,15.283
2mer-0+203,0.01945142,2,0.01945142,-143.56192429,4.138329e-05,18.024,15.299,15.299
2mer-0+224,-0.02439228,2,-0.02439228,-143.58631657,4.136857e-05,19.118,15.301,15.301
2mer-0+234,-0.02363687,2,-0.02363687,-143.60995344,4.065578e-05,18.241,15.39,15.39
2mer-0+162,-0.01365532,2,-0.01365532,-143.62360876,4.025155e-05,18.596,15.441,15.441
2mer-0+181,0.00289979,4,0.00579958,-143.61780918,3.998615e-05,21.631,15.475,15.475
2mer-0+182,-0.01587159,4,-0.03174318,-143.64955236,3.99157e-05,18.214,15.484,15.484
2mer-0+205,-0.01024526,2,-0.01024526,-143.65979762,3.796891e-05,18.368,15.744,15.744
2mer-0+196,-0.01388199,2,-0.01388199,-143.67367961,3.692251e-05,22.847,15.892,15.892
2mer-0+219,0.00347989,2,0.00347989,-143.67019972,3.6723e-05,18.241,15.92,15.92
2mer-0+248,-0.00936914,2,-0.00936914,-143.67956886,3.592305e-05,18.135,16.038,16.038
2mer-0+188,-0.01821088,2,-0.01821088,-143.69777974,3.574884e-05,20.994,16.064,16.064
2mer-0+223,0.00711234,2,0.00711234,-143.6906674,3.569458e-05,18.024,16.072,16.072
2mer-0+247,-0.01128537,2,-0.01128537,-143.70195277,3.496914e-05,18.965,16.182,16.182
2mer-0+227,0.01165911,4,0.02331822,-143.67863455,3.461363e-05,18.646,16.237,16.237
2mer-0+207,0.00834007,2,0.00834007,-143.67029448,3.459348e-05,22.692,16.241,16.241
2mer-0+245,-0.00609056,4,-0.01218112,-143.6824756,3.448719e-05,18.791,16.257,16.257
2mer-0+211,-0.02723935,2,-0.02723935,-143.70971495,3.424428e-05,21.091,16.296,16.296
2mer-0+266,-0.01074971,2,-0.01074971,-143.72046466,3.366825e-05,21.403,16.388,16.388
2mer-0+222,-0.01558214,2,-0.01558214,-143.7360468,3.357137e-05,20.082,16.404,16.404
2mer-0+218,0.01384569,2,0.01384569,-143.72220111,3.345959e-05,19.118,16.422,16.422
2mer-0+270,-0.02612382,2,-0.02612382,-143.74832493,3.334381e-05,20.665,16.441,16.441
2mer-0+194,-0.02717144,2,-0.02717144,-143.77549637,3.29866e-05,21.543,16.5,16.5
2mer-0+216,-0.00205871,2,-0.00205871,-143.77755508,3.296377e-05,18.768,16.504,16.504
2mer-0+259,-0.02081765,2,-0.02081765,-143.79837273,3.27942e-05,18.965,16.532,16.532
2mer-0+215,0.00779978,4,0.01559956,-143.78277317,3.244151e-05,22.57,16.592,16.592
2mer-0+198,-0.00919704,4,-0.01839408,-143.80116725,3.198e-05,21.274,16.672,16.672
2mer-0+279,-0.00167687,2,-0.00167687,-143.80284412,3.188121e-05,21.072,16.689,16.689
2mer-0+208,0.0029356,2,0.0029356,-143.79990852,3.113937e-05,19.033,16.82,16.82
2mer-0+272,0.01302768,2,0.01302768,-143.78688084,2.938644e-05,24.472,17.148,17.148
2mer-0+297,-0.00372737,2,-0.00372737,-143.79060821,2.933446e-05,20.207,17.158,17.158
2mer-0+237,0.00986053,4,0.01972106,-143.77088715,2.922724e-05,23.906,17.179,17.179
2mer-0+217,-0.01320218,4,-0.02640436,-143.79729151,2.908871e-05,22.621,17.207,17.207
2mer-0+250,-0.02053333,2,-0.02053333,-143.81782484,2.842709e-05,23.369,17.339,17.339
2mer-0+333,-0.00782631,2,-0.00782631,-143.82565115,2.78665e-05,20.144,17.454,17.454
2mer-0+288,0.01339069,2,0.01339069,-143.81226046,2.778248e-05,24.327,17.472,17.472
2mer-0+235,-0.00375952,4,-0.00751904,-143.8197795,2.777415e-05,21.067,17.474,17.474
2mer-0+285,0.02518982,2,0.02518982,-143.79458968,2.771298e-05,20.207,17.487,17.487
2mer-0+246,0.00076393,4,0.00152786,-143.79306182,2.770014e-05,22.311,17.489,17.489
2mer-0+290,-0.00245581,2,-0.00245581,-143.79551763,2.75399e-05,22.841,17.523,17.523
2mer-0+316,0.00352741,2,0.00352741,-143.79199022,2.744415e-05,23.227,17.544,17.544
2mer-0+261,0.0018964,2,0.0018964,-143.79009382,2.730852e-05,24.54,17.573,17.573
2mer-0+269,0.02543425,2,0.02543425,-143.76465957,2.723683e-05,21.072,17.588,17.588
2mer-0+295,0.00554392,2,0.00554392,-143.75911565,2.706458e-05,23.557,17.625,17.625
2mer-0+302,-0.01769627,2,-0.01769627,-143.77681192,2.670826e-05,20.716,17.703,17.703
2mer-0+343,-0.02313159,2,-0.02313159,-143.79994351,2.622398e-05,21.128,17.812,17.812
2mer-0+311,-0.00596263,2,-0.00596263,-143.80590614,2.595218e-05,20.531,17.874,17.874
2mer-0+298,0.01418583,2,0.01418583,-143.79172031,2.564976e-05,21.913,17.943,17.943
2mer-0+291,-0.01502319,4,-0.03004638,-143.82176669,2.558996e-05,22.844,17.957,17.957
2mer-0+282,0.00468121,2,0.00468121,-143.81708548,2.530114e-05,22.173,18.026,18.026
2mer-0+361,-0.00126065,2,-0.00126065,-143.81834613,2.514554e-05,20.794,18.063,18.063
2mer-0+271,-0.00401971,2,-0.00401971,-143.82236584,2.472904e-05,20.665,18.163,18.163
2mer-0+278,0.0032215,2,0.0032215,-143.81914434,2.460439e-05,21.403,18.194,18.194
2mer-0+292,0.00331704,2,0.00331704,-143.8158273,2.456812e-05,22.841,18.203,18.203
2mer-0+321,-0.00937676,4,-0.01875352,-143.83458082,2.454377e-05,21.949,18.209,18.209
2mer-0+319,-0.00273268,2,-0.00273268,-143.8373135,2.452596e-05,21.913,18.213,18.213
2mer-0+286,0.00426721,4,0.00853442,-143.82877908,2.440002e-05,25.05,18.245,18.245
2mer-0+346,0.00271657,2,0.00271657,-143.82606251,2.415257e-05,20.794,18.307,18.307
2mer-0+348,-0.00256948,4,-0.00513896,-143.83120147,2.409357e-05,20.868,18.322,18.322
2mer-0+304,-0.00930934,4,-0.01861868,-143.84982015,2.406245e-05,20.587,18.33,18.33
2mer-0+347,0.00602662,2,0.00602662,-143.84379353,2.392491e-05,20.144,18.365,18.365
2mer-0+339,0.00116893,2,0.00116893,-143.8426246,2.341365e-05,24.96,18.497,18.497
2mer-0+356,-0.00075211,4,-0.00150422,-143.84412882,2.302731e-05,20.667,18.6,18.6
2mer-0+317,-0.00341484,2,-0.00341484,-143.84754366,2.295955e-05,21.128,18.619,18.619
2mer-0+349,0.01225469,2,0.01225469,-143.83528897,2.260089e-05,26.059,18.717,18.717
2mer-0+374,-0.00060153,2,-0.00060153,-143.8358905,2.218469e-05,24.706,18.833,18.833
2mer-0+332,0.00536767,4,0.01073534,-143.82515516,2.152185e-05,23.93,19.024,19.024
2mer-0+385,-0.00928455,2,-0.00928455,-143.83443971,2.14291e-05,24.009,19.052,19.052
2mer-0+330,-0.00259003,4,-0.00518006,-143.83961977,2.14245e-05,22.034,19.053,19.053
2mer-0+308,-0.01569495,2,-0.01569495,-143.85531472,2.126863e-05,24.472,19.099,19.099
2mer-0+391,0.00405853,2,0.00405853,-143.85125619,2.123119e-05,23.937,19.111,19.111
2mer-0+328,0.00649223,4,0.01298446,-143.83827173,2.121795e-05,26.153,19.115,19.115
2mer-0+360,-0.00278212,2,-0.00278212,-143.84105385,2.112564e-05,23.843,19.142,19.142
2mer-0+352,0.0086311,4,0.0172622,-143.82379165,2.098167e-05,23.014,19.186,19.186
2mer-0+381,0.00834466,2,0.00834466,-143.81544699,2.062451e-05,22.325,19.296,19.296
2mer-0+336,0.00763365,2,0.00763365,-143.80781334,2.059931e-05,23.227,19.304,19.304
2mer-0+337,-0.01169251,4,-0.02338502,-143.83119836,2.055957e-05,24.933,19.317,19.317
2mer-0+399,0.01465798,4,0.02931596,-143.8018824,2.044281e-05,22.063,19.353,19.353
2mer-0+318,-0.00772728,2,-0.00772728,-143.80960968,2.032447e-05,24.327,19.391,19.391
2mer-0+376,-0.00296981,2,-0.00296981,-143.81257949,2.017375e-05,21.669,19.439,19.439
2mer-0+325,-0.00306634,2,-0.00306634,-143.81564583,1.989633e-05,23.557,19.529,19.529
2mer-0+397,0.00878327,4,0.01756654,-143.79807929,1.956878e-05,22.762,19.637,19.637
2mer-0+351,-0.0037424,4,-0.0074848,-143.80556409,1.947407e-05,23.163,19.669,19.669
2mer-0+400,-0.00328427,4,-0.00656854,-143.81213263,1.924589e-05,22.393,19.746,19.746
