N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-10.91605519,6,-32.74816558,-32.74816558,0.006754971,5.7,2.799,2.799
2mer-0+5,-0.06046946,6,-0.18140839,-32.92957396,0.005520925,6.076,2.994,2.994
2mer-0+3,-12.64762677,2,-12.64762677,-45.57720074,0.003068668,3.64,3.642,3.642
2mer-0+13,-0.37191342,6,-1.11574025,-46.69294099,0.001077982,7.388,5.161,5.161
2mer-0+17,-0.40419277,6,-1.2125783,-47.90551929,0.0006569593,9.647,6.087,6.087
2mer-0+28,0.02286873,6,0.0686062,-47.83691309,0.0005704221,10.311,6.381,6.381
2mer-0+20,-0.24245561,6,-0.72736684,-48.56427993,0.0005222796,8.236,6.571,6.571
2mer-0+24,-0.16961967,2,-0.16961967,-48.7338996,0.0003839108,7.281,7.281,7.281
2mer-0+41,0.02873118,6,0.08619354,-48.64770607,0.00032273,11.401,7.715,7.715
2mer-0+38,-0.13026461,6,-0.39079384,-49.0384999,0.000319207,11.205,7.743,7.743
2mer-0+31,0.02066621,6,0.06199864,-48.97650126,0.0003084728,10.311,7.832,7.832
2mer-0+46,0.0042744,6,0.01282319,-48.96367807,0.0002185128,12.151,8.786,8.786
2mer-0+44,-0.04928894,6,-0.14786683,-49.11154489,0.0002129755,10.158,8.861,8.861
2mer-0+47,-0.03320258,12,-0.19921548,-49.31076037,0.0001733605,12.086,9.49,9.49
2mer-0+63,-0.03388156,6,-0.10164469,-49.41240507,0.0001592903,12.685,9.762,9.762
2mer-0+67,-0.02751089,6,-0.08253267,-49.49493773,0.000154349,11.192,9.865,9.865
2mer-0+93,-0.00403099,6,-0.01209297,-49.5070307,0.0001275612,14.786,10.512,10.512
2mer-0+79,-0.02657054,2,-0.02657054,-49.53360124,0.0001137406,10.921,10.922,10.922
2mer-0+94,-0.01324823,6,-0.03974468,-49.57334592,9.924249e-05,14.009,11.43,11.43
2mer-0+90,-0.01139795,12,-0.06838768,-49.6417336,9.84641e-05,14.935,11.46,11.46
2mer-0+126,-0.00235888,6,-0.00707665,-49.64881026,8.412947e-05,15.936,12.077,12.077
2mer-0+99,0.00058074,6,0.00174223,-49.64706803,8.353516e-05,14.786,12.105,12.105
2mer-0+118,-0.00178798,6,-0.00536395,-49.65243198,8.336492e-05,14.572,12.114,12.114
2mer-0+112,-0.00446582,6,-0.01339746,-49.66582944,8.240883e-05,14.776,12.16,12.16
2mer-0+101,-0.00781245,12,-0.04687472,-49.71270416,8.14775e-05,15.515,12.206,12.206
2mer-0+109,-0.00839435,6,-0.02518305,-49.73788721,8.039414e-05,13.352,12.261,12.261
2mer-0+141,0.00198882,6,0.00596647,-49.73192074,6.914615e-05,16.709,12.893,12.893
2mer-0+120,-0.00864038,6,-0.02592114,-49.75784188,6.844056e-05,14.572,12.937,12.937
2mer-0+170,-0.00144311,6,-0.00432933,-49.76217121,6.075731e-05,17.009,13.461,13.461
2mer-0+134,-0.00305227,6,-0.0091568,-49.77132801,6.041142e-05,15.936,13.486,13.486
2mer-0+152,-0.00678195,12,-0.04069171,-49.81201971,5.921158e-05,17.101,13.577,13.577
2mer-0+142,-0.00487104,6,-0.01461311,-49.82663282,5.910787e-05,14.464,13.585,13.585
2mer-0+178,-0.00276595,6,-0.00829785,-49.83493067,5.204533e-05,16.473,14.173,14.173
2mer-0+179,-0.00259252,2,-0.00259252,-49.83752319,4.798885e-05,14.562,14.562,14.562
2mer-0+182,-0.00306271,6,-0.00918814,-49.84671133,4.628518e-05,17.009,14.739,14.739
2mer-0+201,-0.00021643,12,-0.00129858,-49.84800991,4.564957e-05,18.227,14.807,14.807
2mer-0+186,-0.00272623,12,-0.01635738,-49.86436729,4.551088e-05,17.646,14.822,14.822
2mer-0+253,-8.69e-06,6,-2.608e-05,-49.86439337,4.116468e-05,19.634,15.326,15.326
2mer-0+204,-0.00234356,6,-0.00703069,-49.87142406,4.070095e-05,17.386,15.384,15.384
2mer-0+208,-0.00335784,6,-0.01007351,-49.88149758,3.804212e-05,19.294,15.734,15.734
2mer-0+215,-0.00213896,12,-0.01283379,-49.89433136,3.768996e-05,17.468,15.783,15.783
2mer-0+261,-0.00146964,6,-0.00440893,-49.8987403,3.657918e-05,20.118,15.941,15.941
2mer-0+218,-0.00193388,6,-0.00580163,-49.90454193,3.634169e-05,16.73,15.976,15.976
2mer-0+235,-0.00157479,12,-0.00944877,-49.91399069,3.290717e-05,19.089,16.513,16.513
2mer-0+255,-0.00088106,12,-0.00528637,-49.91927707,3.250416e-05,20.228,16.581,16.581
2mer-0+293,-0.00050799,6,-0.00152397,-49.92080104,3.044307e-05,19.883,16.947,16.947
2mer-0+262,0.00069283,6,0.00207848,-49.91872255,3.028876e-05,19.634,16.976,16.976
2mer-0+308,-0.00098767,6,-0.002963,-49.92168556,3.00889e-05,20.978,17.014,17.014
2mer-0+282,-0.00164516,12,-0.00987096,-49.93155652,2.995061e-05,19.962,17.04,17.04
2mer-0+278,-0.00117334,6,-0.00352003,-49.93507654,2.974391e-05,17.879,17.079,17.079
