N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-9.37523552,6,-28.12570657,-28.12570657,0.006754971,5.7,2.799,2.799
2mer-0+5,0.46774616,6,1.40323849,-26.72246809,0.005520925,6.076,2.994,2.994
2mer-0+3,-8.86911239,2,-8.86911239,-35.59158048,0.003068668,3.64,3.642,3.642
2mer-0+13,-0.32796752,6,-0.98390257,-36.57548304,0.001077982,7.388,5.161,5.161
2mer-0+17,-0.38116113,6,-1.14348338,-37.71896642,0.0006569593,9.647,6.087,6.087
2mer-0+28,0.02907539,6,0.08722617,-37.63174025,0.0005704221,10.311,6.381,6.381
2mer-0+20,-0.2226983,6,-0.66809491,-38.29983516,0.0005222796,8.236,6.571,6.571
2mer-0+24,-0.09889632,2,-0.09889632,-38.39873148,0.0003839108,7.281,7.281,7.281
2mer-0+41,0.03223076,6,0.09669229,-38.30203919,0.00032273,11.401,7.715,7.715
2mer-0+38,-0.12230838,6,-0.36692515,-38.66896434,0.000319207,11.205,7.743,7.743
2mer-0+31,0.0242104,6,0.07263119,-38.59633316,0.0003084728,10.311,7.832,7.832
2mer-0+46,0.00568739,6,0.01706217,-38.57927098,0.0002185128,12.151,8.786,8.786
2mer-0+44,-0.04374669,6,-0.13124006,-38.71051104,0.0002129755,10.158,8.861,8.861
2mer-0+47,-0.03209728,12,-0.19258366,-38.9030947,0.0001733605,12.086,9.49,9.49
2mer-0+63,-0.03250973,6,-0.09752918,-39.00062388,0.0001592903,12.685,9.762,9.762
2mer-0+67,-0.02389584,6,-0.07168752,-39.0723114,0.000154349,11.192,9.865,9.865
2mer-0+93,-0.00361385,6,-0.01084156,-39.08315295,0.0001275612,14.786,10.512,10.512
2mer-0+79,-0.01787777,2,-0.01787777,-39.10103072,0.0001137406,10.921,10.922,10.922
