N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-8.54105148,6,-25.62315444,-25.62315444,0.006754971,5.7,2.799,2.799
2mer-0+5,0.56731906,6,1.70195719,-23.92119725,0.005520925,6.076,2.994,2.994
2mer-0+3,-7.33972354,2,-7.33972354,-31.26092079,0.003068668,3.64,3.642,3.642
2mer-0+13,-0.31569909,6,-0.94709726,-32.20801805,0.001077982,7.388,5.161,5.161
2mer-0+17,-0.37479841,6,-1.12439523,-33.33241329,0.0006569593,9.647,6.087,6.087
2mer-0+28,0.02716415,6,0.08149245,-33.25092083,0.0005704221,10.311,6.381,6.381
2mer-0+20,-0.21435411,6,-0.64306232,-33.89398316,0.0005222796,8.236,6.571,6.571
2mer-0+24,-0.08326122,2,-0.08326122,-33.97724438,0.0003839108,7.281,7.281,7.281
2mer-0+41,0.0305357,6,0.0916071,-33.88563729,0.00032273,11.401,7.715,7.715
2mer-0+38,-0.12089682,6,-0.36269046,-34.24832775,0.000319207,11.205,7.743,7.743
2mer-0+31,0.02192604,6,0.06577812,-34.18254963,0.0003084728,10.311,7.832,7.832
2mer-0+46,0.0048392,6,0.0145176,-34.16803203,0.0002185128,12.151,8.786,8.786
2mer-0+44,-0.04216946,6,-0.12650837,-34.29454039,0.0002129755,10.158,8.861,8.861
2mer-0+47,-0.03182279,12,-0.19093674,-34.48547713,0.0001733605,12.086,9.49,9.49
2mer-0+63,-0.0322855,6,-0.0968565,-34.58233363,0.0001592903,12.685,9.762,9.762
2mer-0+67,-0.02301454,6,-0.06904362,-34.65137725,0.000154349,11.192,9.865,9.865
2mer-0+93,-0.00392912,6,-0.01178735,-34.6631646,0.0001275612,14.786,10.512,10.512
2mer-0+79,-0.01628824,2,-0.01628824,-34.67945284,0.0001137406,10.921,10.922,10.922
2mer-0+94,-0.01288953,6,-0.0386686,-34.71812144,9.924249e-05,14.009,11.43,11.43
2mer-0+90,-0.01034289,12,-0.06205732,-34.78017876,9.84641e-05,14.935,11.46,11.46
2mer-0+126,-0.00199837,6,-0.00599512,-34.78617387,8.412947e-05,15.936,12.077,12.077
2mer-0+99,0.00210091,6,0.00630273,-34.77987114,8.353516e-05,14.786,12.105,12.105
2mer-0+118,-0.00049977,6,-0.00149932,-34.78137046,8.336492e-05,14.572,12.114,12.114
2mer-0+112,-0.00447473,6,-0.01342419,-34.79479465,8.240883e-05,14.776,12.16,12.16
2mer-0+101,-0.00725658,12,-0.04353951,-34.83833416,8.14775e-05,15.515,12.206,12.206
2mer-0+109,-0.00642028,6,-0.01926085,-34.85759501,8.039414e-05,13.352,12.261,12.261
2mer-0+141,0.00230128,6,0.00690383,-34.85069118,6.914615e-05,16.709,12.893,12.893
2mer-0+120,-0.00950353,6,-0.02851058,-34.87920176,6.844056e-05,14.572,12.937,12.937
2mer-0+170,-0.00113074,6,-0.00339221,-34.88259397,6.075731e-05,17.009,13.461,13.461
