N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-12.94064747,6,-38.82194242,-38.82194242,0.006754971,5.7,2.799,2.799
2mer-0+5,-1.4133695,6,-4.24010851,-43.06205093,0.005520925,6.076,2.994,2.994
2mer-0+3,-14.68031349,2,-14.68031349,-57.74236442,0.003068668,3.64,3.642,3.642
2mer-0+13,-0.48818212,6,-1.46454636,-59.20691078,0.001077982,7.388,5.161,5.161
2mer-0+17,-0.37890501,6,-1.13671503,-60.34362581,0.0006569593,9.647,6.087,6.087
2mer-0+28,0.00575802,6,0.01727405,-60.32635176,0.0005704221,10.311,6.381,6.381
2mer-0+20,-0.27831671,6,-0.83495012,-61.16130188,0.0005222796,8.236,6.571,6.571
2mer-0+24,-0.23693411,2,-0.23693411,-61.39823599,0.0003839108,7.281,7.281,7.281
2mer-0+41,0.02123956,6,0.06371867,-61.33451732,0.00032273,11.401,7.715,7.715
2mer-0+38,-0.12089207,6,-0.36267622,-61.69719354,0.000319207,11.205,7.743,7.743
2mer-0+31,0.0084438,6,0.02533141,-61.67186213,0.0003084728,10.311,7.832,7.832
2mer-0+46,-0.00019806,6,-0.00059417,-61.67245629,0.0002185128,12.151,8.786,8.786
2mer-0+44,-0.06029595,6,-0.18088785,-61.85334414,0.0002129755,10.158,8.861,8.861
2mer-0+47,-0.03518703,12,-0.2111222,-62.06446634,0.0001733605,12.086,9.49,9.49
2mer-0+63,-0.03372276,6,-0.10116827,-62.16563462,0.0001592903,12.685,9.762,9.762
2mer-0+67,-0.0333789,6,-0.1001367,-62.26577132,0.000154349,11.192,9.865,9.865
2mer-0+93,-0.00419927,6,-0.0125978,-62.27836911,0.0001275612,14.786,10.512,10.512
2mer-0+79,-0.03153215,2,-0.03153215,-62.30990127,0.0001137406,10.921,10.922,10.922
2mer-0+94,-0.01403862,6,-0.04211587,-62.35201713,9.924249e-05,14.009,11.43,11.43
2mer-0+90,-0.01064907,12,-0.06389441,-62.41591155,9.84641e-05,14.935,11.46,11.46
2mer-0+126,-0.0026895,6,-0.00806851,-62.42398006,8.412947e-05,15.936,12.077,12.077
2mer-0+99,0.00036646,6,0.00109939,-62.42288067,8.353516e-05,14.786,12.105,12.105
2mer-0+118,-0.00324578,6,-0.00973734,-62.43261801,8.336492e-05,14.572,12.114,12.114
2mer-0+112,-0.00566978,6,-0.01700934,-62.44962735,8.240883e-05,14.776,12.16,12.16
2mer-0+101,-0.00755704,12,-0.04534221,-62.49496956,8.14775e-05,15.515,12.206,12.206
2mer-0+109,-0.01034306,6,-0.03102917,-62.52599873,8.039414e-05,13.352,12.261,12.261
2mer-0+141,0.00167146,6,0.00501439,-62.52098435,6.914615e-05,16.709,12.893,12.893
2mer-0+120,-0.00987423,6,-0.0296227,-62.55060704,6.844056e-05,14.572,12.937,12.937
2mer-0+170,-0.00176608,6,-0.00529825,-62.55590529,6.075731e-05,17.009,13.461,13.461
2mer-0+134,-0.00335167,6,-0.01005502,-62.56596031,6.041142e-05,15.936,13.486,13.486
2mer-0+152,-0.00625271,12,-0.03751624,-62.60347655,5.921158e-05,17.101,13.577,13.577
2mer-0+142,-0.00605764,6,-0.01817292,-62.62164947,5.910787e-05,14.464,13.585,13.585
2mer-0+178,-0.00336208,6,-0.01008625,-62.63173572,5.204533e-05,16.473,14.173,14.173
2mer-0+179,-0.0035899,2,-0.0035899,-62.63532563,4.798885e-05,14.562,14.562,14.562
2mer-0+182,-0.00333933,6,-0.01001798,-62.64534361,4.628518e-05,17.009,14.739,14.739
2mer-0+201,-0.00044423,12,-0.0026654,-62.64800901,4.564957e-05,18.227,14.807,14.807
2mer-0+186,-0.00291589,12,-0.01749532,-62.66550434,4.551088e-05,17.646,14.822,14.822
2mer-0+253,-7.461e-05,6,-0.00022382,-62.66572815,4.116468e-05,19.634,15.326,15.326
2mer-0+204,-0.00273021,6,-0.00819062,-62.67391877,4.070095e-05,17.386,15.384,15.384
2mer-0+208,-0.00301375,6,-0.00904124,-62.68296001,3.804212e-05,19.294,15.734,15.734
