N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-14.88710323,6,-44.66130968,-44.66130968,0.006754971,5.7,2.799,2.799
2mer-0+5,-0.62180173,6,-1.86540518,-46.52671486,0.005520925,6.076,2.994,2.994
2mer-0+3,-15.18657631,2,-15.18657631,-61.71329117,0.003068668,3.64,3.642,3.642
2mer-0+13,-0.37465157,6,-1.1239547,-62.83724587,0.001077982,7.388,5.161,5.161
2mer-0+17,-0.37722339,6,-1.13167017,-63.96891604,0.0006569593,9.647,6.087,6.087
2mer-0+28,0.01941835,6,0.05825505,-63.91066098,0.0005704221,10.311,6.381,6.381
2mer-0+20,-0.25344391,6,-0.76033173,-64.67099272,0.0005222796,8.236,6.571,6.571
2mer-0+24,-0.22682145,2,-0.22682145,-64.89781417,0.0003839108,7.281,7.281,7.281
2mer-0+41,0.02551172,6,0.07653515,-64.82127901,0.00032273,11.401,7.715,7.715
2mer-0+38,-0.12150085,6,-0.36450254,-65.18578155,0.000319207,11.205,7.743,7.743
2mer-0+31,0.02304852,6,0.06914557,-65.11663598,0.0003084728,10.311,7.832,7.832
2mer-0+46,0.00548748,6,0.01646244,-65.10017354,0.0002185128,12.151,8.786,8.786
2mer-0+44,-0.05295065,6,-0.15885194,-65.25902548,0.0002129755,10.158,8.861,8.861
2mer-0+47,-0.03147821,12,-0.18886923,-65.44789471,0.0001733605,12.086,9.49,9.49
2mer-0+63,-0.03009631,6,-0.09028893,-65.53818364,0.0001592903,12.685,9.762,9.762
2mer-0+67,-0.02991594,6,-0.08974782,-65.62793146,0.000154349,11.192,9.865,9.865
2mer-0+93,0.00251041,6,0.00753124,-65.62040022,0.0001275612,14.786,10.512,10.512
2mer-0+79,-0.03297879,2,-0.03297879,-65.65337902,0.0001137406,10.921,10.922,10.922
2mer-0+94,-0.00851394,6,-0.02554183,-65.67892084,9.924249e-05,14.009,11.43,11.43
2mer-0+90,-0.00941515,12,-0.05649089,-65.73541173,9.84641e-05,14.935,11.46,11.46
2mer-0+126,0.00133158,6,0.00399475,-65.73141699,8.412947e-05,15.936,12.077,12.077
2mer-0+99,0.00395907,6,0.01187722,-65.71953976,8.353516e-05,14.786,12.105,12.105
2mer-0+118,-0.00021361,6,-0.00064082,-65.72018059,8.336492e-05,14.572,12.114,12.114
2mer-0+112,-0.00287886,6,-0.00863658,-65.72881717,8.240883e-05,14.776,12.16,12.16
2mer-0+101,-0.00422265,12,-0.0253359,-65.75415307,8.14775e-05,15.515,12.206,12.206
2mer-0+109,-0.00704033,6,-0.02112098,-65.77527405,8.039414e-05,13.352,12.261,12.261
2mer-0+141,0.00317261,6,0.00951782,-65.76575623,6.914615e-05,16.709,12.893,12.893
2mer-0+120,-0.00654613,6,-0.01963839,-65.78539462,6.844056e-05,14.572,12.937,12.937
2mer-0+170,0.00032409,6,0.00097226,-65.78442236,6.075731e-05,17.009,13.461,13.461
2mer-0+134,-0.00076084,6,-0.00228252,-65.78670488,6.041142e-05,15.936,13.486,13.486
2mer-0+152,-0.00550722,12,-0.03304332,-65.81974819,5.921158e-05,17.101,13.577,13.577
2mer-0+142,-0.00294938,6,-0.00884813,-65.82859632,5.910787e-05,14.464,13.585,13.585
2mer-0+178,-0.00340342,6,-0.01021026,-65.83880658,5.204533e-05,16.473,14.173,14.173
2mer-0+179,-0.00442497,2,-0.00442497,-65.84323155,4.798885e-05,14.562,14.562,14.562
2mer-0+182,-0.00240723,6,-0.0072217,-65.85045325,4.628518e-05,17.009,14.739,14.739
2mer-0+201,0.00307538,12,0.01845229,-65.83200096,4.564957e-05,18.227,14.807,14.807
2mer-0+186,-0.00011835,12,-0.00071012,-65.83271109,4.551088e-05,17.646,14.822,14.822
2mer-0+253,-0.00159887,6,-0.00479661,-65.8375077,4.116468e-05,19.634,15.326,15.326
2mer-0+204,-4.087e-05,6,-0.00012262,-65.83763032,4.070095e-05,17.386,15.384,15.384
2mer-0+208,-0.0017172,6,-0.0051516,-65.84278192,3.804212e-05,19.294,15.734,15.734
2mer-0+215,-0.00059519,12,-0.00357113,-65.84635306,3.768996e-05,17.468,15.783,15.783
2mer-0+261,-6.21e-06,6,-1.864e-05,-65.8463717,3.657918e-05,20.118,15.941,15.941
2mer-0+218,0.00052307,6,0.00156922,-65.84480248,3.634169e-05,16.73,15.976,15.976
2mer-0+235,0.00041551,12,0.00249308,-65.8423094,3.290717e-05,19.089,16.513,16.513
2mer-0+255,0.00058758,12,0.00352547,-65.83878393,3.250416e-05,20.228,16.581,16.581
2mer-0+293,0.00241652,6,0.00724956,-65.83153437,3.044307e-05,19.883,16.947,16.947
2mer-0+262,0.00025465,6,0.00076396,-65.83077041,3.028876e-05,19.634,16.976,16.976
2mer-0+308,0.00211682,6,0.00635046,-65.82441995,3.00889e-05,20.978,17.014,17.014
2mer-0+282,0.00160999,12,0.00965993,-65.81476002,2.995061e-05,19.962,17.04,17.04
2mer-0+278,0.00138674,6,0.00416021,-65.81059981,2.974391e-05,17.879,17.079,17.079
2mer-0+275,0.00126937,12,0.00761624,-65.80298358,2.960468e-05,20.66,17.106,17.106
2mer-0+272,-0.0012973,6,-0.0038919,-65.80687548,2.900461e-05,20.118,17.223,17.223
2mer-0+276,0.00423585,12,0.02541507,-65.78146041,2.843569e-05,20.622,17.337,17.337
2mer-0+295,0.00340001,6,0.01020004,-65.77126037,2.750157e-05,19.312,17.531,17.531
2mer-0+311,7.412e-05,6,0.00022235,-65.77103801,2.54974e-05,19.883,17.979,17.979
2mer-0+343,0.00334526,6,0.01003579,-65.76100222,2.531411e-05,21.805,18.022,18.022
2mer-0+325,-8.918e-05,2,-8.918e-05,-65.76109141,2.456945e-05,18.202,18.203,18.203
2mer-0+319,0.00051877,6,0.00155632,-65.75953509,2.449847e-05,20.978,18.22,18.22
2mer-0+401,-0.00046035,6,-0.00138104,-65.76091613,2.354209e-05,22.171,18.464,18.464
2mer-0+342,0.0026396,6,0.00791879,-65.75299733,2.340359e-05,20.315,18.5,18.5
2mer-0+366,0.00126973,6,0.0038092,-65.74918813,2.294961e-05,22.411,18.621,18.621
