N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+3,-1.86401685,6,-5.59205054,-5.59205054,0.008901749,6.035,2.553,2.553
2mer-0+1,-7.80042387,6,-23.40127161,-28.99332215,0.008835585,5.552,2.56,2.56
2mer-0+2,-16.21553548,2,-16.21553548,-45.20885763,0.008441521,4.098,2.599,2.599
2mer-0+8,-0.67199973,6,-2.01599918,-47.2248568,0.001607627,7.669,4.517,4.517
2mer-0+16,-0.00927019,6,-0.02781057,-47.25266737,0.0007948494,9.321,5.713,5.713
2mer-0+15,-0.68268623,6,-2.04805868,-49.30072605,0.0007007686,8.696,5.958,5.958
2mer-0+22,0.1253215,6,0.37596451,-48.92476154,0.0006249687,10.182,6.189,6.189
2mer-0+21,-1.38792979,2,-1.38792979,-50.31269133,0.0004914179,8.197,6.706,6.706
2mer-0+31,0.09014472,6,0.27043416,-50.04225717,0.0003785894,10.849,7.315,7.315
2mer-0+29,0.20054374,6,0.60163122,-49.44062595,0.0003738716,11.104,7.346,7.346
2mer-0+24,0.13289689,6,0.39869066,-49.04193529,0.0003330565,10.182,7.634,7.634
2mer-0+45,0.04067722,6,0.12203165,-48.91990364,0.0002405487,12.07,8.509,8.509
2mer-0+35,-0.34551897,6,-1.0365569,-49.95646054,0.0002374219,10.973,8.546,8.546
2mer-0+40,-0.02051279,6,-0.06153837,-50.01799891,0.0001966374,12.412,9.1,9.1
2mer-0+56,-0.13011975,6,-0.39035926,-50.40835818,0.0001796131,12.412,9.379,9.379
2mer-0+46,0.00904915,6,0.02714744,-50.38121073,0.0001739134,12.747,9.48,9.48
2mer-0+58,-0.27903096,6,-0.83709288,-51.21830361,0.0001649719,12.182,9.649,9.649
2mer-0+78,0.09861088,6,0.29583263,-50.92247098,0.0001529759,14.303,9.894,9.894
2mer-0+73,-0.36980955,2,-0.36980955,-51.29228053,0.0001184542,12.295,10.775,10.775
2mer-0+77,0.09521601,6,0.28564804,-51.00663249,0.0001161428,14.497,10.846,10.846
2mer-0+87,0.06094588,6,0.18283763,-50.82379486,0.0001113176,14.497,11.001,11.001
2mer-0+80,-0.05020633,6,-0.15061898,-50.97441385,0.00010762,14.397,11.125,11.125
2mer-0+85,0.10179224,6,0.30537672,-50.66903713,9.746326e-05,14.303,11.499,11.499
2mer-0+108,0.03453816,6,0.10361447,-50.56542265,8.942734e-05,15.25,11.833,11.833
2mer-0+111,0.02958704,6,0.08876113,-50.47666152,8.88741e-05,15.791,11.858,11.858
2mer-0+82,0.06536907,6,0.19610721,-50.28055431,8.722652e-05,15.25,11.932,11.932
2mer-0+95,-0.04675936,6,-0.14027809,-50.4208324,8.381049e-05,15.338,12.092,12.092
2mer-0+106,-0.08256541,6,-0.24769623,-50.66852863,8.290732e-05,15.428,12.136,12.136
2mer-0+122,0.07426164,6,0.22278491,-50.44574372,8.16383e-05,16.144,12.198,12.198
2mer-0+105,-0.16821832,6,-0.50465496,-50.95039869,7.925475e-05,14.683,12.319,12.319
2mer-0+112,-0.08434687,6,-0.25304061,-51.20343929,6.831187e-05,15.428,12.945,12.945
