N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+3,-0.85095456,6,-2.55286369,-2.55286369,0.008901749,6.035,2.553,2.553
2mer-0+1,-5.42458719,6,-16.27376156,-18.82662525,0.008835585,5.552,2.56,2.56
2mer-0+2,-13.12314144,2,-13.12314144,-31.9497667,0.008441521,4.098,2.599,2.599
2mer-0+8,-0.65713522,6,-1.97140567,-33.92117236,0.001607627,7.669,4.517,4.517
2mer-0+16,0.07650559,6,0.22951678,-33.69165558,0.0007948494,9.321,5.713,5.713
2mer-0+15,-0.72917305,6,-2.18751916,-35.87917474,0.0007007686,8.696,5.958,5.958
2mer-0+22,0.16852335,6,0.50557006,-35.37360468,0.0006249687,10.182,6.189,6.189
2mer-0+21,-1.50482315,2,-1.50482315,-36.87842783,0.0004914179,8.197,6.706,6.706
2mer-0+31,0.13366949,6,0.40100848,-36.47741935,0.0003785894,10.849,7.315,7.315
2mer-0+29,0.24498856,6,0.73496569,-35.74245366,0.0003738716,11.104,7.346,7.346
2mer-0+24,0.17201042,6,0.51603127,-35.2264224,0.0003330565,10.182,7.634,7.634
2mer-0+45,0.05378384,6,0.16135152,-35.06507087,0.0002405487,12.07,8.509,8.509
2mer-0+35,-0.38697998,6,-1.16093993,-36.2260108,0.0002374219,10.973,8.546,8.546
2mer-0+40,-0.02200234,6,-0.06600702,-36.29201782,0.0001966374,12.412,9.1,9.1
2mer-0+56,-0.14243114,6,-0.42729341,-36.71931123,0.0001796131,12.412,9.379,9.379
2mer-0+46,0.01530592,6,0.04591777,-36.67339345,0.0001739134,12.747,9.48,9.48
2mer-0+58,-0.31506971,6,-0.94520914,-37.6186026,0.0001649719,12.182,9.649,9.649
2mer-0+78,0.11752727,6,0.35258181,-37.26602078,0.0001529759,14.303,9.894,9.894
2mer-0+73,-0.4174938,2,-0.4174938,-37.68351459,0.0001184542,12.295,10.775,10.775
2mer-0+77,0.1132157,6,0.33964711,-37.34386748,0.0001161428,14.497,10.846,10.846
2mer-0+87,0.07523111,6,0.22569332,-37.11817415,0.0001113176,14.497,11.001,11.001
2mer-0+80,-0.05616767,6,-0.16850301,-37.28667716,0.00010762,14.397,11.125,11.125
2mer-0+85,0.12166858,6,0.36500574,-36.92167142,9.746326e-05,14.303,11.499,11.499
2mer-0+108,0.04268084,6,0.12804252,-36.7936289,8.942734e-05,15.25,11.833,11.833
2mer-0+111,0.03562467,6,0.106874,-36.68675489,8.88741e-05,15.791,11.858,11.858
2mer-0+82,0.0770519,6,0.23115569,-36.45559921,8.722652e-05,15.25,11.932,11.932
2mer-0+95,-0.05337048,6,-0.16011144,-36.61571065,8.381049e-05,15.338,12.092,12.092
2mer-0+106,-0.09426226,6,-0.28278677,-36.89849742,8.290732e-05,15.428,12.136,12.136
2mer-0+122,0.0875666,6,0.2626998,-36.63579762,8.16383e-05,16.144,12.198,12.198
2mer-0+105,-0.19206029,6,-0.57618088,-37.2119785,7.925475e-05,14.683,12.319,12.319
2mer-0+112,-0.09680119,6,-0.29040356,-37.50238206,6.831187e-05,15.428,12.945,12.945
2mer-0+119,0.03470501,6,0.10411503,-37.39826703,6.796405e-05,15.791,12.967,12.967
2mer-0+123,0.06151956,6,0.18455867,-37.21370836,6.641665e-05,16.656,13.067,13.067
2mer-0+131,0.05606073,6,0.16818218,-37.04552618,6.641665e-05,16.656,13.067,13.067
2mer-0+132,0.00509541,6,0.01528624,-37.03023993,6.231935e-05,17.151,13.347,13.347
2mer-0+139,-0.1554136,6,-0.4662408,-37.49648074,5.691691e-05,15.961,13.757,13.757
2mer-0+166,-0.06394465,6,-0.19183395,-37.68831468,5.094641e-05,17.391,14.275,14.275
2mer-0+157,-0.00163964,6,-0.00491892,-37.6932336,4.957365e-05,17.948,14.405,14.405
2mer-0+148,0.00412191,6,0.01236574,-37.68086786,4.949052e-05,17.151,14.413,14.413
2mer-0+182,0.02046723,6,0.06140169,-37.61946617,4.830556e-05,18.105,14.53,14.53
2mer-0+164,0.02565498,6,0.07696495,-37.54250122,4.749706e-05,18.105,14.612,14.612
2mer-0+203,0.04526365,6,0.13579094,-37.40671028,4.695978e-05,19.086,14.668,14.668
2mer-0+190,-0.01963414,6,-0.05890242,-37.46561271,4.534283e-05,17.948,14.84,14.84
2mer-0+181,-0.17089346,2,-0.17089346,-37.63650617,4.506709e-05,16.393,14.87,14.87
2mer-0+185,0.05354231,6,0.16062693,-37.47587924,4.36463e-05,18.641,15.03,15.03
2mer-0+232,0.04735848,6,0.14207544,-37.33380379,4.271451e-05,19.45,15.138,15.138
2mer-0+189,-0.05799436,6,-0.17398308,-37.50778687,3.896666e-05,18.483,15.609,15.609
2mer-0+248,0.04404834,6,0.13214502,-37.37564185,3.773641e-05,19.594,15.777,15.777
2mer-0+207,0.04698932,6,0.14096797,-37.23467388,3.686451e-05,19.594,15.9,15.9
2mer-0+206,-0.06860128,6,-0.20580385,-37.44047773,3.555847e-05,18.857,16.092,16.092
2mer-0+234,-0.07413125,6,-0.22239376,-37.66287149,3.444922e-05,18.857,16.263,16.263
2mer-0+244,0.04781263,6,0.14343789,-37.5194336,3.320676e-05,19.45,16.464,16.464
2mer-0+236,0.03676665,6,0.11029994,-37.40913366,3.316176e-05,20.157,16.471,16.471
2mer-0+227,-0.10260479,6,-0.30781438,-37.71694804,3.310973e-05,18.556,16.48,16.48
2mer-0+223,0.04576745,6,0.13730235,-37.57964569,3.305258e-05,19.086,16.489,16.489
2mer-0+214,-0.01688599,6,-0.05065796,-37.63030365,3.271864e-05,19.731,16.545,16.545
2mer-0+252,0.02821822,6,0.08465466,-37.545649,3.268012e-05,20.57,16.552,16.552
2mer-0+272,0.02981819,6,0.08945456,-37.45619443,3.245768e-05,20.157,16.589,16.589
2mer-0+254,-0.02605694,6,-0.07817083,-37.53436527,3.228733e-05,19.731,16.618,16.618
2mer-0+230,0.02670317,6,0.08010952,-37.45425574,3.09458e-05,20.364,16.855,16.855
2mer-0+258,-0.00703834,6,-0.02111502,-37.47537076,3.081736e-05,20.292,16.879,16.879
2mer-0+241,-0.00424107,6,-0.01272321,-37.48809398,3.023465e-05,20.292,16.986,16.986
2mer-0+285,0.01539469,6,0.04618408,-37.4419099,2.947791e-05,20.364,17.13,17.13
2mer-0+274,-0.02527711,6,-0.07583134,-37.51774124,2.934028e-05,20.701,17.157,17.157
2mer-0+291,-0.08506313,6,-0.25518938,-37.77293062,2.662764e-05,19.868,17.721,17.721
2mer-0+262,0.02828905,6,0.08486716,-37.68806346,2.644722e-05,20.57,17.761,17.761
2mer-0+316,0.01364419,6,0.04093256,-37.6471309,2.641018e-05,21.631,17.77,17.77
2mer-0+307,0.03516062,6,0.10548185,-37.54164905,2.63748e-05,21.568,17.778,17.778
2mer-0+336,0.03377348,6,0.10132043,-37.44032862,2.631867e-05,21.698,17.79,17.79
2mer-0+282,-0.02572215,6,-0.07716645,-37.51749507,2.561266e-05,20.701,17.952,17.952
2mer-0+296,-0.05059994,6,-0.15179981,-37.66929488,2.560846e-05,20.766,17.953,17.953
2mer-0+327,0.02797851,6,0.08393554,-37.58535934,2.375346e-05,22.208,18.409,18.409
2mer-0+338,0.00274779,6,0.00824336,-37.57711598,2.371299e-05,22.331,18.419,18.419
2mer-0+319,0.01352025,6,0.04056075,-37.53655523,2.280178e-05,21.631,18.661,18.661
2mer-0+314,0.01186935,6,0.03560806,-37.50094717,2.214855e-05,22.269,18.843,18.843
2mer-0+357,0.00702454,6,0.02107363,-37.47987354,2.192289e-05,22.269,18.908,18.908
2mer-0+343,-0.08689652,2,-0.08689652,-37.56677006,2.171146e-05,20.491,18.969,18.969
2mer-0+416,0.0278871,6,0.08366129,-37.48310877,2.165542e-05,23.496,18.985,18.985
2mer-0+367,0.0216515,6,0.06495449,-37.41815428,2.161978e-05,22.583,18.995,18.995
2mer-0+353,-0.04499877,6,-0.1349963,-37.55315058,2.1063e-05,21.945,19.161,19.161
2mer-0+380,-0.02597427,6,-0.07792282,-37.6310734,2.026816e-05,22.762,19.409,19.409
2mer-0+361,0.00248729,6,0.00746188,-37.62361152,1.950097e-05,22.331,19.66,19.66
2mer-0+397,-0.0168825,6,-0.0506475,-37.67425902,1.944336e-05,23.008,19.679,19.679
2mer-0+385,-0.0156768,6,-0.04703041,-37.72128943,1.926481e-05,23.008,19.74,19.74
2mer-0+395,-0.0485987,6,-0.14579611,-37.86708554,1.91947e-05,22.511,19.764,19.764
2mer-0+399,0.02715374,6,0.08146122,-37.78562432,1.856108e-05,23.615,19.986,19.986
