N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+3,-0.71211016,6,-2.13633049,-2.13633049,0.008901749,6.035,2.553,2.553
2mer-0+1,-4.93866399,6,-14.81599198,-16.95232247,0.008835585,5.552,2.56,2.56
2mer-0+2,-12.42971549,2,-12.42971549,-29.38203797,0.008441521,4.098,2.599,2.599
2mer-0+8,-0.63518082,6,-1.90554246,-31.28758043,0.001607627,7.669,4.517,4.517
2mer-0+16,0.08536374,6,0.25609122,-31.03148921,0.0007948494,9.321,5.713,5.713
2mer-0+15,-0.7191521,6,-2.1574563,-33.18894551,0.0007007686,8.696,5.958,5.958
2mer-0+22,0.17267616,6,0.51802848,-32.67091704,0.0006249687,10.182,6.189,6.189
2mer-0+21,-1.49269282,2,-1.49269282,-34.16360986,0.0004914179,8.197,6.706,6.706
2mer-0+31,0.13689574,6,0.41068723,-33.75292263,0.0003785894,10.849,7.315,7.315
2mer-0+29,0.24767538,6,0.74302615,-33.00989649,0.0003738716,11.104,7.346,7.346
2mer-0+24,0.17678299,6,0.53034898,-32.47954751,0.0003330565,10.182,7.634,7.634
2mer-0+45,0.05530589,6,0.16591767,-32.31362984,0.0002405487,12.07,8.509,8.509
2mer-0+35,-0.38463186,6,-1.15389559,-33.46752544,0.0002374219,10.973,8.546,8.546
2mer-0+40,-0.02080608,6,-0.06241823,-33.52994367,0.0001966374,12.412,9.1,9.1
2mer-0+56,-0.14121142,6,-0.42363426,-33.95357793,0.0001796131,12.412,9.379,9.379
2mer-0+46,0.01636837,6,0.04910511,-33.90447282,0.0001739134,12.747,9.48,9.48
2mer-0+58,-0.31382812,6,-0.94148437,-34.84595718,0.0001649719,12.182,9.649,9.649
2mer-0+78,0.11806492,6,0.35419477,-34.49176241,0.0001529759,14.303,9.894,9.894
2mer-0+73,-0.41636789,2,-0.41636789,-34.9081303,0.0001184542,12.295,10.775,10.775
2mer-0+77,0.11371573,6,0.3411472,-34.5669831,0.0001161428,14.497,10.846,10.846
2mer-0+87,0.07573457,6,0.22720372,-34.33977938,0.0001113176,14.497,11.001,11.001
2mer-0+80,-0.05568199,6,-0.16704597,-34.50682535,0.00010762,14.397,11.125,11.125
2mer-0+85,0.12222634,6,0.36667902,-34.14014633,9.746326e-05,14.303,11.499,11.499
2mer-0+108,0.04304151,6,0.12912453,-34.0110218,8.942734e-05,15.25,11.833,11.833
2mer-0+111,0.03590879,6,0.10772636,-33.90329544,8.88741e-05,15.791,11.858,11.858
2mer-0+82,0.07741004,6,0.23223013,-33.6710653,8.722652e-05,15.25,11.932,11.932
2mer-0+95,-0.05304461,6,-0.15913382,-33.83019912,8.381049e-05,15.338,12.092,12.092
2mer-0+106,-0.09395468,6,-0.28186404,-34.11206316,8.290732e-05,15.428,12.136,12.136
2mer-0+122,0.08782376,6,0.26347129,-33.84859187,8.16383e-05,16.144,12.198,12.198
2mer-0+105,-0.19165922,6,-0.57497765,-34.42356952,7.925475e-05,14.683,12.319,12.319
2mer-0+112,-0.09649176,6,-0.28947528,-34.71304481,6.831187e-05,15.428,12.945,12.945
2mer-0+119,0.03499423,6,0.10498268,-34.60806213,6.796405e-05,15.791,12.967,12.967
2mer-0+123,0.06172964,6,0.18518892,-34.42287321,6.641665e-05,16.656,13.067,13.067
2mer-0+131,0.05627088,6,0.16881264,-34.25406057,6.641665e-05,16.656,13.067,13.067
2mer-0+132,0.00526399,6,0.01579196,-34.23826861,6.231935e-05,17.151,13.347,13.347
2mer-0+139,-0.155171,6,-0.465513,-34.70378161,5.691691e-05,15.961,13.757,13.757
2mer-0+166,-0.06379478,6,-0.19138433,-34.89516594,5.094641e-05,17.391,14.275,14.275
2mer-0+157,-0.00151248,6,-0.00453743,-34.89970336,4.957365e-05,17.948,14.405,14.405
2mer-0+148,0.00429218,6,0.01287653,-34.88682683,4.949052e-05,17.151,14.413,14.413
2mer-0+182,0.02059038,6,0.06177114,-34.8250557,4.830556e-05,18.105,14.53,14.53
2mer-0+164,0.02577809,6,0.07733427,-34.74772143,4.749706e-05,18.105,14.612,14.612
2mer-0+203,0.04535358,6,0.13606074,-34.61166069,4.695978e-05,19.086,14.668,14.668
2mer-0+190,-0.01950649,6,-0.05851946,-34.67018015,4.534283e-05,17.948,14.84,14.84
2mer-0+181,-0.17068966,2,-0.17068966,-34.84086981,4.506709e-05,16.393,14.87,14.87
2mer-0+185,0.05364769,6,0.16094307,-34.67992674,4.36463e-05,18.641,15.03,15.03
2mer-0+232,0.0474391,6,0.14231729,-34.53760945,4.271451e-05,19.45,15.138,15.138
2mer-0+189,-0.05789116,6,-0.17367348,-34.71128293,3.896666e-05,18.483,15.609,15.609
2mer-0+248,0.04412567,6,0.13237702,-34.57890591,3.773641e-05,19.594,15.777,15.777
2mer-0+207,0.04706659,6,0.14119976,-34.43770615,3.686451e-05,19.594,15.9,15.9
2mer-0+206,-0.06851075,6,-0.20553226,-34.64323841,3.555847e-05,18.857,16.092,16.092
2mer-0+234,-0.07404062,6,-0.22212186,-34.86536027,3.444922e-05,18.857,16.263,16.263
2mer-0+244,0.04789401,6,0.14368202,-34.72167825,3.320676e-05,19.45,16.464,16.464
2mer-0+236,0.03683118,6,0.11049355,-34.6111847,3.316176e-05,20.157,16.471,16.471
2mer-0+227,-0.10250665,6,-0.30751994,-34.91870463,3.310973e-05,18.556,16.48,16.48
2mer-0+223,0.04585866,6,0.13757599,-34.78112864,3.305258e-05,19.086,16.489,16.489
2mer-0+214,-0.01681527,6,-0.05044581,-34.83157445,3.271864e-05,19.731,16.545,16.545
2mer-0+252,0.02827488,6,0.08482464,-34.74674982,3.268012e-05,20.57,16.552,16.552
2mer-0+272,0.02988284,6,0.08964851,-34.65710131,3.245768e-05,20.157,16.589,16.589
2mer-0+254,-0.02598608,6,-0.07795825,-34.73505956,3.228733e-05,19.731,16.618,16.618
2mer-0+230,0.02676327,6,0.08028982,-34.65476974,3.09458e-05,20.364,16.855,16.855
2mer-0+258,-0.006978,6,-0.02093399,-34.67570373,3.081736e-05,20.292,16.879,16.879
2mer-0+241,-0.00418074,6,-0.01254223,-34.68824596,3.023465e-05,20.292,16.986,16.986
2mer-0+285,0.01545495,6,0.04636485,-34.64188111,2.947791e-05,20.364,17.13,17.13
2mer-0+274,-0.02522448,6,-0.07567343,-34.71755454,2.934028e-05,20.701,17.157,17.157
2mer-0+291,-0.08499797,6,-0.2549939,-34.97254844,2.662764e-05,19.868,17.721,17.721
2mer-0+262,0.02834608,6,0.08503825,-34.88751019,2.644722e-05,20.57,17.761,17.761
