N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+3,-3.19738209,6,-9.59214628,-9.59214628,0.008901749,6.035,2.553,2.553
2mer-0+1,-9.08951841,6,-27.26855524,-36.86070152,0.008835585,5.552,2.56,2.56
2mer-0+2,-16.95651613,2,-16.95651613,-53.81721765,0.008441521,4.098,2.599,2.599
2mer-0+8,-0.6648324,6,-1.99449721,-55.81171485,0.001607627,7.669,4.517,4.517
2mer-0+16,-0.0579668,6,-0.17390041,-55.98561526,0.0007948494,9.321,5.713,5.713
2mer-0+15,-0.56760641,6,-1.70281923,-57.68843449,0.0007007686,8.696,5.958,5.958
2mer-0+22,0.07721362,6,0.23164086,-57.45679364,0.0006249687,10.182,6.189,6.189
2mer-0+21,-1.0971307,2,-1.0971307,-58.55392434,0.0004914179,8.197,6.706,6.706
2mer-0+31,0.05349187,6,0.16047562,-58.39344872,0.0003785894,10.849,7.315,7.315
2mer-0+29,0.14581099,6,0.43743298,-57.95601574,0.0003738716,11.104,7.346,7.346
2mer-0+24,0.08823172,6,0.26469517,-57.69132057,0.0003330565,10.182,7.634,7.634
2mer-0+45,0.02604074,6,0.07812222,-57.61319835,0.0002405487,12.07,8.509,8.509
2mer-0+35,-0.27274448,6,-0.81823344,-58.43143179,0.0002374219,10.973,8.546,8.546
2mer-0+40,-0.01965798,6,-0.05897395,-58.49040574,0.0001966374,12.412,9.1,9.1
2mer-0+56,-0.10573099,6,-0.31719296,-58.8075987,0.0001796131,12.412,9.379,9.379
2mer-0+46,0.00238414,6,0.00715243,-58.80044627,0.0001739134,12.747,9.48,9.48
2mer-0+58,-0.21774753,6,-0.65324259,-59.45368886,0.0001649719,12.182,9.649,9.649
2mer-0+78,0.07392728,6,0.22178184,-59.23190702,0.0001529759,14.303,9.894,9.894
2mer-0+73,-0.285889,2,-0.285889,-59.51779603,0.0001184542,12.295,10.775,10.775
2mer-0+77,0.07139226,6,0.21417679,-59.30361924,0.0001161428,14.497,10.846,10.846
2mer-0+87,0.04427707,6,0.1328312,-59.17078804,0.0001113176,14.497,11.001,11.001
2mer-0+80,-0.04051538,6,-0.12154613,-59.29233418,0.00010762,14.397,11.125,11.125
2mer-0+85,0.07630393,6,0.2289118,-59.06342237,9.746326e-05,14.303,11.499,11.499
2mer-0+108,0.02470383,6,0.07411148,-58.98931089,8.942734e-05,15.25,11.833,11.833
2mer-0+111,0.02153916,6,0.06461749,-58.9246934,8.88741e-05,15.791,11.858,11.858
2mer-0+82,0.04888239,6,0.14664716,-58.77804623,8.722652e-05,15.25,11.932,11.932
2mer-0+95,-0.0371047,6,-0.1113141,-58.88936034,8.381049e-05,15.338,12.092,12.092
2mer-0+106,-0.06443388,6,-0.19330163,-59.08266197,8.290732e-05,15.428,12.136,12.136
2mer-0+122,0.05617923,6,0.16853769,-58.91412428,8.16383e-05,16.144,12.198,12.198
2mer-0+105,-0.12998607,6,-0.38995821,-59.3040825,7.925475e-05,14.683,12.319,12.319
2mer-0+112,-0.06571607,6,-0.1971482,-59.5012307,6.831187e-05,15.428,12.945,12.945
2mer-0+119,0.02105747,6,0.06317241,-59.43805829,6.796405e-05,15.791,12.967,12.967
2mer-0+123,0.03866273,6,0.11598818,-59.32207011,6.641665e-05,16.656,13.067,13.067
2mer-0+131,0.03496346,6,0.10489037,-59.21717974,6.641665e-05,16.656,13.067,13.067
2mer-0+132,0.00224061,6,0.00672183,-59.21045791,6.231935e-05,17.151,13.347,13.347
2mer-0+139,-0.10466994,6,-0.31400983,-59.52446774,5.691691e-05,15.961,13.757,13.757
2mer-0+166,-0.04328677,6,-0.12986031,-59.65432805,5.094641e-05,17.391,14.275,14.275
