N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+3,-3.3092981,6,-9.9278943,-9.9278943,0.008901749,6.035,2.553,2.553
2mer-0+1,-9.30716525,6,-27.92149575,-37.84939005,0.008835585,5.552,2.56,2.56
2mer-0+2,-17.21698784,2,-17.21698784,-55.06637789,0.008441521,4.098,2.599,2.599
2mer-0+8,-0.69049091,6,-2.07147272,-57.13785061,0.001607627,7.669,4.517,4.517
2mer-0+16,-0.0686181,6,-0.20585431,-57.34370492,0.0007948494,9.321,5.713,5.713
2mer-0+15,-0.59696702,6,-1.79090105,-59.13460597,0.0007007686,8.696,5.958,5.958
2mer-0+22,0.08608521,6,0.25825562,-58.87635036,0.0006249687,10.182,6.189,6.189
2mer-0+21,-1.16981936,2,-1.16981936,-60.04616971,0.0004914179,8.197,6.706,6.706
2mer-0+31,0.05561344,6,0.16684031,-59.8793294,0.0003785894,10.849,7.315,7.315
2mer-0+29,0.1572448,6,0.47173441,-59.40759498,0.0003738716,11.104,7.346,7.346
2mer-0+24,0.09893337,6,0.29680012,-59.11079487,0.0003330565,10.182,7.634,7.634
2mer-0+45,0.0292879,6,0.0878637,-59.02293116,0.0002405487,12.07,8.509,8.509
2mer-0+35,-0.28554516,6,-0.85663547,-59.87956663,0.0002374219,10.973,8.546,8.546
2mer-0+40,-0.01807887,6,-0.05423661,-59.93380324,0.0001966374,12.412,9.1,9.1
2mer-0+56,-0.11057947,6,-0.33173842,-60.26554167,0.0001796131,12.412,9.379,9.379
2mer-0+46,0.00406925,6,0.01220775,-60.25333392,0.0001739134,12.747,9.48,9.48
2mer-0+58,-0.22878155,6,-0.68634464,-60.93967856,0.0001649719,12.182,9.649,9.649
2mer-0+78,0.07860948,6,0.23582844,-60.70385012,0.0001529759,14.303,9.894,9.894
2mer-0+73,-0.3018107,2,-0.3018107,-61.00566082,0.0001184542,12.295,10.775,10.775
2mer-0+77,0.07587528,6,0.22762584,-60.77803498,0.0001161428,14.497,10.846,10.846
2mer-0+87,0.04673286,6,0.14019858,-60.6378364,0.0001113176,14.497,11.001,11.001
2mer-0+80,-0.04192329,6,-0.12576987,-60.76360627,0.00010762,14.397,11.125,11.125
2mer-0+85,0.08089017,6,0.24267052,-60.52093575,9.746326e-05,14.303,11.499,11.499
2mer-0+108,0.02640004,6,0.07920012,-60.44173563,8.942734e-05,15.25,11.833,11.833
2mer-0+111,0.02319557,6,0.06958671,-60.37214892,8.88741e-05,15.791,11.858,11.858
2mer-0+82,0.05223762,6,0.15671287,-60.21543605,8.722652e-05,15.25,11.932,11.932
2mer-0+95,-0.0383301,6,-0.11499029,-60.33042635,8.381049e-05,15.338,12.092,12.092
2mer-0+106,-0.06736595,6,-0.20209785,-60.5325242,8.290732e-05,15.428,12.136,12.136
2mer-0+122,0.05959993,6,0.17879979,-60.3537244,8.16383e-05,16.144,12.198,12.198
2mer-0+105,-0.13669463,6,-0.41008389,-60.76380829,7.925475e-05,14.683,12.319,12.319
2mer-0+112,-0.06861738,6,-0.20585214,-60.96966043,6.831187e-05,15.428,12.945,12.945
2mer-0+119,0.02273455,6,0.06820366,-60.90145677,6.796405e-05,15.791,12.967,12.967
2mer-0+123,0.04101227,6,0.1230368,-60.77841997,6.641665e-05,16.656,13.067,13.067
2mer-0+131,0.03703923,6,0.11111768,-60.6673023,6.641665e-05,16.656,13.067,13.067
2mer-0+132,0.00281608,6,0.00844823,-60.65885407,6.231935e-05,17.151,13.347,13.347
2mer-0+139,-0.11013267,6,-0.33039801,-60.98925208,5.691691e-05,15.961,13.757,13.757
2mer-0+166,-0.04526245,6,-0.13578736,-61.12503944,5.094641e-05,17.391,14.275,14.275
