N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+2,-40.58376739,1,-20.29188369,-20.29188369,0.01864926,5.345,1.995,1.995,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='142ba23')"
2mer-0+5,-49.03739463,2,-49.03739463,-69.32927832,0.01759682,6.36,2.034,2.034,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='a7ea332')"
2mer-0+6,-15.12226842,2,-15.12226842,-84.45154675,0.01187262,6.837,2.32,2.32,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='c00b8ae')"
2mer-0+4,-8.04759697,2,-8.04759697,-92.49914372,0.006396118,6.139,2.851,2.851,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='6a0bc3f')"
2mer-0+20,-7.73901751,1,-3.86950875,-96.36865247,0.005145499,6.894,3.065,3.065,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='887fe70')"
2mer-0+1,-16.05824826,1,-8.02912413,-104.3977766,0.004941318,5.122,3.107,3.107,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='2f5d072')"
2mer-0+3,-6.83542268,2,-6.83542268,-111.23319929,0.004060364,3.655,3.317,3.317,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='084cd8e')"
2mer-0+23,-0.44854412,1,-0.22427206,-111.45747135,0.003821146,7.956,3.385,3.385,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='4e1adbd')"
2mer-0+11,-11.84872215,2,-11.84872215,-123.3061935,0.003329493,6.862,3.544,3.544,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='014ebdb')"
2mer-0+9,-6.96182306,2,-6.96182306,-130.26801656,0.001894674,7.78,4.277,4.277,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='c6fcec1')"
2mer-0+12,-0.22324805,1,-0.11162402,-130.37964059,0.001217273,7.591,4.956,4.956,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='e051508')"
2mer-0+28,-1.76510757,2,-1.76510757,-132.14474816,0.0009316664,9.084,5.418,5.418,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='5cd2fdb')"
2mer-0+48,0.8430262,1,0.4215131,-131.72323506,0.0008061675,10.54,5.686,5.686,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='cd7814c')"
2mer-0+37,-3.97434786,1,-1.98717393,-133.71040899,0.0007955879,7.647,5.711,5.711,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='17d0342')"
2mer-0+16,0.29647034,2,0.29647034,-133.41393865,0.000741225,10.409,5.847,5.847,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='8533f82')"
2mer-0+21,-0.6920838,2,-0.6920838,-134.10602244,0.0007058133,10.835,5.943,5.943,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='ee325b6')"
2mer-0+10,1.33610815,2,1.33610815,-132.76991429,0.000673112,7.44,6.038,6.038,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='872980c')"
2mer-0+42,-0.93582211,1,-0.46791105,-133.23782534,0.0006608288,10.428,6.075,6.075,"Molecule(name='C8H8N4O4', formula='C8H8N4O4', hash='3708f59')"
