N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-34.22042818,1,-17.11021409,-17.11021409,0.01864926,5.345,1.995,1.995
2mer-0+5,-42.65218056,2,-42.65218056,-59.76239465,0.01759682,6.36,2.034,2.034
2mer-0+6,-12.64946304,2,-12.64946304,-72.41185769,0.01187262,6.837,2.32,2.32
2mer-0+4,-6.8519794,2,-6.8519794,-79.26383709,0.006396118,6.139,2.851,2.851
2mer-0+20,-6.4377358,1,-3.2188679,-82.482705,0.005145499,6.894,3.065,3.065
2mer-0+1,-14.25840282,1,-7.12920141,-89.61190641,0.004941318,5.122,3.107,3.107
2mer-0+3,-8.2813493,2,-8.2813493,-97.89325571,0.004060364,3.655,3.317,3.317
2mer-0+23,0.01238546,1,0.00619273,-97.88706298,0.003821146,7.956,3.385,3.385
2mer-0+11,-11.03887126,2,-11.03887126,-108.92593424,0.003329493,6.862,3.544,3.544
2mer-0+9,-6.32714914,2,-6.32714914,-115.25308338,0.001894674,7.78,4.277,4.277
2mer-0+12,-0.33284957,1,-0.16642479,-115.41950817,0.001217273,7.591,4.956,4.956
2mer-0+28,-1.61629904,2,-1.61629904,-117.03580721,0.0009316664,9.084,5.418,5.418
2mer-0+48,0.70299439,1,0.35149719,-116.68431001,0.0008061675,10.54,5.686,5.686
2mer-0+37,-3.60993534,1,-1.80496767,-118.48927768,0.0007955879,7.647,5.711,5.711
2mer-0+16,0.16548781,2,0.16548781,-118.32378987,0.000741225,10.409,5.847,5.847
2mer-0+21,-0.69632233,2,-0.69632233,-119.0201122,0.0007058133,10.835,5.943,5.943
2mer-0+10,1.13113107,2,1.13113107,-117.88898113,0.000673112,7.44,6.038,6.038
2mer-0+42,-0.88575437,1,-0.44287719,-118.33185831,0.0006608288,10.428,6.075,6.075
2mer-0+15,-1.01516538,2,-1.01516538,-119.3470237,0.0006006165,10.538,6.272,6.272
2mer-0+44,0.15509308,1,0.07754654,-119.26947716,0.000580517,10.285,6.344,6.344
2mer-0+8,-2.6760175,1,-1.33800875,-120.6074859,0.0005598004,7.115,6.421,6.421
2mer-0+39,-1.36392579,2,-1.36392579,-121.9714117,0.0005368839,8.97,6.511,6.511
2mer-0+17,1.19764118,2,1.19764118,-120.77377052,0.0005129197,7.31,6.611,6.611
