N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-33.83157943,1,-16.91578971,-16.91578971,0.01864926,5.345,1.995,1.995
2mer-0+5,-42.85922566,2,-42.85922566,-59.77501538,0.01759682,6.36,2.034,2.034
2mer-0+6,-12.88313435,2,-12.88313435,-72.65814973,0.01187262,6.837,2.32,2.32
2mer-0+4,-6.33893342,2,-6.33893342,-78.99708315,0.006396118,6.139,2.851,2.851
2mer-0+20,-6.00512873,1,-3.00256437,-81.99964752,0.005145499,6.894,3.065,3.065
2mer-0+1,-13.17621584,1,-6.58810792,-88.58775544,0.004941318,5.122,3.107,3.107
2mer-0+3,-2.35882587,2,-2.35882587,-90.94658131,0.004060364,3.655,3.317,3.317
2mer-0+23,0.26064675,1,0.13032338,-90.81625793,0.003821146,7.956,3.385,3.385
2mer-0+11,-10.9313384,2,-10.9313384,-101.74759633,0.003329493,6.862,3.544,3.544
2mer-0+9,-6.39295103,2,-6.39295103,-108.14054736,0.001894674,7.78,4.277,4.277
2mer-0+12,-0.19320616,1,-0.09660308,-108.23715044,0.001217273,7.591,4.956,4.956
2mer-0+28,-1.65054752,2,-1.65054752,-109.88769796,0.0009316664,9.084,5.418,5.418
2mer-0+48,0.79496916,1,0.39748458,-109.49021339,0.0008061675,10.54,5.686,5.686
2mer-0+37,-3.55557737,1,-1.77778869,-111.26800207,0.0007955879,7.647,5.711,5.711
2mer-0+16,0.20059604,2,0.20059604,-111.06740604,0.000741225,10.409,5.847,5.847
2mer-0+21,-0.70167592,2,-0.70167592,-111.76908195,0.0007058133,10.835,5.943,5.943
2mer-0+10,1.32629512,2,1.32629512,-110.44278683,0.000673112,7.44,6.038,6.038
2mer-0+42,-0.8749545,1,-0.43747725,-110.88026408,0.0006608288,10.428,6.075,6.075
2mer-0+15,-1.05473553,2,-1.05473553,-111.93499961,0.0006006165,10.538,6.272,6.272
2mer-0+44,0.22597986,1,0.11298993,-111.82200968,0.000580517,10.285,6.344,6.344
2mer-0+8,-2.6588146,1,-1.3294073,-113.15141698,0.0005598004,7.115,6.421,6.421
2mer-0+39,-1.39676325,2,-1.39676325,-114.54818023,0.0005368839,8.97,6.511,6.511
2mer-0+17,1.39792593,2,1.39792593,-113.15025431,0.0005129197,7.31,6.611,6.611
2mer-0+85,0.12974226,1,0.06487113,-113.08538318,0.0004502075,11.403,6.904,6.904
2mer-0+14,-0.49588706,2,-0.49588706,-113.58127024,0.0004402456,10.31,6.956,6.956
2mer-0+63,0.23225534,1,0.11612767,-113.46514257,0.0003686256,11.838,7.38,7.38
2mer-0+93,0.90153479,1,0.45076739,-113.01437517,0.0003654064,12.075,7.402,7.402
2mer-0+18,0.52150825,2,0.52150825,-112.49286692,0.0003645532,11.113,7.408,7.408
2mer-0+31,-1.05547891,2,-1.05547891,-113.54834583,0.0003594366,10.36,7.443,7.443
2mer-0+30,-0.86378321,2,-0.86378321,-114.41212904,0.0003442723,11.938,7.55,7.55
2mer-0+27,0.57305108,2,0.57305108,-113.83907796,0.0003206251,11.226,7.732,7.732
2mer-0+49,0.9676979,2,0.9676979,-112.87138006,0.0003019625,12.376,7.888,7.888
2mer-0+46,-0.4768689,2,-0.4768689,-113.34824895,0.0002950753,12.376,7.949,7.949
2mer-0+19,0.18127197,2,0.18127197,-113.16697699,0.0002829319,11.201,8.061,8.061
2mer-0+107,-0.60504142,1,-0.30252071,-113.4694977,0.0002685375,11.874,8.202,8.202
2mer-0+58,-1.21123219,1,-0.60561609,-114.07511379,0.0002630299,11.538,8.259,8.259
2mer-0+52,0.24336688,1,0.12168344,-113.95343035,0.000256142,10.649,8.332,8.332
2mer-0+35,0.50618371,2,0.50618371,-113.44724664,0.0002492265,12.176,8.409,8.409
2mer-0+103,0.78992443,2,0.78992443,-112.65732221,0.0002410629,13.398,8.503,8.503
2mer-0+60,0.32015141,2,0.32015141,-112.33717081,0.0002350973,12.905,8.574,8.574
2mer-0+106,0.39404723,2,0.39404723,-111.94312357,0.0002302499,12.963,8.634,8.634
2mer-0+53,0.94315789,2,0.94315789,-110.99996568,0.0002296657,12.905,8.641,8.641
2mer-0+67,-1.36766713,1,-0.68383356,-111.68379925,0.0002083474,9.806,8.926,8.926
2mer-0+64,-0.37890395,2,-0.37890395,-112.0627032,0.0002068907,12.042,8.947,8.947
2mer-0+29,0.17569941,2,0.17569941,-111.88700379,0.0001919294,11.326,9.174,9.174
2mer-0+38,0.96153181,2,0.96153181,-110.92547197,0.0001843593,9.987,9.298,9.298
