N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-27.20891122,1,-13.60445561,-13.60445561,0.01864926,5.345,1.995,1.995
2mer-0+5,-39.12025675,2,-39.12025675,-52.72471236,0.01759682,6.36,2.034,2.034
2mer-0+6,-11.51485992,2,-11.51485992,-64.23957228,0.01187262,6.837,2.32,2.32
2mer-0+4,-4.40725109,2,-4.40725109,-68.64682336,0.006396118,6.139,2.851,2.851
2mer-0+20,-4.90068912,1,-2.45034456,-71.09716792,0.005145499,6.894,3.065,3.065
2mer-0+1,-10.52964003,1,-5.26482002,-76.36198794,0.004941318,5.122,3.107,3.107
2mer-0+3,3.81813089,2,3.81813089,-72.54385704,0.004060364,3.655,3.317,3.317
2mer-0+23,0.5038709,1,0.25193545,-72.29192159,0.003821146,7.956,3.385,3.385
2mer-0+11,-10.34453844,2,-10.34453844,-82.63646003,0.003329493,6.862,3.544,3.544
2mer-0+9,-6.19206361,2,-6.19206361,-88.82852364,0.001894674,7.78,4.277,4.277
2mer-0+12,-0.0120224,1,-0.0060112,-88.83453484,0.001217273,7.591,4.956,4.956
2mer-0+28,-1.61608329,2,-1.61608329,-90.45061813,0.0009316664,9.084,5.418,5.418
2mer-0+48,0.87011819,1,0.4350591,-90.01555904,0.0008061675,10.54,5.686,5.686
2mer-0+37,-3.41330921,1,-1.7066546,-91.72221364,0.0007955879,7.647,5.711,5.711
2mer-0+16,0.23731006,2,0.23731006,-91.48490358,0.000741225,10.409,5.847,5.847
2mer-0+21,-0.67835728,2,-0.67835728,-92.16326086,0.0007058133,10.835,5.943,5.943
2mer-0+10,1.47013582,2,1.47013582,-90.69312504,0.000673112,7.44,6.038,6.038
2mer-0+42,-0.88059678,1,-0.44029839,-91.13342343,0.0006608288,10.428,6.075,6.075
2mer-0+15,-1.05013136,2,-1.05013136,-92.18355479,0.0006006165,10.538,6.272,6.272
2mer-0+44,0.2641864,1,0.1320932,-92.05146159,0.000580517,10.285,6.344,6.344
2mer-0+8,-2.63933723,1,-1.31966861,-93.37113021,0.0005598004,7.115,6.421,6.421
2mer-0+39,-1.42041801,2,-1.42041801,-94.79154822,0.0005368839,8.97,6.511,6.511
