N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-38.13576544,1,-19.06788272,-19.06788272,0.01864926,5.345,1.995,1.995
2mer-0+5,-45.95024904,2,-45.95024904,-65.01813176,0.01759682,6.36,2.034,2.034
2mer-0+6,-13.94763491,2,-13.94763491,-78.96576668,0.01187262,6.837,2.32,2.32
2mer-0+4,-7.5562143,2,-7.5562143,-86.52198098,0.006396118,6.139,2.851,2.851
2mer-0+20,-8.4517986,1,-4.2258993,-90.74788028,0.005145499,6.894,3.065,3.065
2mer-0+1,-15.14635387,1,-7.57317693,-98.32105721,0.004941318,5.122,3.107,3.107
2mer-0+3,-5.25332444,2,-5.25332444,-103.57438165,0.004060364,3.655,3.317,3.317
2mer-0+23,-1.23267144,1,-0.61633572,-104.19071736,0.003821146,7.956,3.385,3.385
2mer-0+11,-11.31649647,2,-11.31649647,-115.50721383,0.003329493,6.862,3.544,3.544
2mer-0+9,-6.50305521,2,-6.50305521,-122.01026904,0.001894674,7.78,4.277,4.277
2mer-0+12,-0.37942915,1,-0.18971458,-122.19998362,0.001217273,7.591,4.956,4.956
2mer-0+28,-1.5580479,2,-1.5580479,-123.75803152,0.0009316664,9.084,5.418,5.418
2mer-0+48,0.64236605,1,0.32118302,-123.4368485,0.0008061675,10.54,5.686,5.686
2mer-0+37,-3.80077347,1,-1.90038673,-125.33723523,0.0007955879,7.647,5.711,5.711
2mer-0+16,0.26740852,2,0.26740852,-125.06982671,0.000741225,10.409,5.847,5.847
2mer-0+21,-0.61158475,2,-0.61158475,-125.68141146,0.0007058133,10.835,5.943,5.943
2mer-0+10,1.1167288,2,1.1167288,-124.56468265,0.000673112,7.44,6.038,6.038
2mer-0+42,-0.92575462,1,-0.46287731,-125.02755996,0.0006608288,10.428,6.075,6.075
2mer-0+15,-0.96440262,2,-0.96440262,-125.99196259,0.0006006165,10.538,6.272,6.272
2mer-0+44,0.01587309,1,0.00793654,-125.98402604,0.000580517,10.285,6.344,6.344
2mer-0+8,-2.72994772,1,-1.36497386,-127.3489999,0.0005598004,7.115,6.421,6.421
2mer-0+39,-1.3036858,2,-1.3036858,-128.6526857,0.0005368839,8.97,6.511,6.511
2mer-0+17,1.22759751,2,1.22759751,-127.42508819,0.0005129197,7.31,6.611,6.611
2mer-0+85,0.29759267,1,0.14879633,-127.27629185,0.0004502075,11.403,6.904,6.904
2mer-0+14,-0.45328952,2,-0.45328952,-127.72958138,0.0004402456,10.31,6.956,6.956
2mer-0+63,0.15045544,1,0.07522772,-127.65435366,0.0003686256,11.838,7.38,7.38
2mer-0+93,1.01128003,1,0.50564001,-127.14871364,0.0003654064,12.075,7.402,7.402
2mer-0+18,0.48935274,2,0.48935274,-126.6593609,0.0003645532,11.113,7.408,7.408
2mer-0+31,-1.01790044,2,-1.01790044,-127.67726134,0.0003594366,10.36,7.443,7.443
2mer-0+30,-0.78310991,2,-0.78310991,-128.46037126,0.0003442723,11.938,7.55,7.55
2mer-0+27,0.57162338,2,0.57162338,-127.88874787,0.0003206251,11.226,7.732,7.732
