N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-46.33687877,1,-23.16843938,-23.16843938,0.01864926,5.345,1.995,1.995
2mer-0+5,-55.73932876,2,-55.73932876,-78.90776815,0.01759682,6.36,2.034,2.034
2mer-0+6,-18.53871695,2,-18.53871695,-97.4464851,0.01187262,6.837,2.32,2.32
2mer-0+4,-9.58719559,2,-9.58719559,-107.03368069,0.006396118,6.139,2.851,2.851
2mer-0+20,-7.24392965,1,-3.62196483,-110.65564551,0.005145499,6.894,3.065,3.065
2mer-0+1,-17.44099987,1,-8.72049993,-119.37614545,0.004941318,5.122,3.107,3.107
2mer-0+3,-3.8325313,2,-3.8325313,-123.20867675,0.004060364,3.655,3.317,3.317
2mer-0+23,0.62755709,1,0.31377855,-122.8948982,0.003821146,7.956,3.385,3.385
2mer-0+11,-13.95255251,2,-13.95255251,-136.84745071,0.003329493,6.862,3.544,3.544
2mer-0+9,-8.23355383,2,-8.23355383,-145.08100454,0.001894674,7.78,4.277,4.277
2mer-0+12,-0.04953197,1,-0.02476599,-145.10577052,0.001217273,7.591,4.956,4.956
2mer-0+28,-2.16889535,2,-2.16889535,-147.27466588,0.0009316664,9.084,5.418,5.418
2mer-0+48,0.95393785,1,0.47696892,-146.79769695,0.0008061675,10.54,5.686,5.686
2mer-0+37,-4.64932618,1,-2.32466309,-149.12236004,0.0007955879,7.647,5.711,5.711
2mer-0+16,0.3559146,2,0.3559146,-148.76644544,0.000741225,10.409,5.847,5.847
2mer-0+21,-0.82623974,2,-0.82623974,-149.59268518,0.0007058133,10.835,5.943,5.943
2mer-0+10,1.88874433,2,1.88874433,-147.70394085,0.000673112,7.44,6.038,6.038
2mer-0+42,-1.12581338,1,-0.56290669,-148.26684754,0.0006608288,10.428,6.075,6.075
2mer-0+15,-1.41020843,2,-1.41020843,-149.67705597,0.0006006165,10.538,6.272,6.272
2mer-0+44,0.34612432,1,0.17306216,-149.50399381,0.000580517,10.285,6.344,6.344
2mer-0+8,-3.61439807,1,-1.80719904,-151.31119285,0.0005598004,7.115,6.421,6.421
2mer-0+39,-1.88042198,2,-1.88042198,-153.19161483,0.0005368839,8.97,6.511,6.511
2mer-0+17,2.01552581,2,2.01552581,-151.17608902,0.0005129197,7.31,6.611,6.611
2mer-0+85,0.13244812,1,0.06622406,-151.10986496,0.0004502075,11.403,6.904,6.904
2mer-0+14,-0.65220272,2,-0.65220272,-151.76206767,0.0004402456,10.31,6.956,6.956
2mer-0+63,0.26395199,1,0.131976,-151.63009168,0.0003686256,11.838,7.38,7.38
2mer-0+93,1.11058657,1,0.55529328,-151.07479839,0.0003654064,12.075,7.402,7.402
2mer-0+18,0.76020497,2,0.76020497,-150.31459342,0.0003645532,11.113,7.408,7.408
2mer-0+31,-1.39442725,2,-1.39442725,-151.70902068,0.0003594366,10.36,7.443,7.443
2mer-0+30,-1.15902463,2,-1.15902463,-152.86804531,0.0003442723,11.938,7.55,7.55
2mer-0+27,0.79423562,2,0.79423562,-152.07380969,0.0003206251,11.226,7.732,7.732
2mer-0+49,1.26593993,2,1.26593993,-150.80786976,0.0003019625,12.376,7.888,7.888
2mer-0+46,-0.60261042,2,-0.60261042,-151.41048018,0.0002950753,12.376,7.949,7.949
2mer-0+19,0.271288,2,0.271288,-151.13919218,0.0002829319,11.201,8.061,8.061
2mer-0+107,-0.77361962,1,-0.38680981,-151.52600198,0.0002685375,11.874,8.202,8.202
2mer-0+58,-1.56076561,1,-0.78038281,-152.30638479,0.0002630299,11.538,8.259,8.259
2mer-0+52,0.32655213,1,0.16327606,-152.14310872,0.000256142,10.649,8.332,8.332
2mer-0+35,0.71897219,2,0.71897219,-151.42413654,0.0002492265,12.176,8.409,8.409
2mer-0+103,1.0404581,2,1.0404581,-150.38367844,0.0002410629,13.398,8.503,8.503
2mer-0+60,0.43689613,2,0.43689613,-149.9467823,0.0002350973,12.905,8.574,8.574
2mer-0+106,0.52682216,2,0.52682216,-149.41996015,0.0002302499,12.963,8.634,8.634
2mer-0+53,1.23009177,2,1.23009177,-148.18986838,0.0002296657,12.905,8.641,8.641
2mer-0+67,-1.83404614,1,-0.91702307,-149.10689145,0.0002083474,9.806,8.926,8.926
2mer-0+64,-0.49773784,2,-0.49773784,-149.60462929,0.0002068907,12.042,8.947,8.947
2mer-0+29,0.2415206,2,0.2415206,-149.36310869,0.0001919294,11.326,9.174,9.174
2mer-0+38,1.30891712,2,1.30891712,-148.05419157,0.0001843593,9.987,9.298,9.298
2mer-0+122,0.9094528,1,0.4547264,-147.59946517,0.0001776089,13.722,9.414,9.414
2mer-0+36,-1.46396245,1,-0.73198122,-148.33144639,0.0001616585,10.086,9.714,9.714
2mer-0+86,0.12080654,1,0.06040327,-148.27104312,0.000158173,13.229,9.785,9.785
2mer-0+79,-0.5078584,2,-0.5078584,-148.77890152,0.0001563952,11.855,9.822,9.822
2mer-0+123,0.93154929,2,0.93154929,-147.84735223,0.0001556618,14.754,9.837,9.837
2mer-0+57,0.68226457,2,0.68226457,-147.16508766,0.0001502477,10.966,9.954,9.954
2mer-0+40,-0.20551706,2,-0.20551706,-147.37060472,0.0001489035,12.416,9.984,9.984
2mer-0+68,-0.63803971,2,-0.63803971,-148.00864443,0.000145127,14.167,10.07,10.07
2mer-0+114,-0.09572472,1,-0.04786236,-148.05650679,0.0001410797,13.997,10.165,10.165
2mer-0+126,-0.04183932,2,-0.04183932,-148.09834611,0.0001407121,13.539,10.174,10.174
2mer-0+97,0.02382144,2,0.02382144,-148.07452467,0.000134414,14.374,10.33,10.33
2mer-0+54,0.45647017,2,0.45647017,-147.6180545,0.0001339613,13.054,10.342,10.342
2mer-0+69,0.46295095,2,0.46295095,-147.15510355,0.0001229298,14.132,10.643,10.643
2mer-0+143,-0.676322,1,-0.338161,-147.49326455,0.0001223816,13.367,10.658,10.658
2mer-0+70,0.70721394,2,0.70721394,-146.78605061,0.0001219956,14.374,10.67,10.67
2mer-0+91,-0.28124765,2,-0.28124765,-147.06729826,0.0001159638,14.686,10.852,10.852
2mer-0+92,0.65642594,1,0.32821297,-146.73908529,0.0001144806,15.887,10.898,10.898
2mer-0+72,-0.33664965,2,-0.33664965,-147.07573494,0.000113838,13.448,10.919,10.919
2mer-0+94,-0.77712733,1,-0.38856367,-147.46429861,0.0001132367,13.573,10.938,10.938
2mer-0+89,0.42657356,1,0.21328678,-147.25101183,0.0001105952,15.813,11.024,11.024
2mer-0+61,0.39777299,1,0.19888649,-147.05212533,0.0001053053,14.535,11.206,11.206
2mer-0+130,0.19253502,2,0.19253502,-146.85959031,0.0001014088,16.255,11.348,11.348
2mer-0+125,0.31546095,2,0.31546095,-146.54412936,9.677189e-05,16.108,11.526,11.526
2mer-0+73,0.44339734,1,0.22169867,-146.32243069,9.436146e-05,15.222,11.623,11.623
2mer-0+84,-0.73410475,2,-0.73410475,-147.05653544,9.093465e-05,16.255,11.768,11.768
2mer-0+80,-0.53818367,2,-0.53818367,-147.59471911,9.071878e-05,15.835,11.777,11.777
2mer-0+77,-0.51327556,2,-0.51327556,-148.10799467,8.887389e-05,16.108,11.858,11.858
2mer-0+118,0.09975144,1,0.04987572,-148.05811895,8.848847e-05,13.997,11.875,11.875
2mer-0+119,0.5288416,1,0.2644208,-147.79369815,8.690425e-05,16.777,11.947,11.947
2mer-0+65,0.21471237,1,0.10735619,-147.68634197,8.686978e-05,14.75,11.948,11.948
2mer-0+137,-0.53800928,1,-0.26900464,-147.95534661,8.542835e-05,16.473,12.015,12.015
2mer-0+171,0.37579515,2,0.37579515,-147.57955146,8.508465e-05,16.534,12.031,12.031
2mer-0+181,0.2272489,2,0.2272489,-147.35230256,8.397931e-05,16.805,12.084,12.084
2mer-0+66,0.4451482,2,0.4451482,-146.90715436,8.343763e-05,13.303,12.11,12.11
2mer-0+178,0.59155624,2,0.59155624,-146.31559812,8.232855e-05,16.81,12.164,12.164
2mer-0+184,0.50839285,1,0.25419643,-146.06140169,8.132371e-05,16.047,12.214,12.214
2mer-0+145,-0.55733414,1,-0.27866707,-146.34006876,8.114703e-05,16.945,12.223,12.223
2mer-0+131,-0.77511357,1,-0.38755679,-146.72762555,8.076356e-05,12.671,12.242,12.242
2mer-0+224,0.41834994,1,0.20917497,-146.51845058,8.004956e-05,16.988,12.279,12.279
2mer-0+111,0.04288005,1,0.02144003,-146.49701055,7.984174e-05,16.566,12.289,12.289
2mer-0+158,0.08998981,2,0.08998981,-146.40702074,7.953645e-05,17.196,12.305,12.305
2mer-0+88,-0.33317903,2,-0.33317903,-146.74019977,7.903051e-05,15.821,12.331,12.331
2mer-0+109,-0.56463762,2,-0.56463762,-147.30483739,7.902718e-05,16.67,12.331,12.331
2mer-0+142,-0.17091269,2,-0.17091269,-147.47575008,7.499018e-05,15.305,12.549,12.549
2mer-0+81,0.60668658,2,0.60668658,-146.8690635,7.462805e-05,13.071,12.569,12.569
2mer-0+180,-0.22590474,2,-0.22590474,-147.09496824,7.377246e-05,15.01,12.617,12.617
2mer-0+227,0.22623254,1,0.11311627,-146.98185197,7.302039e-05,16.776,12.661,12.661
2mer-0+75,-0.2927998,2,-0.2927998,-147.27465177,7.246894e-05,14.476,12.693,12.693
2mer-0+113,-0.66805866,2,-0.66805866,-147.94271043,7.116264e-05,17.196,12.77,12.77
2mer-0+162,-0.40016515,1,-0.20008258,-148.14279301,7.101748e-05,16.802,12.778,12.778
2mer-0+146,0.34428683,2,0.34428683,-147.79850618,7.077975e-05,16.776,12.793,12.793
2mer-0+156,-0.01828568,2,-0.01828568,-147.81679186,6.888398e-05,16.535,12.909,12.909
2mer-0+249,0.45233026,1,0.22616513,-147.59062673,6.807697e-05,17.957,12.96,12.96
2mer-0+104,-0.17989773,2,-0.17989773,-147.77052446,6.717128e-05,16.776,13.018,13.018
2mer-0+87,-0.66660471,1,-0.33330235,-148.10382681,6.694806e-05,13.4,13.032,13.032
2mer-0+189,0.41729568,2,0.41729568,-147.68653113,6.673107e-05,17.06,13.046,13.046
2mer-0+121,0.36551921,1,0.1827596,-147.50377153,6.606161e-05,16.7,13.09,13.09
2mer-0+133,0.11160441,1,0.05580221,-147.44796932,6.600035e-05,17.14,13.094,13.094
2mer-0+140,-0.31079068,2,-0.31079068,-147.75876,6.539888e-05,16.9,13.134,13.134
