N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+2,-39.70596169,1,-19.85298085,-19.85298085,0.01864926,5.345,1.995,1.995
2mer-0+5,-52.79369926,2,-52.79369926,-72.64668011,0.01759682,6.36,2.034,2.034
2mer-0+6,-17.658564,2,-17.658564,-90.3052441,0.01187262,6.837,2.32,2.32
2mer-0+4,-7.64157871,2,-7.64157871,-97.94682282,0.006396118,6.139,2.851,2.851
2mer-0+20,-6.09041508,1,-3.04520754,-100.99203035,0.005145499,6.894,3.065,3.065
2mer-0+1,-14.61638089,1,-7.30819045,-108.3002208,0.004941318,5.122,3.107,3.107
2mer-0+3,4.27466377,2,4.27466377,-104.02555703,0.004060364,3.655,3.317,3.317
2mer-0+23,1.01654798,1,0.50827399,-103.51728304,0.003821146,7.956,3.385,3.385
2mer-0+11,-13.55958217,2,-13.55958217,-117.07686521,0.003329493,6.862,3.544,3.544
2mer-0+9,-8.23426279,2,-8.23426279,-125.311128,0.001894674,7.78,4.277,4.277
2mer-0+12,0.20219772,1,0.10109886,-125.21002914,0.001217273,7.591,4.956,4.956
2mer-0+28,-2.19275476,2,-2.19275476,-127.4027839,0.0009316664,9.084,5.418,5.418
2mer-0+48,1.07852871,1,0.53926436,-126.86351954,0.0008061675,10.54,5.686,5.686
2mer-0+37,-4.57220276,1,-2.28610138,-129.14962092,0.0007955879,7.647,5.711,5.711
2mer-0+16,0.42069417,2,0.42069417,-128.72892676,0.000741225,10.409,5.847,5.847
2mer-0+21,-0.82107356,2,-0.82107356,-129.55000032,0.0007058133,10.835,5.943,5.943
2mer-0+10,2.15418329,2,2.15418329,-127.39581702,0.000673112,7.44,6.038,6.038
2mer-0+42,-1.14453804,1,-0.57226902,-127.96808604,0.0006608288,10.428,6.075,6.075
2mer-0+15,-1.45648895,2,-1.45648895,-129.424575,0.0006006165,10.538,6.272,6.272
2mer-0+44,0.44216258,1,0.22108129,-129.2034937,0.000580517,10.285,6.344,6.344
2mer-0+8,-3.70077982,1,-1.85038991,-131.05388361,0.0005598004,7.115,6.421,6.421
2mer-0+39,-1.98109702,2,-1.98109702,-133.03498063,0.0005368839,8.97,6.511,6.511
2mer-0+17,2.29565563,2,2.29565563,-130.739325,0.0005129197,7.31,6.611,6.611
2mer-0+85,0.14703726,1,0.07351863,-130.66580637,0.0004502075,11.403,6.904,6.904
2mer-0+14,-0.65069532,2,-0.65069532,-131.31650169,0.0004402456,10.31,6.956,6.956
2mer-0+63,0.29684019,1,0.1484201,-131.1680816,0.0003686256,11.838,7.38,7.38
2mer-0+93,1.14195985,1,0.57097993,-130.59710168,0.0003654064,12.075,7.402,7.402
2mer-0+18,0.83331443,2,0.83331443,-129.76378725,0.0003645532,11.113,7.408,7.408
2mer-0+31,-1.40397769,2,-1.40397769,-131.16776494,0.0003594366,10.36,7.443,7.443
2mer-0+30,-1.20715221,2,-1.20715221,-132.37491715,0.0003442723,11.938,7.55,7.55
2mer-0+27,0.83436001,2,0.83436001,-131.54055714,0.0003206251,11.226,7.732,7.732
2mer-0+49,1.35103649,2,1.35103649,-130.18952064,0.0003019625,12.376,7.888,7.888
2mer-0+46,-0.62198089,2,-0.62198089,-130.81150153,0.0002950753,12.376,7.949,7.949
2mer-0+19,0.29121038,2,0.29121038,-130.52029115,0.0002829319,11.201,8.061,8.061
2mer-0+107,-0.78380239,1,-0.39190119,-130.91219235,0.0002685375,11.874,8.202,8.202
2mer-0+58,-1.62957268,1,-0.81478634,-131.72697869,0.0002630299,11.538,8.259,8.259
2mer-0+52,0.35064903,1,0.17532451,-131.55165418,0.000256142,10.649,8.332,8.332
2mer-0+35,0.77945594,2,0.77945594,-130.77219824,0.0002492265,12.176,8.409,8.409
2mer-0+103,1.08238417,2,1.08238417,-129.68981407,0.0002410629,13.398,8.503,8.503
2mer-0+60,0.47317038,2,0.47317038,-129.21664369,0.0002350973,12.905,8.574,8.574
2mer-0+106,0.56341718,2,0.56341718,-128.65322651,0.0002302499,12.963,8.634,8.634
2mer-0+53,1.30110489,2,1.30110489,-127.35212162,0.0002296657,12.905,8.641,8.641
2mer-0+67,-1.87898113,1,-0.93949057,-128.29161218,0.0002083474,9.806,8.926,8.926
2mer-0+64,-0.50749422,2,-0.50749422,-128.7991064,0.0002068907,12.042,8.947,8.947
2mer-0+29,0.26919,2,0.26919,-128.5299164,0.0001919294,11.326,9.174,9.174
2mer-0+38,1.40760932,2,1.40760932,-127.12230708,0.0001843593,9.987,9.298,9.298
2mer-0+122,0.94151461,1,0.47075731,-126.65154978,0.0001776089,13.722,9.414,9.414
2mer-0+36,-1.52041764,1,-0.76020882,-127.4117586,0.0001616585,10.086,9.714,9.714
2mer-0+86,0.15228497,1,0.07614248,-127.33561611,0.000158173,13.229,9.785,9.785
2mer-0+79,-0.54473394,2,-0.54473394,-127.88035005,0.0001563952,11.855,9.822,9.822
2mer-0+123,0.96679008,2,0.96679008,-126.91355997,0.0001556618,14.754,9.837,9.837
2mer-0+57,0.73456395,2,0.73456395,-126.17899602,0.0001502477,10.966,9.954,9.954
