N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+1,-34.13811666,4,-68.27623332,-68.27623332,0.01813338,4.313,2.014,2.014,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='e975689')"
2mer-0+3,-45.01660055,2,-45.01660055,-113.29283387,0.01668822,4.695,2.071,2.071,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='c5e9d5c')"
2mer-0+5,-4.19713793,4,-8.39427587,-121.68710973,0.009147917,4.943,2.53,2.53,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='041bf9d')"
2mer-0+9,3.62410477,2,3.62410477,-118.06300496,0.002556938,7.904,3.87,3.87,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='eb7829b')"
2mer-0+4,2.2530784,4,4.5061568,-113.55684817,0.002399124,5.589,3.953,3.953,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='0976d85')"
2mer-0+6,-0.70781107,8,-2.8312443,-116.38809246,0.001085751,7.299,5.149,5.149,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='d651376')"
2mer-0+35,2.35242777,4,4.70485553,-111.68323693,0.0009791764,8.622,5.329,5.329,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='c34334d')"
2mer-0+10,3.65045111,4,7.30090222,-104.38233471,0.0009024153,7.54,5.476,5.476,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='23aa2ac')"
2mer-0+16,0.42378199,4,0.84756398,-103.53477073,0.0007859423,9.193,5.734,5.734,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='de484d4')"
2mer-0+12,-1.72742191,8,-6.90968765,-110.44445838,0.000534934,9.004,6.519,6.519,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='ceb7861')"
2mer-0+31,-3.92900807,2,-3.92900807,-114.37346645,0.000532393,9.389,6.529,6.529,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='348c6e6')"
2mer-0+23,-0.91239081,8,-3.64956326,-118.02302971,0.0005075125,9.322,6.634,6.634,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='1bcfba5')"
2mer-0+26,2.3184922,2,2.3184922,-115.70453752,0.0003000851,7.904,7.904,7.904,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='d0cd3e9')"
2mer-0+34,-1.30857611,8,-5.23430443,-120.93884195,0.0002831232,10.927,8.059,8.059,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='7a016ba')"
2mer-0+29,0.64368356,4,1.28736712,-119.65147483,0.0002716435,9.193,8.171,8.171,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='480d368')"
2mer-0+61,0.23423862,8,0.93695446,-118.71452036,0.0002374358,11.697,8.546,8.546,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='e564804')"
2mer-0+50,0.69737995,4,1.39475989,-117.31976047,0.0002201675,12.497,8.764,8.764,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='d1322c9')"
2mer-0+45,0.78608628,4,1.57217255,-115.74758792,0.0002174028,11.178,8.801,8.801,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='d281cf5')"
2mer-0+37,-0.2229371,8,-0.89174839,-116.63933632,0.0002155932,10.924,8.825,8.825,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='0061088')"
2mer-0+51,-0.59796442,4,-1.19592883,-117.83526515,0.0001892028,12.273,9.218,9.218,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='6a36e8d')"
2mer-0+62,1.6417336,4,3.2834672,-114.55179795,0.0001806795,11.797,9.36,9.36,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='2ca1cb2')"
2mer-0+131,0.9760222,4,1.9520444,-112.59975355,0.0001692183,12.974,9.567,9.567,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='e8946e8')"
2mer-0+48,0.36768768,8,1.47075073,-111.12900281,0.0001591414,12.124,9.765,9.765,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='e5c9739')"
2mer-0+56,-0.84002674,4,-1.68005347,-112.80905628,0.0001548252,11.981,9.855,9.855,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='79ed909')"
2mer-0+60,0.36202383,8,1.44809532,-111.36096097,0.0001507975,13.35,9.942,9.942,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='6a157ad')"
2mer-0+72,-0.57985351,4,-1.15970702,-112.52066798,0.0001493824,12.222,9.973,9.973,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='557dba7')"
2mer-0+68,-0.46001659,4,-0.92003318,-113.44070116,0.0001375211,12.273,10.252,10.252,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='2550789')"
2mer-0+89,-0.31010659,4,-0.62021319,-114.06091435,0.0001067812,13.483,11.154,11.154,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='5c9aee6')"
2mer-0+122,-1.04936481,2,-1.04936481,-115.11027916,0.0001059652,14.084,11.183,11.183,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='9a1a77c')"
2mer-0+129,-0.04229646,4,-0.08459292,-115.19487208,9.710095e-05,14.117,11.513,11.513,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='07f07bf')"
2mer-0+90,-0.42813395,8,-1.71253578,-116.90740786,9.388976e-05,14.354,11.643,11.643,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='d4899d3')"
2mer-0+165,0.35683286,8,1.42733145,-115.48007641,9.32635e-05,15.192,11.669,11.669,"Molecule(name='C2H8N4O2', formula='C2H8N4O2', hash='3987e3f')"
