N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-26.68366535,4,-53.36733071,-53.36733071,0.01813338,4.313,2.014,2.014
2mer-0+3,-38.57437518,2,-38.57437518,-91.94170589,0.01668822,4.695,2.071,2.071
2mer-0+5,0.78769298,4,1.57538596,-90.36631993,0.009147917,4.943,2.53,2.53
2mer-0+9,3.79413602,2,3.79413602,-86.57218391,0.002556938,7.904,3.87,3.87
2mer-0+4,2.96080095,4,5.92160191,-80.65058201,0.002399124,5.589,3.953,3.953
2mer-0+6,-0.59706527,8,-2.38826108,-83.03884309,0.001085751,7.299,5.149,5.149
2mer-0+35,2.50303854,4,5.00607708,-78.03276601,0.0009791764,8.622,5.329,5.329
2mer-0+10,3.60448798,4,7.20897596,-70.82379004,0.0009024153,7.54,5.476,5.476
2mer-0+16,0.48658914,4,0.97317828,-69.85061176,0.0007859423,9.193,5.734,5.734
2mer-0+12,-1.69223618,8,-6.76894471,-76.61955647,0.000534934,9.004,6.519,6.519
2mer-0+31,-3.99173501,2,-3.99173501,-80.61129148,0.000532393,9.389,6.529,6.529
2mer-0+23,-0.9276785,8,-3.71071401,-84.3220055,0.0005075125,9.322,6.634,6.634
2mer-0+26,2.39016681,2,2.39016681,-81.93183868,0.0003000851,7.904,7.904,7.904
2mer-0+34,-1.31693306,8,-5.26773225,-87.19957093,0.0002831232,10.927,8.059,8.059
2mer-0+29,0.67830569,4,1.35661138,-85.84295955,0.0002716435,9.193,8.171,8.171
2mer-0+61,0.23342249,8,0.93368995,-84.9092696,0.0002374358,11.697,8.546,8.546
2mer-0+50,0.70583468,4,1.41166937,-83.49760024,0.0002201675,12.497,8.764,8.764
2mer-0+45,0.79716475,4,1.59432951,-81.90327073,0.0002174028,11.178,8.801,8.801
2mer-0+37,-0.2010744,8,-0.80429761,-82.70756834,0.0002155932,10.924,8.825,8.825
2mer-0+51,-0.59596336,4,-1.19192671,-83.89949505,0.0001892028,12.273,9.218,9.218
2mer-0+62,1.63974111,4,3.27948222,-80.62001283,0.0001806795,11.797,9.36,9.36
2mer-0+131,1.00973352,4,2.01946704,-78.60054579,0.0001692183,12.974,9.567,9.567
2mer-0+48,0.37679485,8,1.50717939,-77.0933664,0.0001591414,12.124,9.765,9.765
2mer-0+56,-0.84012521,4,-1.68025042,-78.77361682,0.0001548252,11.981,9.855,9.855
2mer-0+60,0.36926206,8,1.47704822,-77.2965686,0.0001507975,13.35,9.942,9.942
2mer-0+72,-0.59205823,4,-1.18411646,-78.48068505,0.0001493824,12.222,9.973,9.973
2mer-0+68,-0.46181905,4,-0.9236381,-79.40432316,0.0001375211,12.273,10.252,10.252
2mer-0+89,-0.30354486,4,-0.60708973,-80.01141288,0.0001067812,13.483,11.154,11.154
2mer-0+122,-1.06495949,2,-1.06495949,-81.07637237,0.0001059652,14.084,11.183,11.183
2mer-0+129,-0.04789874,4,-0.09579747,-81.17216985,9.710095e-05,14.117,11.513,11.513
2mer-0+90,-0.42847245,8,-1.71388981,-82.88605965,9.388976e-05,14.354,11.643,11.643
2mer-0+165,0.36376789,8,1.45507157,-81.43098809,9.32635e-05,15.192,11.669,11.669
2mer-0+109,-0.33425109,8,-1.33700435,-82.76799244,9.081612e-05,14.555,11.773,11.773
2mer-0+132,0.37080888,2,0.37080888,-82.39718355,9.078946e-05,15.808,11.774,11.774
2mer-0+95,0.647678,4,1.29535599,-81.10182756,8.890769e-05,12.497,11.856,11.856
2mer-0+126,-0.65547089,8,-2.62188357,-83.72371113,8.283133e-05,15.153,12.14,12.14
2mer-0+94,-0.09720558,8,-0.38882234,-84.11253346,8.276972e-05,14.598,12.143,12.143
2mer-0+104,0.38279088,8,1.53116352,-82.58136994,8.126235e-05,14.201,12.217,12.217
2mer-0+97,0.36793668,8,1.47174673,-81.10962321,7.949944e-05,13.35,12.307,12.307
2mer-0+116,-0.02754489,8,-0.11017956,-81.21980277,7.767971e-05,15.632,12.402,12.402
2mer-0+144,0.24735124,4,0.49470247,-80.7251003,7.276361e-05,16.491,12.675,12.675
2mer-0+148,-0.43829578,4,-0.87659156,-81.60169185,6.704068e-05,16.151,13.026,13.026
2mer-0+125,-0.21232823,8,-0.84931293,-82.45100478,6.314345e-05,15.629,13.289,13.289
2mer-0+166,-0.07936965,8,-0.31747859,-82.76848337,6.282983e-05,16.179,13.311,13.311
2mer-0+170,-0.41025154,4,-0.82050307,-83.58898644,5.770387e-05,16.151,13.694,13.694
2mer-0+192,0.66384624,4,1.32769247,-82.26129397,5.688125e-05,16.297,13.76,13.76
2mer-0+146,-0.0037758,8,-0.0151032,-82.27639717,5.662787e-05,15.632,13.78,13.78
2mer-0+177,0.09058227,4,0.18116454,-82.09523263,5.408963e-05,16.252,13.993,13.993
2mer-0+149,-0.31347,8,-1.25387998,-83.34911261,5.317395e-05,16.386,14.072,14.072
2mer-0+253,0.1485331,4,0.29706621,-83.0520464,5.293074e-05,17.126,14.094,14.094
2mer-0+326,0.44729724,4,0.89459448,-82.15745193,5.288794e-05,17.505,14.098,14.098
2mer-0+167,-0.2591666,8,-1.03666642,-83.19411834,5.256866e-05,16.563,14.126,14.126
2mer-0+189,0.24272487,4,0.48544975,-82.70866859,5.196148e-05,17.674,14.181,14.181
2mer-0+168,0.2683364,4,0.53667281,-82.17199578,5.171067e-05,16.767,14.204,14.204
2mer-0+222,0.0531883,4,0.1063766,-82.06561918,4.459997e-05,18.386,14.922,14.922
2mer-0+202,0.17715848,8,0.70863391,-81.35698528,4.445618e-05,18.287,14.938,14.938
2mer-0+190,0.19102518,8,0.76410072,-80.59288455,4.426272e-05,17.412,14.96,14.96
2mer-0+203,-0.19721594,8,-0.78886377,-81.38174832,4.189118e-05,17.981,15.237,15.237
2mer-0+254,-0.0948228,8,-0.37929119,-81.76103952,4.176238e-05,18.007,15.252,15.252
2mer-0+193,-0.18335126,8,-0.73340504,-82.49444456,4.15521e-05,17.514,15.278,15.278
2mer-0+300,0.06375298,8,0.25501193,-82.23943263,3.905428e-05,18.862,15.597,15.597
2mer-0+374,0.25223446,8,1.00893783,-81.23049479,3.90285e-05,19.206,15.601,15.601
2mer-0+223,0.3393165,2,0.3393165,-80.8911783,3.751064e-05,15.808,15.808,15.808
2mer-0+231,-0.14209166,8,-0.56836665,-81.45954495,3.749216e-05,18.83,15.811,15.811
2mer-0+306,-0.4344926,2,-0.4344926,-81.89403755,3.714059e-05,18.779,15.861,15.861
2mer-0+244,0.31535701,8,1.26142805,-80.6326095,3.708541e-05,18.113,15.868,15.868
2mer-0+229,0.23611758,4,0.47223517,-80.16037433,3.656546e-05,16.491,15.943,15.943
2mer-0+227,0.00883123,8,0.03532492,-80.12504941,3.570281e-05,18.072,16.071,16.071
2mer-0+294,0.17264944,4,0.34529889,-79.77975053,3.475779e-05,20.152,16.215,16.215
2mer-0+245,0.23542897,4,0.47085795,-79.30889258,3.437482e-05,17.674,16.275,16.275
2mer-0+273,-0.12966269,8,-0.51865075,-79.82754333,3.297516e-05,18.83,16.502,16.502
2mer-0+315,-0.33155297,8,-1.32621187,-81.1537552,3.269486e-05,19.593,16.549,16.549
2mer-0+256,0.0541483,8,0.2165932,-80.937162,3.183812e-05,19.217,16.696,16.696
2mer-0+261,0.17448199,8,0.69792798,-80.23923402,3.116226e-05,18.287,16.816,16.816
2mer-0+317,0.13507006,8,0.54028024,-79.69895378,3.080432e-05,20.691,16.881,16.881
2mer-0+281,0.05828449,8,0.23313794,-79.46581583,3.07768e-05,20.013,16.886,16.886
2mer-0+286,-0.16814914,8,-0.67259656,-80.13841239,2.983671e-05,19.836,17.062,17.062
2mer-0+289,0.06063989,4,0.12127978,-80.01713262,2.96175e-05,18.386,17.104,17.104
2mer-0+312,-0.14753461,8,-0.59013846,-80.60727107,2.937511e-05,19.982,17.15,17.15
2mer-0+341,-0.2604247,4,-0.5208494,-81.12812047,2.907032e-05,20.375,17.21,17.21
2mer-0+305,-0.02909944,8,-0.11639777,-81.24451824,2.784752e-05,19.725,17.458,17.458
2mer-0+397,0.01943063,8,0.07772252,-81.16679572,2.771807e-05,20.451,17.486,17.486
2mer-0+478,0.15106118,4,0.30212235,-80.86467336,2.77035e-05,20.769,17.489,17.489
2mer-0+336,0.16247001,4,0.32494002,-80.53973334,2.698625e-05,19.762,17.642,17.642
2mer-0+372,-0.25419689,4,-0.50839378,-81.04812712,2.662825e-05,20.375,17.721,17.721
2mer-0+322,-0.17928914,4,-0.35857827,-81.40670539,2.648889e-05,19.836,17.752,17.752
2mer-0+343,-0.15739591,4,-0.31479182,-81.72149721,2.619595e-05,19.982,17.818,17.818
2mer-0+357,-0.04727379,4,-0.09454759,-81.81604479,2.602951e-05,21.172,17.856,17.856
2mer-0+338,-0.11658307,8,-0.4663323,-82.28237709,2.448116e-05,20.777,18.225,18.225
2mer-0+329,0.06086433,8,0.24345733,-82.03891977,2.418216e-05,20.013,18.299,18.299
2mer-0+431,0.31872972,4,0.63745945,-81.40146032,2.415417e-05,20.883,18.306,18.306
2mer-0+408,-0.0761113,8,-0.30444521,-81.70590553,2.366332e-05,21.194,18.432,18.432
2mer-0+370,-0.12427945,4,-0.24855889,-81.95446442,2.338571e-05,20.777,18.505,18.505
2mer-0+647,0.23081234,4,0.46162469,-81.49283974,2.262689e-05,22.104,18.709,18.709
2mer-0+540,0.09468701,8,0.37874805,-81.11409169,2.258392e-05,22.222,18.721,18.721
2mer-0+447,-0.08163658,4,-0.16327316,-81.27736485,2.257621e-05,21.194,18.723,18.723
2mer-0+406,0.06031229,8,0.24124916,-81.03611569,2.252569e-05,22.232,18.737,18.737
2mer-0+373,-0.13948118,8,-0.55792472,-81.59404041,2.228898e-05,21.352,18.803,18.803
2mer-0+393,-0.12461316,8,-0.49845265,-82.09249306,2.200443e-05,21.488,18.884,18.884
2mer-0+411,-0.16158329,8,-0.64633315,-82.73882621,2.181582e-05,21.854,18.938,18.938
2mer-0+403,0.08860875,8,0.35443501,-82.38439121,2.051058e-05,21.284,19.332,19.332
