N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-33.43852703,4,-66.87705406,-66.87705406,0.01813338,4.313,2.014,2.014
2mer-0+3,-43.90233175,2,-43.90233175,-110.77938582,0.01668822,4.695,2.071,2.071
2mer-0+5,-5.27059417,4,-10.54118834,-121.32057416,0.009147917,4.943,2.53,2.53
2mer-0+9,3.38613057,2,3.38613057,-117.93444359,0.002556938,7.904,3.87,3.87
2mer-0+4,1.36391972,4,2.72783944,-115.20660415,0.002399124,5.589,3.953,3.953
2mer-0+6,-0.77179308,8,-3.08717232,-118.29377647,0.001085751,7.299,5.149,5.149
2mer-0+35,2.29496342,4,4.58992684,-113.70384963,0.0009791764,8.622,5.329,5.329
2mer-0+10,3.44166522,4,6.88333045,-106.82051918,0.0009024153,7.54,5.476,5.476
2mer-0+16,0.42228052,4,0.84456103,-105.97595815,0.0007859423,9.193,5.734,5.734
2mer-0+12,-1.64001503,8,-6.56006011,-112.53601826,0.000534934,9.004,6.519,6.519
2mer-0+31,-3.76103737,2,-3.76103737,-116.29705563,0.000532393,9.389,6.529,6.529
2mer-0+23,-0.90521241,8,-3.62084966,-119.91790529,0.0005075125,9.322,6.634,6.634
2mer-0+26,2.27295613,2,2.27295613,-117.64494916,0.0003000851,7.904,7.904,7.904
2mer-0+34,-1.255685,8,-5.02273999,-122.66768915,0.0002831232,10.927,8.059,8.059
2mer-0+29,0.6217858,4,1.24357159,-121.42411755,0.0002716435,9.193,8.171,8.171
2mer-0+61,0.21928864,8,0.87715457,-120.54696298,0.0002374358,11.697,8.546,8.546
2mer-0+50,0.66827737,4,1.33655474,-119.21040824,0.0002201675,12.497,8.764,8.764
2mer-0+45,0.7501066,4,1.50021319,-117.71019505,0.0002174028,11.178,8.801,8.801
2mer-0+37,-0.18972564,8,-0.75890257,-118.46909762,0.0002155932,10.924,8.825,8.825
2mer-0+51,-0.56844475,4,-1.1368895,-119.60598712,0.0001892028,12.273,9.218,9.218
2mer-0+62,1.55073336,4,3.10146671,-116.50452041,0.0001806795,11.797,9.36,9.36
2mer-0+131,0.95152312,4,1.90304625,-114.60147416,0.0001692183,12.974,9.567,9.567
2mer-0+48,0.3507758,8,1.40310319,-113.19837097,0.0001591414,12.124,9.765,9.765
2mer-0+56,-0.80653117,4,-1.61306235,-114.81143332,0.0001548252,11.981,9.855,9.855
2mer-0+60,0.34805011,8,1.39220044,-113.41923288,0.0001507975,13.35,9.942,9.942
2mer-0+72,-0.56956722,4,-1.13913444,-114.55836732,0.0001493824,12.222,9.973,9.973
2mer-0+68,-0.44503692,4,-0.89007385,-115.44844116,0.0001375211,12.273,10.252,10.252
2mer-0+89,-0.28894887,4,-0.57789774,-116.0263389,0.0001067812,13.483,11.154,11.154
2mer-0+122,-1.00643215,2,-1.00643215,-117.03277105,0.0001059652,14.084,11.183,11.183
2mer-0+129,-0.04679683,4,-0.09359365,-117.1263647,9.710095e-05,14.117,11.513,11.513
2mer-0+90,-0.40850515,8,-1.63402059,-118.76038529,9.388976e-05,14.354,11.643,11.643
2mer-0+165,0.34451231,8,1.37804925,-117.38233604,9.32635e-05,15.192,11.669,11.669
2mer-0+109,-0.31847534,8,-1.27390135,-118.65623739,9.081612e-05,14.555,11.773,11.773
2mer-0+132,0.35187088,2,0.35187088,-118.30436651,9.078946e-05,15.808,11.774,11.774
2mer-0+95,0.61508293,4,1.23016586,-117.07420065,8.890769e-05,12.497,11.856,11.856
2mer-0+126,-0.62117283,8,-2.48469133,-119.55889198,8.283133e-05,15.153,12.14,12.14
2mer-0+94,-0.09529654,8,-0.38118615,-119.94007813,8.276972e-05,14.598,12.143,12.143
2mer-0+104,0.36371719,8,1.45486876,-118.48520937,8.126235e-05,14.201,12.217,12.217
2mer-0+97,0.3472926,8,1.3891704,-117.09603897,7.949944e-05,13.35,12.307,12.307
2mer-0+116,-0.02748892,8,-0.10995569,-117.20599466,7.767971e-05,15.632,12.402,12.402
2mer-0+144,0.23441131,4,0.46882261,-116.73717205,7.276361e-05,16.491,12.675,12.675
2mer-0+148,-0.41556511,4,-0.83113021,-117.56830226,6.704068e-05,16.151,13.026,13.026
2mer-0+125,-0.20170909,8,-0.80683634,-118.37513861,6.314345e-05,15.629,13.289,13.289
2mer-0+166,-0.07526016,8,-0.30104064,-118.67617924,6.282983e-05,16.179,13.311,13.311
2mer-0+170,-0.38990376,4,-0.77980752,-119.45598676,5.770387e-05,16.151,13.694,13.694
2mer-0+192,0.62830822,4,1.25661643,-118.19937033,5.688125e-05,16.297,13.76,13.76
2mer-0+146,-0.00557872,8,-0.02231487,-118.2216852,5.662787e-05,15.632,13.78,13.78
2mer-0+177,0.08633753,4,0.17267505,-118.04901014,5.408963e-05,16.252,13.993,13.993
2mer-0+149,-0.29892542,8,-1.19570169,-119.24471183,5.317395e-05,16.386,14.072,14.072
2mer-0+253,0.1407668,4,0.28153359,-118.96317824,5.293074e-05,17.126,14.094,14.094
2mer-0+326,0.42296562,4,0.84593123,-118.11724701,5.288794e-05,17.505,14.098,14.098
2mer-0+167,-0.24718716,8,-0.98874862,-119.10599563,5.256866e-05,16.563,14.126,14.126
2mer-0+189,0.2301587,4,0.4603174,-118.64567823,5.196148e-05,17.674,14.181,14.181
2mer-0+168,0.25415854,4,0.50831709,-118.13736115,5.171067e-05,16.767,14.204,14.204
2mer-0+222,0.05007154,4,0.10014309,-118.03721806,4.459997e-05,18.386,14.922,14.922
2mer-0+202,0.16779007,8,0.67116029,-117.36605777,4.445618e-05,18.287,14.938,14.938
2mer-0+190,0.18062858,8,0.72251433,-116.64354345,4.426272e-05,17.412,14.96,14.96
2mer-0+203,-0.18779815,8,-0.75119261,-117.39473605,4.189118e-05,17.981,15.237,15.237
2mer-0+254,-0.09029393,8,-0.36117574,-117.75591179,4.176238e-05,18.007,15.252,15.252
2mer-0+193,-0.17442651,8,-0.69770603,-118.45361782,4.15521e-05,17.514,15.278,15.278
2mer-0+300,0.06065272,8,0.24261087,-118.21100695,3.905428e-05,18.862,15.597,15.597
2mer-0+374,0.23893494,8,0.95573976,-117.25526719,3.90285e-05,19.206,15.601,15.601
2mer-0+223,0.32291952,2,0.32291952,-116.93234767,3.751064e-05,15.808,15.808,15.808
2mer-0+231,-0.13515608,8,-0.54062434,-117.47297201,3.749216e-05,18.83,15.811,15.811
2mer-0+306,-0.41126659,2,-0.41126659,-117.8842386,3.714059e-05,18.779,15.861,15.861
2mer-0+244,0.29898661,8,1.19594644,-116.68829216,3.708541e-05,18.113,15.868,15.868
2mer-0+229,0.2241557,4,0.4483114,-116.23998076,3.656546e-05,16.491,15.943,15.943
2mer-0+227,0.00865429,8,0.03461715,-116.20536362,3.570281e-05,18.072,16.071,16.071
2mer-0+294,0.16386492,4,0.32772984,-115.87763377,3.475779e-05,20.152,16.215,16.215
2mer-0+245,0.22340228,4,0.44680456,-115.43082921,3.437482e-05,17.674,16.275,16.275
2mer-0+273,-0.12374471,8,-0.49497886,-115.92580807,3.297516e-05,18.83,16.502,16.502
2mer-0+315,-0.31412507,8,-1.25650026,-117.18230833,3.269486e-05,19.593,16.549,16.549
2mer-0+256,0.05075442,8,0.20301767,-116.97929066,3.183812e-05,19.217,16.696,16.696
2mer-0+261,0.16530293,8,0.66121172,-116.31807894,3.116226e-05,18.287,16.816,16.816
2mer-0+317,0.12812467,8,0.51249868,-115.80558026,3.080432e-05,20.691,16.881,16.881
2mer-0+281,0.05492383,8,0.21969532,-115.58588494,3.07768e-05,20.013,16.886,16.886
2mer-0+286,-0.15981633,8,-0.63926534,-116.22515028,2.983671e-05,19.836,17.062,17.062
2mer-0+289,0.05697866,4,0.11395732,-116.11119295,2.96175e-05,18.386,17.104,17.104
2mer-0+312,-0.14018112,8,-0.56072448,-116.67191743,2.937511e-05,19.982,17.15,17.15
2mer-0+341,-0.24680331,4,-0.49360662,-117.16552405,2.907032e-05,20.375,17.21,17.21
2mer-0+305,-0.02754577,8,-0.11018307,-117.27570713,2.784752e-05,19.725,17.458,17.458
