N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-33.70890974,4,-67.41781948,-67.41781948,0.01813338,4.313,2.014,2.014
2mer-0+3,-43.71040496,2,-43.71040496,-111.12822444,0.01668822,4.695,2.071,2.071
2mer-0+5,-4.80698887,4,-9.61397773,-120.74220217,0.009147917,4.943,2.53,2.53
2mer-0+9,3.35601883,2,3.35601883,-117.38618334,0.002556938,7.904,3.87,3.87
2mer-0+4,1.14205177,4,2.28410354,-115.1020798,0.002399124,5.589,3.953,3.953
2mer-0+6,-0.82680384,8,-3.30721535,-118.40929515,0.001085751,7.299,5.149,5.149
2mer-0+35,2.18776184,4,4.37552368,-114.03377146,0.0009791764,8.622,5.329,5.329
2mer-0+10,3.29896037,4,6.59792074,-107.43585072,0.0009024153,7.54,5.476,5.476
2mer-0+16,0.38859148,4,0.77718295,-106.65866777,0.0007859423,9.193,5.734,5.734
2mer-0+12,-1.6206333,8,-6.48253322,-113.14120099,0.000534934,9.004,6.519,6.519
2mer-0+31,-3.69773763,2,-3.69773763,-116.83893862,0.000532393,9.389,6.529,6.529
2mer-0+23,-0.86990572,8,-3.47962287,-120.31856148,0.0005075125,9.322,6.634,6.634
2mer-0+26,2.17374243,2,2.17374243,-118.14481905,0.0003000851,7.904,7.904,7.904
2mer-0+34,-1.22959205,8,-4.91836819,-123.06318724,0.0002831232,10.927,8.059,8.059
2mer-0+29,0.60871681,4,1.21743361,-121.84575363,0.0002716435,9.193,8.171,8.171
2mer-0+61,0.21704544,8,0.86818177,-120.97757185,0.0002374358,11.697,8.546,8.546
2mer-0+50,0.65507644,4,1.31015287,-119.66741898,0.0002201675,12.497,8.764,8.764
2mer-0+45,0.73082324,4,1.46164649,-118.20577249,0.0002174028,11.178,8.801,8.801
2mer-0+37,-0.20503907,8,-0.8201563,-119.02592879,0.0002155932,10.924,8.825,8.825
2mer-0+51,-0.56243025,4,-1.1248605,-120.15078929,0.0001892028,12.273,9.218,9.218
2mer-0+62,1.53369563,4,3.06739126,-117.08339803,0.0001806795,11.797,9.36,9.36
2mer-0+131,0.91882995,4,1.8376599,-115.24573813,0.0001692183,12.974,9.567,9.567
2mer-0+48,0.34201159,8,1.36804638,-113.87769175,0.0001591414,12.124,9.765,9.765
2mer-0+56,-0.79135526,4,-1.58271051,-115.46040227,0.0001548252,11.981,9.855,9.855
2mer-0+60,0.33966943,8,1.35867772,-114.10172455,0.0001507975,13.35,9.942,9.942
2mer-0+72,-0.54978154,4,-1.09956308,-115.20128762,0.0001493824,12.222,9.973,9.973
2mer-0+68,-0.43025266,4,-0.86050533,-116.06179295,0.0001375211,12.273,10.252,10.252
2mer-0+89,-0.2903858,4,-0.5807716,-116.64256455,0.0001067812,13.483,11.154,11.154
2mer-0+122,-0.98541926,2,-0.98541926,-117.62798382,0.0001059652,14.084,11.183,11.183
2mer-0+129,-0.04222479,4,-0.08444957,-117.71243339,9.710095e-05,14.117,11.513,11.513
2mer-0+90,-0.40048335,8,-1.6019334,-119.31436678,9.388976e-05,14.354,11.643,11.643
2mer-0+165,0.33486379,8,1.33945518,-117.9749116,9.32635e-05,15.192,11.669,11.669
2mer-0+109,-0.30796736,8,-1.23186942,-119.20678102,9.081612e-05,14.555,11.773,11.773
2mer-0+132,0.34511768,2,0.34511768,-118.86166334,9.078946e-05,15.808,11.774,11.774
2mer-0+95,0.59741217,4,1.19482434,-117.666839,8.890769e-05,12.497,11.856,11.856
2mer-0+126,-0.60774857,8,-2.43099427,-120.09783327,8.283133e-05,15.153,12.14,12.14
2mer-0+94,-0.09309404,8,-0.37237615,-120.47020942,8.276972e-05,14.598,12.143,12.143
2mer-0+104,0.35433895,8,1.41735579,-119.05285363,8.126235e-05,14.201,12.217,12.217
2mer-0+97,0.33865722,8,1.35462889,-117.69822475,7.949944e-05,13.35,12.307,12.307
2mer-0+116,-0.02800669,8,-0.11202675,-117.81025149,7.767971e-05,15.632,12.402,12.402
2mer-0+144,0.22942694,4,0.45885388,-117.35139761,7.276361e-05,16.491,12.675,12.675
2mer-0+148,-0.40763301,4,-0.81526601,-118.16666362,6.704068e-05,16.151,13.026,13.026
2mer-0+125,-0.20105641,8,-0.80422563,-118.97088925,6.314345e-05,15.629,13.289,13.289
2mer-0+166,-0.07098175,8,-0.28392699,-119.25481624,6.282983e-05,16.179,13.311,13.311
2mer-0+170,-0.38017129,4,-0.76034258,-120.01515882,5.770387e-05,16.151,13.694,13.694
2mer-0+192,0.62042598,4,1.24085197,-118.77430685,5.688125e-05,16.297,13.76,13.76
2mer-0+146,-0.00452993,8,-0.01811973,-118.79242659,5.662787e-05,15.632,13.78,13.78
2mer-0+177,0.0819206,4,0.16384119,-118.62858539,5.408963e-05,16.252,13.993,13.993
2mer-0+149,-0.29279252,8,-1.17117008,-119.79975547,5.317395e-05,16.386,14.072,14.072
2mer-0+253,0.13779821,4,0.27559642,-119.52415905,5.293074e-05,17.126,14.094,14.094
2mer-0+326,0.40955429,4,0.81910857,-118.70505048,5.288794e-05,17.505,14.098,14.098
2mer-0+167,-0.23979213,8,-0.95916852,-119.66421901,5.256866e-05,16.563,14.126,14.126
2mer-0+189,0.22513584,4,0.45027169,-119.21394732,5.196148e-05,17.674,14.181,14.181
2mer-0+168,0.24812402,4,0.49624803,-118.71769928,5.171067e-05,16.767,14.204,14.204
2mer-0+222,0.0485412,4,0.0970824,-118.62061689,4.459997e-05,18.386,14.922,14.922
2mer-0+202,0.16401684,8,0.65606737,-117.96454952,4.445618e-05,18.287,14.938,14.938
2mer-0+190,0.17637515,8,0.7055006,-117.25904892,4.426272e-05,17.412,14.96,14.96
2mer-0+203,-0.18356449,8,-0.73425794,-117.99330686,4.189118e-05,17.981,15.237,15.237
2mer-0+254,-0.08647939,8,-0.34591755,-118.33922441,4.176238e-05,18.007,15.252,15.252
2mer-0+193,-0.17277391,8,-0.69109562,-119.03032004,4.15521e-05,17.514,15.278,15.278
2mer-0+300,0.05997142,8,0.23988567,-118.79043436,3.905428e-05,18.862,15.597,15.597
2mer-0+374,0.23202834,8,0.92811337,-117.862321,3.90285e-05,19.206,15.601,15.601
2mer-0+223,0.31412554,2,0.31412554,-117.54819546,3.751064e-05,15.808,15.808,15.808
2mer-0+231,-0.13266207,8,-0.53064829,-118.07884375,3.749216e-05,18.83,15.811,15.811
2mer-0+306,-0.40229395,2,-0.40229395,-118.4811377,3.714059e-05,18.779,15.861,15.861
2mer-0+244,0.29368475,8,1.174739,-117.30639871,3.708541e-05,18.113,15.868,15.868
2mer-0+229,0.21847665,4,0.4369533,-116.8694454,3.656546e-05,16.491,15.943,15.943
2mer-0+227,0.00645618,8,0.02582472,-116.84362068,3.570281e-05,18.072,16.071,16.071
2mer-0+294,0.16043669,4,0.32087337,-116.52274731,3.475779e-05,20.152,16.215,16.215
2mer-0+245,0.2177895,4,0.435579,-116.08716831,3.437482e-05,17.674,16.275,16.275
2mer-0+273,-0.12043168,8,-0.4817267,-116.56889501,3.297516e-05,18.83,16.502,16.502
2mer-0+315,-0.30720175,8,-1.22880702,-117.79770203,3.269486e-05,19.593,16.549,16.549
2mer-0+256,0.04958127,8,0.19832507,-117.59937696,3.183812e-05,19.217,16.696,16.696
2mer-0+261,0.16129241,8,0.64516963,-116.95420733,3.116226e-05,18.287,16.816,16.816
2mer-0+317,0.12535695,8,0.50142778,-116.45277955,3.080432e-05,20.691,16.881,16.881
2mer-0+281,0.05354392,8,0.21417568,-116.23860386,3.07768e-05,20.013,16.886,16.886
2mer-0+286,-0.15642771,8,-0.62571083,-116.86431469,2.983671e-05,19.836,17.062,17.062
2mer-0+289,0.05596586,4,0.11193171,-116.75238298,2.96175e-05,18.386,17.104,17.104
2mer-0+312,-0.13624752,8,-0.54499008,-117.29737306,2.937511e-05,19.982,17.15,17.15
2mer-0+341,-0.24159367,4,-0.48318735,-117.78056041,2.907032e-05,20.375,17.21,17.21
2mer-0+305,-0.02846158,8,-0.11384633,-117.89440674,2.784752e-05,19.725,17.458,17.458
2mer-0+397,0.01875565,8,0.07502261,-117.81938414,2.771807e-05,20.451,17.486,17.486
2mer-0+478,0.13944196,4,0.27888393,-117.54050021,2.77035e-05,20.769,17.489,17.489
2mer-0+336,0.15072733,4,0.30145466,-117.23904555,2.698625e-05,19.762,17.642,17.642
2mer-0+372,-0.23550083,4,-0.47100166,-117.71004721,2.662825e-05,20.375,17.721,17.721
2mer-0+322,-0.16710208,4,-0.33420417,-118.04425138,2.648889e-05,19.836,17.752,17.752
2mer-0+343,-0.14576227,4,-0.29152455,-118.33577593,2.619595e-05,19.982,17.818,17.818
2mer-0+357,-0.04438771,4,-0.08877541,-118.42455134,2.602951e-05,21.172,17.856,17.856
2mer-0+338,-0.1092043,8,-0.4368172,-118.86136854,2.448116e-05,20.777,18.225,18.225
2mer-0+329,0.05607993,8,0.2243197,-118.63704883,2.418216e-05,20.013,18.299,18.299
2mer-0+431,0.29755256,4,0.59510513,-118.04194371,2.415417e-05,20.883,18.306,18.306
2mer-0+408,-0.06963893,8,-0.27855571,-118.32049942,2.366332e-05,21.194,18.432,18.432
2mer-0+370,-0.11654063,4,-0.23308127,-118.55358069,2.338571e-05,20.777,18.505,18.505
2mer-0+647,0.21192912,4,0.42385823,-118.12972246,2.262689e-05,22.104,18.709,18.709
2mer-0+540,0.08772236,8,0.35088945,-117.77883301,2.258392e-05,22.222,18.721,18.721
2mer-0+447,-0.07500144,4,-0.15000289,-117.9288359,2.257621e-05,21.194,18.723,18.723
2mer-0+406,0.05574682,8,0.22298728,-117.70584862,2.252569e-05,22.232,18.737,18.737
2mer-0+373,-0.12980557,8,-0.5192223,-118.22507092,2.228898e-05,21.352,18.803,18.803
2mer-0+393,-0.11528762,8,-0.46115049,-118.68622141,2.200443e-05,21.488,18.884,18.884
2mer-0+411,-0.14995672,8,-0.59982688,-119.28604829,2.181582e-05,21.854,18.938,18.938
2mer-0+403,0.08186732,8,0.32746927,-118.95857901,2.051058e-05,21.284,19.332,19.332
2mer-0+391,-0.02847347,8,-0.11389388,-119.07247289,2.04115e-05,21.898,19.363,19.363
2mer-0+437,-0.03685277,4,-0.07370554,-119.14617843,2.04098e-05,21.172,19.364,19.364
2mer-0+446,-0.12255216,8,-0.49020864,-119.63638707,1.992737e-05,22.557,19.519,19.519
2mer-0+428,-0.01841596,8,-0.07366386,-119.71005093,1.990196e-05,22.6,19.527,19.527
2mer-0+542,0.09877359,2,0.09877359,-119.61127734,1.944714e-05,23.712,19.678,19.678
2mer-0+470,0.10202804,4,0.20405609,-119.40722125,1.939829e-05,23.044,19.695,19.695
