N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-31.49244054,4,-62.98488108,-62.98488108,0.01813338,4.313,2.014,2.014
2mer-0+3,-43.18149907,2,-43.18149907,-106.16638014,0.01668822,4.695,2.071,2.071
2mer-0+5,-6.59321082,4,-13.18642164,-119.35280178,0.009147917,4.943,2.53,2.53
2mer-0+9,3.77126102,2,3.77126102,-115.58154077,0.002556938,7.904,3.87,3.87
2mer-0+4,2.10326267,4,4.20652534,-111.37501543,0.002399124,5.589,3.953,3.953
2mer-0+6,-0.71067356,8,-2.84269423,-114.21770966,0.001085751,7.299,5.149,5.149
2mer-0+35,2.5586041,4,5.1172082,-109.10050146,0.0009791764,8.622,5.329,5.329
2mer-0+10,3.78044698,4,7.56089395,-101.53960751,0.0009024153,7.54,5.476,5.476
2mer-0+16,0.49238055,4,0.98476111,-100.5548464,0.0007859423,9.193,5.734,5.734
2mer-0+12,-1.74949581,8,-6.99798323,-107.55282963,0.000534934,9.004,6.519,6.519
2mer-0+31,-4.05142351,2,-4.05142351,-111.60425314,0.000532393,9.389,6.529,6.529
2mer-0+23,-0.98144588,8,-3.92578351,-115.53003665,0.0005075125,9.322,6.634,6.634
2mer-0+26,2.50087072,2,2.50087072,-113.02916593,0.0003000851,7.904,7.904,7.904
2mer-0+34,-1.35309874,8,-5.41239496,-118.4415609,0.0002831232,10.927,8.059,8.059
2mer-0+29,0.68627026,4,1.37254052,-117.06902037,0.0002716435,9.193,8.171,8.171
2mer-0+61,0.23740006,8,0.94960025,-116.11942012,0.0002374358,11.697,8.546,8.546
2mer-0+50,0.72376797,4,1.44753593,-114.67188419,0.0002201675,12.497,8.764,8.764
2mer-0+45,0.81247011,4,1.62494022,-113.04694397,0.0002174028,11.178,8.801,8.801
2mer-0+37,-0.1907237,8,-0.76289481,-113.80983878,0.0002155932,10.924,8.825,8.825
2mer-0+51,-0.60756778,4,-1.21513555,-115.02497433,0.0001892028,12.273,9.218,9.218
2mer-0+62,1.67164296,4,3.34328592,-111.68168841,0.0001806795,11.797,9.36,9.36
2mer-0+131,1.04090716,4,2.08181432,-109.59987408,0.0001692183,12.974,9.567,9.567
2mer-0+48,0.38148882,8,1.52595526,-108.07391882,0.0001591414,12.124,9.765,9.765
2mer-0+56,-0.8685527,4,-1.73710541,-109.81102423,0.0001548252,11.981,9.855,9.855
2mer-0+60,0.37848312,8,1.51393246,-108.29709177,0.0001507975,13.35,9.942,9.942
2mer-0+72,-0.61918341,4,-1.23836682,-109.53545859,0.0001493824,12.222,9.973,9.973
2mer-0+68,-0.48217307,4,-0.96434614,-110.49980473,0.0001375211,12.273,10.252,10.252
2mer-0+89,-0.30688797,4,-0.61377594,-111.11358067,0.0001067812,13.483,11.154,11.154
2mer-0+122,-1.08883224,2,-1.08883224,-112.20241292,0.0001059652,14.084,11.183,11.183
2mer-0+129,-0.05137653,4,-0.10275306,-112.30516598,9.710095e-05,14.117,11.513,11.513
2mer-0+90,-0.44122364,8,-1.76489454,-114.07006052,9.388976e-05,14.354,11.643,11.643
2mer-0+165,0.37433507,8,1.49734028,-112.57272024,9.32635e-05,15.192,11.669,11.669
2mer-0+109,-0.3453353,8,-1.3813412,-113.95406143,9.081612e-05,14.555,11.773,11.773
2mer-0+132,0.38068456,2,0.38068456,-113.57337688,9.078946e-05,15.808,11.774,11.774
2mer-0+95,0.66880142,4,1.33760285,-112.23577403,8.890769e-05,12.497,11.856,11.856
2mer-0+126,-0.67197814,8,-2.68791256,-114.92368659,8.283133e-05,15.153,12.14,12.14
2mer-0+94,-0.10265565,8,-0.41062258,-115.33430917,8.276972e-05,14.598,12.143,12.143
2mer-0+104,0.39481049,8,1.57924198,-113.75506719,8.126235e-05,14.201,12.217,12.217
2mer-0+97,0.37822091,8,1.51288365,-112.24218354,7.949944e-05,13.35,12.307,12.307
2mer-0+116,-0.02926834,8,-0.11707336,-112.3592569,7.767971e-05,15.632,12.402,12.402
2mer-0+144,0.25365444,4,0.50730888,-111.85194802,7.276361e-05,16.491,12.675,12.675
2mer-0+148,-0.44898146,4,-0.89796291,-112.74991094,6.704068e-05,16.151,13.026,13.026
2mer-0+125,-0.21588806,8,-0.86355223,-113.61346316,6.314345e-05,15.629,13.289,13.289
2mer-0+166,-0.08150277,8,-0.32601107,-113.93947423,6.282983e-05,16.179,13.311,13.311
2mer-0+170,-0.42142598,4,-0.84285196,-114.78232619,5.770387e-05,16.151,13.694,13.694
