N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-38.83051704,4,-77.66103408,-77.66103408,0.01813338,4.313,2.014,2.014
2mer-0+3,-52.81787759,2,-52.81787759,-130.47891167,0.01668822,4.695,2.071,2.071
2mer-0+5,-2.79354046,4,-5.58708092,-136.06599259,0.009147917,4.943,2.53,2.53
2mer-0+9,4.25488977,2,4.25488977,-131.81110282,0.002556938,7.904,3.87,3.87
2mer-0+4,3.19552289,4,6.39104578,-125.42005704,0.002399124,5.589,3.953,3.953
2mer-0+6,-0.80656384,8,-3.22625536,-128.6463124,0.001085751,7.299,5.149,5.149
2mer-0+35,2.8005154,4,5.6010308,-123.0452816,0.0009791764,8.622,5.329,5.329
2mer-0+10,4.19790835,4,8.3958167,-114.6494649,0.0009024153,7.54,5.476,5.476
2mer-0+16,0.5192419,4,1.0384838,-113.6109811,0.0007859423,9.193,5.734,5.734
2mer-0+12,-1.99907594,8,-7.99630376,-121.60728486,0.000534934,9.004,6.519,6.519
2mer-0+31,-4.55397262,2,-4.55397262,-126.16125748,0.000532393,9.389,6.529,6.529
2mer-0+23,-1.04538821,8,-4.18155284,-130.34281032,0.0005075125,9.322,6.634,6.634
2mer-0+26,2.72578555,2,2.72578555,-127.61702477,0.0003000851,7.904,7.904,7.904
2mer-0+34,-1.5193953,8,-6.0775812,-133.69460597,0.0002831232,10.927,8.059,8.059
2mer-0+29,0.75173673,4,1.50347346,-132.19113251,0.0002716435,9.193,8.171,8.171
2mer-0+61,0.27962119,8,1.11848476,-131.07264775,0.0002374358,11.697,8.546,8.546
2mer-0+50,0.81284929,4,1.62569858,-129.44694917,0.0002201675,12.497,8.764,8.764
2mer-0+45,0.92762766,4,1.85525532,-127.59169385,0.0002174028,11.178,8.801,8.801
2mer-0+37,-0.25682839,8,-1.02731356,-128.61900741,0.0002155932,10.924,8.825,8.825
2mer-0+51,-0.69124764,4,-1.38249528,-130.00150269,0.0001892028,12.273,9.218,9.218
2mer-0+62,1.91282741,4,3.82565482,-126.17584787,0.0001806795,11.797,9.36,9.36
2mer-0+131,1.13804517,4,2.27609034,-123.89975753,0.0001692183,12.974,9.567,9.567
2mer-0+48,0.43389455,8,1.7355782,-122.16417933,0.0001591414,12.124,9.765,9.765
2mer-0+56,-0.97161462,4,-1.94322924,-124.10740857,0.0001548252,11.981,9.855,9.855
2mer-0+60,0.42292028,8,1.69168112,-122.41572745,0.0001507975,13.35,9.942,9.942
2mer-0+72,-0.66755927,4,-1.33511854,-123.75084599,0.0001493824,12.222,9.973,9.973
2mer-0+68,-0.53749321,4,-1.07498642,-124.82583241,0.0001375211,12.273,10.252,10.252
2mer-0+89,-0.35938879,4,-0.71877758,-125.54460999,0.0001067812,13.483,11.154,11.154
2mer-0+122,-1.22015861,2,-1.22015861,-126.7647686,0.0001059652,14.084,11.183,11.183
2mer-0+129,-0.04624264,4,-0.09248528,-126.85725388,9.710095e-05,14.117,11.513,11.513
2mer-0+90,-0.49893034,8,-1.99572136,-128.85297524,9.388976e-05,14.354,11.643,11.643
2mer-0+165,0.41652277,8,1.66609108,-127.18688416,9.32635e-05,15.192,11.669,11.669
2mer-0+109,-0.38197828,8,-1.52791312,-128.71479728,9.081612e-05,14.555,11.773,11.773
2mer-0+132,0.42549794,2,0.42549794,-128.28929934,9.078946e-05,15.808,11.774,11.774
2mer-0+95,0.74522424,4,1.49044848,-126.79885086,8.890769e-05,12.497,11.856,11.856
2mer-0+126,-0.75301989,8,-3.01207956,-129.81093042,8.283133e-05,15.153,12.14,12.14
2mer-0+94,-0.11388572,8,-0.45554288,-130.2664733,8.276972e-05,14.598,12.143,12.143
2mer-0+104,0.44027682,8,1.76110728,-128.50536602,8.126235e-05,14.201,12.217,12.217
2mer-0+97,0.42130175,8,1.685207,-126.82015902,7.949944e-05,13.35,12.307,12.307
2mer-0+116,-0.0335491,8,-0.1341964,-126.95435542,7.767971e-05,15.632,12.402,12.402
2mer-0+144,0.28334206,4,0.56668412,-126.3876713,7.276361e-05,16.491,12.675,12.675
2mer-0+148,-0.50439146,4,-1.00878292,-127.39645422,6.704068e-05,16.151,13.026,13.026
2mer-0+125,-0.25136749,8,-1.00546996,-128.40192418,6.314345e-05,15.629,13.289,13.289
2mer-0+166,-0.08686499,8,-0.34745996,-128.74938414,6.282983e-05,16.179,13.311,13.311
2mer-0+170,-0.47231889,4,-0.94463778,-129.69402192,5.770387e-05,16.151,13.694,13.694
2mer-0+192,0.77288188,4,1.54576376,-128.14825816,5.688125e-05,16.297,13.76,13.76
2mer-0+146,-0.00624136,8,-0.02496544,-128.1732236,5.662787e-05,15.632,13.78,13.78
2mer-0+177,0.10166764,4,0.20333528,-127.96988832,5.408963e-05,16.252,13.993,13.993
2mer-0+149,-0.36218068,8,-1.44872272,-129.41861104,5.317395e-05,16.386,14.072,14.072
2mer-0+253,0.172409,4,0.344818,-129.07379304,5.293074e-05,17.126,14.094,14.094
2mer-0+326,0.5066432,4,1.0132864,-128.06050664,5.288794e-05,17.505,14.098,14.098
2mer-0+167,-0.29533615,8,-1.1813446,-129.24185124,5.256866e-05,16.563,14.126,14.126
2mer-0+189,0.27999215,4,0.5599843,-128.68186694,5.196148e-05,17.674,14.181,14.181
2mer-0+168,0.31031624,4,0.62063248,-128.06123446,5.171067e-05,16.767,14.204,14.204
2mer-0+222,0.06022675,4,0.1204535,-127.94078096,4.459997e-05,18.386,14.922,14.922
2mer-0+202,0.20407557,8,0.81630228,-127.12447868,4.445618e-05,18.287,14.938,14.938
2mer-0+190,0.22051132,8,0.88204528,-126.2424334,4.426272e-05,17.412,14.96,14.96
2mer-0+203,-0.22744869,8,-0.90979476,-127.15222816,4.189118e-05,17.981,15.237,15.237
2mer-0+254,-0.10559535,8,-0.4223814,-127.57460956,4.176238e-05,18.007,15.252,15.252
2mer-0+193,-0.21448387,8,-0.85793548,-128.43254504,4.15521e-05,17.514,15.278,15.278
2mer-0+300,0.07503828,8,0.30015312,-128.13239192,3.905428e-05,18.862,15.597,15.597
2mer-0+374,0.28758321,8,1.15033284,-126.98205908,3.90285e-05,19.206,15.601,15.601
2mer-0+223,0.38979789,2,0.38979789,-126.59226119,3.751064e-05,15.808,15.808,15.808
2mer-0+231,-0.1640676,8,-0.6562704,-127.24853159,3.749216e-05,18.83,15.811,15.811
2mer-0+306,-0.49868418,2,-0.49868418,-127.74721577,3.714059e-05,18.779,15.861,15.861
2mer-0+244,0.36532722,8,1.46130888,-126.28590689,3.708541e-05,18.113,15.868,15.868
2mer-0+229,0.27074191,4,0.54148382,-125.74442307,3.656546e-05,16.491,15.943,15.943
2mer-0+227,0.00730004,8,0.02920016,-125.71522291,3.570281e-05,18.072,16.071,16.071
2mer-0+294,0.19852837,4,0.39705674,-125.31816617,3.475779e-05,20.152,16.215,16.215
2mer-0+245,0.27141738,4,0.54283476,-124.77533141,3.437482e-05,17.674,16.275,16.275
2mer-0+273,-0.14981732,8,-0.59926928,-125.37460069,3.297516e-05,18.83,16.502,16.502
2mer-0+315,-0.38089148,8,-1.52356592,-126.89816661,3.269486e-05,19.593,16.549,16.549
2mer-0+256,0.06215114,8,0.24860456,-126.64956205,3.183812e-05,19.217,16.696,16.696
2mer-0+261,0.20088937,8,0.80355748,-125.84600457,3.116226e-05,18.287,16.816,16.816
2mer-0+317,0.15520507,8,0.62082028,-125.22518429,3.080432e-05,20.691,16.881,16.881
2mer-0+281,0.06682229,8,0.26728916,-124.95789513,3.07768e-05,20.013,16.886,16.886
2mer-0+286,-0.1946963,8,-0.7787852,-125.73668033,2.983671e-05,19.836,17.062,17.062
2mer-0+289,0.06886667,4,0.13773334,-125.59894699,2.96175e-05,18.386,17.104,17.104
2mer-0+312,-0.16920058,8,-0.67680232,-126.27574931,2.937511e-05,19.982,17.15,17.15
2mer-0+341,-0.29938972,4,-0.59877944,-126.87452875,2.907032e-05,20.375,17.21,17.21
2mer-0+305,-0.03555772,8,-0.14223088,-127.01675963,2.784752e-05,19.725,17.458,17.458
2mer-0+397,0.02406622,8,0.09626488,-126.92049475,2.771807e-05,20.451,17.486,17.486
2mer-0+478,0.17314702,4,0.34629404,-126.57420071,2.77035e-05,20.769,17.489,17.489
2mer-0+336,0.18733466,4,0.37466932,-126.19953139,2.698625e-05,19.762,17.642,17.642
2mer-0+372,-0.29226286,4,-0.58452572,-126.78405711,2.662825e-05,20.375,17.721,17.721
2mer-0+322,-0.20665785,4,-0.4133157,-127.19737281,2.648889e-05,19.836,17.752,17.752
