,AP2-SAPT0_adz error,AP3-SAPT0_adz error,AP2-SAPT0_adz_tl error,AP3-SAPT0_adz_tl error,AP2-SAPT2p3CCDDMP2_atz error,AP3-SAPT2p3CCDDMP2_atz error,AP2-SAPT2p3CCDDMP2_atz_tl error,AP3-SAPT2p3CCDDMP2_atz_tl error
14-cyclohexanedione,-17.903655863560928,-8.582561113294688,-9.553612180597824,1.615652926088913,-13.872487797113124,0.4080943922973148,-14.2105270237508,0.5080446018050537
acetic_acid,-11.926618835953576,-14.794901969982647,3.5748377280437325,-5.817016517950293,2.932118411489938,-4.142406715402018,3.125659274871879,-3.0445777171532313
ammonia,10.129591112113545,-0.8385669931484614,14.988992539838883,6.430464358890703,9.274668502106437,14.534873782926915,8.949940395339961,15.200082493745583
benzene,-9.327911652498663,-9.815334143039756,0.2483452686026908,4.509967240510321,0.593192111856041,6.347404075275442,-0.8077992017041211,6.598917978185149
cyanamide,24.43354628459791,7.059403885250177,35.53051916010336,14.153731874949877,33.08788375288437,9.036454778548077,31.75461868232979,14.508286516289694
cytosine,-14.164087731091627,-19.873993112304163,8.494545104822834,-4.834764142323053,3.668321307813727,5.361859056242309,-1.8565463311626331,8.86908745166366
ethyl_carbamate,-11.171277375908772,-8.12097922994127,1.5776005069547523,-5.750655786564039,-0.01935833010632848,-0.32864171439985057,0.7927514610987032,1.4535015022969162
formamide,-13.370974943247333,1.9079785039106127,0.9069548976474948,3.5903304783884096,-2.925643559317109,11.543016369568406,-2.644396140071109,14.127518837020247
hexamine,-16.45244225284769,-51.3198202516443,8.795026999429481,-22.927477253616487,16.962879659700818,-8.661569308589847,18.384571136380217,-1.5216923529409598
ice,-7.6798926204868465,-27.909438537534697,0.7083687283788862,-22.085132508364943,2.068947088640126,-20.461223051075308,-1.744313143314976,-9.996792574564523
imidazole,-24.82263434428731,-9.68832035985227,-5.725384444243332,4.320620718142763,-5.273835825641754,5.965585488256863,-5.453288635472916,6.3531335714919805
oxalic_acid_alpha,-21.782903634153897,-26.21751764071145,-57.16270457024537,-22.39440875722677,-97.76696253648696,-8.900406909182436,-67.78342075120487,-19.437156932727447
oxalic_acid_beta,-21.09911296749263,-20.8438829645348,-49.40805095363024,-13.922980232874039,-82.81046918418824,7.43801548142747,-55.22555065233874,-5.14273982122873
pyrazine,-18.508554031073217,-18.392434369120906,-6.787289444498356,-4.253957228332695,-9.748495919346908,-2.935727314065389,-10.543512021427631,-5.601634282717427
pyrazole,-19.31908267033424,-5.292112015400036,-3.7587206227357797,1.4944586321212086,-4.756636386458041,4.006878910985776,-9.85269479873645,-1.0615213396167889
succinic_acid,-28.160895602160736,-3.242512615720244,1.0093133690831166,1.1925116903147739,2.6788883414915006,11.057861725674158,-1.2994028421387611,5.245230597244756
triazine,-20.756727614804163,-6.074331933931575,-12.094420776315616,0.1355792730340042,-10.174464574831944,5.886354949304433,-13.477571913544708,8.88872841600049
trioxane,-15.331368244112262,2.762161491873961,-9.683628611078298,9.58530880200474,-8.811195228447936,8.884038899383697,-4.679497159044992,8.427929182017522
uracil,-24.853878961901444,-18.747624933921713,-2.5257552069207065,-1.2491379059671317,5.379794844559271,2.7581347010302295,0.43104678514120565,3.150398198977612
urea,-32.5106294322927,-21.30944311697671,-8.06660030492678,-14.798538270105425,-11.379926211250961,-8.968172588799888,-0.1425532599464674,-8.141151993876122
CO2,-95.9019088442055,-15.531454628219489,-98.85041371922681,-26.80718836211773,-95.72887244047986,-17.346359152559426,-100.5666211379016,-21.945272200768127
